Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 15935, 694, 386, 4899, 0, 
20, eco999, 1, 16508, 686, 357, 3703, 0, 
30, eco999, 1, 19705, 727, 371, 2647, 0, 
40, eco999, 1, 15834, 572, 322, 5515, 0, 
50, eco999, 1, 7122, 644, 332, 9647, 0, 
60, eco999, 1, 7561, 653, 332, 7806, 0, 
70, eco999, 1, 14008, 776, 380, 3814, 0, 
80, eco999, 1, 8503, 693, 332, 8864, 0, 
90, eco999, 1, 10552, 703, 335, 5065, 0, 
100, eco999, 1, 10744, 618, 330, 4864, 0, 
