Year,EcoregionName,SpeciesCode,ProbEstablish,ProbMortality,ANPPmax,BiomassMax
0,eco999,abiebals,0.9,0,886,26000
0,eco999,acerrubr,1,0.05,1175,26000
0,eco999,acersacc,0.82,0.05,1106,26000
0,eco999,betualle,0.64,0.05,1202,26000
0,eco999,betupapy,1,0.05,1202,26000
0,eco999,fraxamer,0.18,0.05,1202,26000
0,eco999,piceglau,0.58,0.05,969,26000
0,eco999,pinubank,1,0.05,1130,26000
0,eco999,pinuresi,0.56,0.05,1017,26000
0,eco999,pinustro,0.72,0.05,1090,26000
0,eco999,poputrem,1,0.05,1078,26000
0,eco999,querelli,0.96,0.05,1096,26000
0,eco999,querrubr,0.66,0.05,1017,26000
0,eco999,thujocci,0.76,0.05,1090,26000
0,eco999,tiliamer,0.54,0.05,1078,26000
