Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 16581, 992, 393, 5401, 0, 
20, eco999, 1, 19995, 1022, 403, 3879, 0, 
30, eco999, 1, 4646, 674, 323, 17496, 0, 
40, eco999, 1, 7693, 799, 343, 9593, 0, 
50, eco999, 1, 6523, 1015, 361, 10542, 0, 
60, eco999, 1, 10437, 962, 392, 6246, 0, 
70, eco999, 1, 13333, 1104, 409, 5096, 0, 
80, eco999, 1, 11830, 1080, 356, 6968, 0, 
90, eco999, 1, 12494, 1058, 237, 5596, 0, 
100, eco999, 1, 6999, 1475, 345, 10045, 0, 
110, eco999, 1, 12469, 949, 403, 4941, 0, 
120, eco999, 1, 15691, 981, 398, 3414, 0, 
130, eco999, 1, 12572, 999, 421, 5958, 0, 
140, eco999, 1, 14822, 1067, 413, 5303, 0, 
150, eco999, 1, 8720, 859, 368, 10018, 0, 
160, eco999, 1, 13763, 977, 389, 5118, 0, 
170, eco999, 1, 14173, 1055, 416, 5293, 0, 
180, eco999, 1, 13041, 1103, 486, 7110, 0, 
190, eco999, 1, 6018, 887, 407, 10876, 0, 
200, eco999, 1, 9688, 1012, 449, 7070, 0, 
210, eco999, 1, 14905, 1072, 460, 3946, 0, 
220, eco999, 1, 19162, 1118, 458, 3100, 0, 
230, eco999, 1, 8994, 947, 365, 9600, 0, 
240, eco999, 1, 13928, 1013, 321, 4621, 0, 
250, eco999, 1, 12448, 929, 382, 6928, 0, 
260, eco999, 1, 15197, 976, 388, 4857, 0, 
270, eco999, 1, 18916, 1010, 398, 3680, 0, 
280, eco999, 1, 5912, 802, 358, 12034, 0, 
290, eco999, 1, 11098, 942, 405, 6171, 0, 
300, eco999, 1, 16349, 1042, 433, 3109, 0, 
