Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 411, 1162, 513, 558, 558, 558, 450, 524, 0, 0, 0, 509, 11845, 506, 0, 411, 
20, eco999, 1, 889, 848, 785, 42, 424, 55, 363, 42, 0, 0, 0, 1, 14052, 1157, 378, 892, 
30, eco999, 1, 1038, 944, 1441, 54, 654, 3, 485, 2, 0, 0, 0, 1, 15676, 1419, 843, 689, 
40, eco999, 1, 1813, 728, 2865, 696, 2008, 1, 908, 1, 0, 0, 0, 544, 2912, 1207, 670, 448, 
50, eco999, 1, 3179, 745, 1237, 1644, 1797, 1, 87, 1, 459, 492, 0, 1442, 3126, 2456, 198, 404, 
60, eco999, 1, 1954, 974, 2254, 1439, 3351, 462, 377, 1, 425, 1185, 0, 39, 2503, 3045, 701, 918, 
70, eco999, 1, 1848, 496, 1746, 104, 2675, 1233, 945, 1, 76, 1635, 0, 4, 156, 4867, 1057, 1189, 
80, eco999, 1, 715, 826, 2315, 102, 322, 850, 1230, 1, 4, 844, 0, 424, 622, 7180, 715, 2099, 
90, eco999, 1, 593, 1244, 3083, 10, 352, 352, 1738, 1, 4, 1085, 0, 320, 42, 9724, 1042, 2394, 
100, eco999, 1, 622, 97, 2937, 4, 443, 6, 796, 1, 2, 1794, 0, 458, 27, 11163, 1483, 990, 
110, eco999, 1, 1178, 423, 4580, 4, 401, 6, 1470, 1, 356, 620, 0, 698, 27, 8133, 481, 1220, 
120, eco999, 1, 732, 1276, 1897, 600, 605, 600, 2043, 560, 1055, 1521, 534, 1649, 509, 2451, 624, 1754, 
130, eco999, 1, 1210, 2188, 2199, 899, 903, 898, 751, 35, 1488, 2184, 769, 2364, 27, 3672, 887, 2535, 
140, eco999, 1, 67, 1203, 2767, 6, 681, 1398, 509, 47, 1133, 2159, 1660, 682, 29, 1607, 52, 2698, 
150, eco999, 1, 485, 1618, 1491, 5, 1192, 2406, 741, 70, 589, 3543, 667, 1645, 487, 1476, 585, 598, 
160, eco999, 1, 422, 2705, 2424, 5, 2306, 3526, 407, 96, 9, 2172, 948, 2134, 723, 602, 786, 363, 
170, eco999, 1, 416, 2517, 975, 5, 2736, 4735, 74, 130, 9, 2351, 232, 2484, 1046, 470, 1513, 783, 
180, eco999, 1, 313, 607, 861, 5, 3757, 6059, 399, 156, 5, 119, 13, 3288, 1485, 487, 2204, 57, 
190, eco999, 1, 638, 583, 1361, 5, 3954, 7462, 110, 132, 5, 96, 13, 3485, 1962, 946, 3259, 267, 
200, eco999, 1, 540, 803, 466, 5, 4127, 8348, 375, 60, 5, 125, 4, 4034, 2391, 1314, 553, 271, 
210, eco999, 1, 55, 1892, 726, 5, 4914, 2085, 557, 8, 540, 772, 571, 441, 230, 1865, 1495, 518, 
220, eco999, 1, 393, 1331, 1460, 5, 3215, 2933, 56, 1, 829, 342, 897, 585, 18, 2876, 2242, 388, 
230, eco999, 1, 905, 611, 2723, 5, 2485, 1816, 455, 0, 1261, 897, 1390, 1166, 415, 2955, 621, 394, 
240, eco999, 1, 1104, 1406, 393, 425, 3984, 714, 656, 0, 1898, 1426, 106, 781, 640, 4558, 851, 362, 
250, eco999, 1, 325, 1569, 383, 1002, 3547, 1430, 1129, 0, 2527, 2387, 146, 61, 914, 5281, 1070, 67, 
260, eco999, 1, 87, 2048, 698, 1402, 4013, 2005, 1457, 0, 2986, 1418, 1, 18, 1176, 5971, 1348, 232, 
270, eco999, 1, 74, 194, 624, 871, 5007, 3501, 2386, 0, 184, 2352, 1, 426, 86, 1085, 1782, 644, 
280, eco999, 1, 427, 472, 732, 128, 4922, 2296, 3759, 0, 11, 585, 1, 473, 115, 1144, 2791, 1236, 
290, eco999, 1, 863, 432, 700, 186, 2760, 1964, 5500, 0, 4, 848, 1, 1050, 160, 2010, 2946, 887, 
300, eco999, 1, 888, 665, 1451, 734, 1711, 1106, 6721, 0, 380, 349, 1, 1013, 386, 2093, 113, 1558, 
