Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1200-1859	1	-0.2	-8.2	458.3386935	141	288	0
1200-1859	2	-0.8	-11	613.6085172	38	288	0
1200-1859	3	5.2	-3	674.3276129	61	288	0
1200-1859	4	10.6	0.9	766.0939	62	288	0
1200-1859	5	20.7	7.5	848.8796613	36	288	0
1200-1859	6	23.9	11.4	808.7287	56	288	0
1200-1859	7	25.7	15.9	698.256	71	288	0
1200-1859	8	21.5	11.4	731.1858387	43	288	0
1200-1859	9	20	8.6	677.7667	21	288	0
1200-1859	10	15.1	2.6	539.9254355	32	288	0
1200-1859	11	8.9	0.4	349.3867	52	288	0
1200-1859	12	-0.3	-7.2	377.05915	87	288	0
1860	1	-0.2	-8.2	458.3386935	141	288	0
1860	2	-0.8	-11	613.6085172	38	288	0
1860	3	5.2	-3	674.3276129	61	288	0
1860	4	10.6	0.9	766.0939	62	288	0
1860	5	20.7	7.5	848.8796613	36	288	0
1860	6	23.9	11.4	808.7287	56	288	0
1860	7	25.7	15.9	698.256	71	288	0
1860	8	21.5	11.4	731.1858387	43	288	0
1860	9	20	8.6	677.7667	21	288	0
1860	10	15.1	2.6	539.9254355	32	288	0
1860	11	8.9	0.4	349.3867	52	288	0
1860	12	-0.3	-7.2	377.05915	87	288	0
1861	1	-0.2	-8.2	458.3386935	141	288	0
1861	2	-0.8	-11	613.6085172	38	288	0
1861	3	5.2	-3	674.3276129	61	288	0
1861	4	10.6	0.9	766.0939	62	288	0
1861	5	20.7	7.5	848.8796613	36	288	0
1861	6	23.9	11.4	808.7287	56	288	0
1861	7	25.7	15.9	698.256	71	288	0
1861	8	21.5	11.4	731.1858387	43	288	0
1861	9	20	8.6	677.7667	21	288	0
1861	10	15.1	2.6	539.9254355	32	288	0
1861	11	8.9	0.4	349.3867	52	288	0
1861	12	-0.3	-7.2	377.05915	87	288	0
1862	1	-0.2	-8.2	458.3386935	141	288	0
1862	2	-0.8	-11	613.6085172	38	288	0
1862	3	5.2	-3	674.3276129	61	288	0
1862	4	10.6	0.9	766.0939	62	288	0
1862	5	20.7	7.5	848.8796613	36	288	0
1862	6	23.9	11.4	808.7287	56	288	0
1862	7	25.7	15.9	698.256	71	288	0
1862	8	21.5	11.4	731.1858387	43	288	0
1862	9	20	8.6	677.7667	21	288	0
1862	10	15.1	2.6	539.9254355	32	288	0
1862	11	8.9	0.4	349.3867	52	288	0
1862	12	-0.3	-7.2	377.05915	87	288	0
1863	1	-0.2	-8.2	458.3386935	141	288	0
1863	2	-0.8	-11	613.6085172	38	288	0
1863	3	5.2	-3	674.3276129	61	288	0
1863	4	10.6	0.9	766.0939	62	288	0
1863	5	20.7	7.5	848.8796613	36	288	0
1863	6	23.9	11.4	808.7287	56	288	0
1863	7	25.7	15.9	698.256	71	288	0
1863	8	21.5	11.4	731.1858387	43	288	0
1863	9	20	8.6	677.7667	21	288	0
1863	10	15.1	2.6	539.9254355	32	288	0
1863	11	8.9	0.4	349.3867	52	288	0
1863	12	-0.3	-7.2	377.05915	87	288	0
1864	1	-0.2	-8.2	458.3386935	141	288	0
1864	2	-0.8	-11	613.6085172	38	288	0
1864	3	5.2	-3	674.3276129	61	288	0
1864	4	10.6	0.9	766.0939	62	288	0
1864	5	20.7	7.5	848.8796613	36	288	0
1864	6	23.9	11.4	808.7287	56	288	0
1864	7	25.7	15.9	698.256	71	288	0
1864	8	21.5	11.4	731.1858387	43	288	0
1864	9	20	8.6	677.7667	21	288	0
1864	10	15.1	2.6	539.9254355	32	288	0
1864	11	8.9	0.4	349.3867	52	288	0
1864	12	-0.3	-7.2	377.05915	87	288	0
1865	1	-0.2	-8.2	458.3386935	141	288	0
1865	2	-0.8	-11	613.6085172	38	288	0
1865	3	5.2	-3	674.3276129	61	288	0
1865	4	10.6	0.9	766.0939	62	288	0
1865	5	20.7	7.5	848.8796613	36	288	0
1865	6	23.9	11.4	808.7287	56	288	0
1865	7	25.7	15.9	698.256	71	288	0
1865	8	21.5	11.4	731.1858387	43	288	0
1865	9	20	8.6	677.7667	21	288	0
1865	10	15.1	2.6	539.9254355	32	288	0
1865	11	8.9	0.4	349.3867	52	288	0
1865	12	-0.3	-7.2	377.05915	87	288	0
1866	1	-0.2	-8.2	458.3386935	141	288	0
1866	2	-0.8	-11	613.6085172	38	288	0
1866	3	5.2	-3	674.3276129	61	288	0
1866	4	10.6	0.9	766.0939	62	288	0
1866	5	20.7	7.5	848.8796613	36	288	0
1866	6	23.9	11.4	808.7287	56	288	0
1866	7	25.7	15.9	698.256	71	288	0
1866	8	21.5	11.4	731.1858387	43	288	0
1866	9	20	8.6	677.7667	21	288	0
1866	10	15.1	2.6	539.9254355	32	288	0
1866	11	8.9	0.4	349.3867	52	288	0
1866	12	-0.3	-7.2	377.05915	87	288	0
1867	1	-0.2	-8.2	458.3386935	141	289	0
1867	2	-0.8	-11	613.6085172	38	289	0
1867	3	5.2	-3	674.3276129	61	289	0
1867	4	10.6	0.9	766.0939	62	289	0
1867	5	20.7	7.5	848.8796613	36	289	0
1867	6	23.9	11.4	808.7287	56	289	0
1867	7	25.7	15.9	698.256	71	289	0
1867	8	21.5	11.4	731.1858387	43	289	0
1867	9	20	8.6	677.7667	21	289	0
1867	10	15.1	2.6	539.9254355	32	289	0
1867	11	8.9	0.4	349.3867	52	289	0
1867	12	-0.3	-7.2	377.05915	87	289	0
1868	1	-0.2	-8.2	458.3386935	141	289	0
1868	2	-0.8	-11	613.6085172	38	289	0
1868	3	5.2	-3	674.3276129	61	289	0
1868	4	10.6	0.9	766.0939	62	289	0
1868	5	20.7	7.5	848.8796613	36	289	0
1868	6	23.9	11.4	808.7287	56	289	0
1868	7	25.7	15.9	698.256	71	289	0
1868	8	21.5	11.4	731.1858387	43	289	0
1868	9	20	8.6	677.7667	21	289	0
1868	10	15.1	2.6	539.9254355	32	289	0
1868	11	8.9	0.4	349.3867	52	289	0
1868	12	-0.3	-7.2	377.05915	87	289	0
1869	1	-0.2	-8.2	458.3386935	141	289	0
1869	2	-0.8	-11	613.6085172	38	289	0
1869	3	5.2	-3	674.3276129	61	289	0
1869	4	10.6	0.9	766.0939	62	289	0
1869	5	20.7	7.5	848.8796613	36	289	0
1869	6	23.9	11.4	808.7287	56	289	0
1869	7	25.7	15.9	698.256	71	289	0
1869	8	21.5	11.4	731.1858387	43	289	0
1869	9	20	8.6	677.7667	21	289	0
1869	10	15.1	2.6	539.9254355	32	289	0
1869	11	8.9	0.4	349.3867	52	289	0
1869	12	-0.3	-7.2	377.05915	87	289	0
1870	1	-0.2	-8.2	458.3386935	141	289	0
1870	2	-0.8	-11	613.6085172	38	289	0
1870	3	5.2	-3	674.3276129	61	289	0
1870	4	10.6	0.9	766.0939	62	289	0
1870	5	20.7	7.5	848.8796613	36	289	0
1870	6	23.9	11.4	808.7287	56	289	0
1870	7	25.7	15.9	698.256	71	289	0
1870	8	21.5	11.4	731.1858387	43	289	0
1870	9	20	8.6	677.7667	21	289	0
1870	10	15.1	2.6	539.9254355	32	289	0
1870	11	8.9	0.4	349.3867	52	289	0
1870	12	-0.3	-7.2	377.05915	87	289	0
1871	1	-0.2	-8.2	458.3386935	141	289	0
1871	2	-0.8	-11	613.6085172	38	289	0
1871	3	5.2	-3	674.3276129	61	289	0
1871	4	10.6	0.9	766.0939	62	289	0
1871	5	20.7	7.5	848.8796613	36	289	0
1871	6	23.9	11.4	808.7287	56	289	0
1871	7	25.7	15.9	698.256	71	289	0
1871	8	21.5	11.4	731.1858387	43	289	0
1871	9	20	8.6	677.7667	21	289	0
1871	10	15.1	2.6	539.9254355	32	289	0
1871	11	8.9	0.4	349.3867	52	289	0
1871	12	-0.3	-7.2	377.05915	87	289	0
1872	1	-0.2	-8.2	458.3386935	141	289	0
1872	2	-0.8	-11	613.6085172	38	289	0
1872	3	5.2	-3	674.3276129	61	289	0
1872	4	10.6	0.9	766.0939	62	289	0
1872	5	20.7	7.5	848.8796613	36	289	0
1872	6	23.9	11.4	808.7287	56	289	0
1872	7	25.7	15.9	698.256	71	289	0
1872	8	21.5	11.4	731.1858387	43	289	0
1872	9	20	8.6	677.7667	21	289	0
1872	10	15.1	2.6	539.9254355	32	289	0
1872	11	8.9	0.4	349.3867	52	289	0
1872	12	-0.3	-7.2	377.05915	87	289	0
1873	1	-0.2	-8.2	458.3386935	141	289	0
1873	2	-0.8	-11	613.6085172	38	289	0
1873	3	5.2	-3	674.3276129	61	289	0
1873	4	10.6	0.9	766.0939	62	289	0
1873	5	20.7	7.5	848.8796613	36	289	0
1873	6	23.9	11.4	808.7287	56	289	0
1873	7	25.7	15.9	698.256	71	289	0
1873	8	21.5	11.4	731.1858387	43	289	0
1873	9	20	8.6	677.7667	21	289	0
1873	10	15.1	2.6	539.9254355	32	289	0
1873	11	8.9	0.4	349.3867	52	289	0
1873	12	-0.3	-7.2	377.05915	87	289	0
1874	1	-0.2	-8.2	458.3386935	141	290	0
1874	2	-0.8	-11	613.6085172	38	290	0
1874	3	5.2	-3	674.3276129	61	290	0
1874	4	10.6	0.9	766.0939	62	290	0
1874	5	20.7	7.5	848.8796613	36	290	0
1874	6	23.9	11.4	808.7287	56	290	0
1874	7	25.7	15.9	698.256	71	290	0
1874	8	21.5	11.4	731.1858387	43	290	0
1874	9	20	8.6	677.7667	21	290	0
1874	10	15.1	2.6	539.9254355	32	290	0
1874	11	8.9	0.4	349.3867	52	290	0
1874	12	-0.3	-7.2	377.05915	87	290	0
1875	1	-0.2	-8.2	458.3386935	141	290	0
