Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2004,2004,1,1,0,0.01433391,1,0,0,0,0,0.01015089,0,0,0,0,115,196,0,1.648399,2.809446,7,0.0507497,1,0.1839697,3.37,0.9175308,1,0,0,0.03153576,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.140134,5,1.2,0,0,0
2004.08,2004,2,1,0,0.01433391,1,0,0,0,0,0.02593526,0,0,0,0,115,195,0,1.648399,2.795112,7,0.05085566,1,0.1839697,3.37,0.9678714,1,0,0,0.08074126,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.2454001,5,1.2,0,0,0
2004.17,2004,3,1,0,0.01433391,1,0,0,0,0,0.04964115,0,0,0,0,114,195,0,1.634065,2.795112,7,0.05096183,1,0.1839697,3.37,0.9746171,1,0,0,0.1548647,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.4512837,5,1.2,0,0,0
2004.25,2004,4,1,0,0.01433391,1,0,0,0,0,0.1021933,0,0,0,0,114,194,0,1.634065,2.780778,7,0.05106822,1,0.1825335,3.494,0.9874833,1,0,0.596912,0.3194766,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.8360475,5,1.2,0,0,0
2004.33,2004,5,1,0,0.01421483,1,0.07107414,0.001010307,5.084065,0.9030676,0.2050312,4.180998,0.02174863,0.01218406,14.92557,114,194,0.2121644,1.62049,2.757676,3.825113,0.02667081,1,0.1688515,5.224,0.7472799,1,0.9415506,0.9782491,0.6423064,1,True,0.987637,1.2,0.049,1,100,fRad,1.555,1.610006,5,1.2,14.92557,0.1791068,0
2004.42,2004,6,1,0,0.01421483,1,0.07107414,0.001010307,5.306372,1.044835,0.2638733,4.261537,0.02447503,0.01130023,14.92557,116,198,0.2121644,1.64892,2.814536,6.937704,0.04745938,1,0.1217507,23.768,0.7650275,1,0.9415506,0.9989367,0.8283683,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,2.436828,5,1.2,14.92557,0.1791068,0
2004.5,2004,7,1,0,0.01447177,1,0.07235888,0.001047161,4.749098,1.320354,0.3250204,3.428745,0.02209532,0.01140523,15.19536,116,197,0.2199039,1.678726,2.85094,9.639437,0.06601853,1,0.1312427,16.35,0.7166771,1,0.9415506,0.9341965,1,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,3.48746,5,1.2,15.19536,0.1823444,0
2004.58,2004,8,1,0,0.01447177,1,0.07235888,0.001047161,3.823366,1.316655,0.3243433,2.506711,0.01822725,0.01113058,15.19536,116,197,0.2199039,1.678726,2.85094,11.87851,0.08151548,0.8380952,0.09254202,92.004,0.7446427,1,0.9415506,0.9353072,1,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,4.513201,5,1.2,15.19536,0.1823444,0
2004.67,2004,9,1,0,0.01447177,1,0.07235888,0.001047161,3.702093,1.033215,0.2360083,2.668879,0.01576787,0.01245855,15.19536,115,197,0.2199039,1.664254,2.85094,14.28825,0.09824729,1,0.1518362,12.95,0.6391671,1,0.9415506,0.9995341,0.7291688,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,5.271502,5,1.2,15.19536,0.1823444,0
2004.75,2004,10,1,0,0.01447177,1,0.07235888,0.001047161,1.486183,0.6351376,0.1142048,0.8510458,0.003602732,0.02188939,15.19536,115,196,0.2199039,1.664254,2.836468,15.03526,0.1035896,1,0.1829073,3.46,0.3908513,1,0.9415506,0.6871248,0.3535826,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,5.663167,5,1.2,15.19536,0.1823444,0
