Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,acerrubr,0.003951023,1,0.3951024,3,False
1,acersacc,0.005351568,1,0.5351568,3,False
1,betualle,0.003262378,1,0.3262378,3,False
1,betupapy,0.002067261,1,0.2067261,3,False
1,fagugran,0.005377452,1,0.5377452,3,False
1,picerube,0.007231707,1,0.7231707,3,False
1,pinustro,0.003200281,1,0.3200281,3,False
1,popugran,0.002396216,1,0.2396216,3,False
1,querrubr,0.003235546,1,0.3235546,3,False
1,tsugcana,0.005564017,1,0.5564017,3,False
2,acerrubr,0.003021789,1,0.3021789,3,False
2,acersacc,0.00423096,1,0.423096,3,False
2,betualle,0.002443117,1,0.2443117,3,False
2,betupapy,0.001822498,1,0.1822498,3,False
2,fagugran,0.004251424,1,0.4251424,3,False
2,picerube,0.006543262,1,0.6543263,3,False
2,pinustro,0.002836275,1,0.2836275,3,False
2,popugran,0.00210478,1,0.210478,3,False
2,querrubr,0.002423023,1,0.2423023,3,False
2,tsugcana,0.004398922,1,0.4398922,3,False
3,acerrubr,0.004887778,1,0.4887778,3,False
3,acersacc,0.006423914,1,0.6423914,3,False
3,betualle,0.004114524,1,0.4114524,3,False
3,betupapy,0.002641522,1,0.2641522,3,False
3,fagugran,0.006454985,1,0.6454985,3,False
3,picerube,0.008680794,1,0.8680795,3,False
3,pinustro,0.004036207,1,0.4036207,3,False
3,popugran,0.003090146,1,0.3090146,3,False
3,querrubr,0.004080683,1,0.4080683,3,False
3,tsugcana,0.006678932,1,0.6678932,3,False
4,acerrubr,0.003888413,1,0.3888413,3,False
4,acersacc,0.005269332,1,0.5269333,3,False
4,betualle,0.003210243,1,0.3210243,3,False
4,betupapy,0.002034188,1,0.2034188,3,False
4,fagugran,0.005294819,1,0.5294819,3,False
4,picerube,0.00712058,1,0.712058,3,False
4,pinustro,0.003149138,1,0.3149138,3,False
4,popugran,0.002357931,1,0.2357931,3,False
4,querrubr,0.003183839,1,0.3183839,3,False
4,tsugcana,0.005478516,1,0.5478516,3,False
5,acerrubr,0.004758708,1,0.4758708,3,False
5,acersacc,0.00627949,1,0.627949,3,False
5,betualle,0.003995512,1,0.3995512,3,False
5,betupapy,0.002560614,1,0.2560614,3,False
5,fagugran,0.006309862,1,0.6309862,3,False
5,picerube,0.008485631,1,0.8485631,3,False
5,pinustro,0.003919461,1,0.3919461,3,False
5,popugran,0.00299179,1,0.299179,3,False
5,querrubr,0.00396265,1,0.396265,3,False
5,tsugcana,0.006528776,1,0.6528776,3,False
6,acerrubr,0.003617717,1,0.3617717,3,False
6,acersacc,0.004940537,1,0.4940537,3,False
6,betualle,0.002972368,1,0.2972368,3,False
6,betupapy,0.002120816,1,0.2120816,3,False
6,fagugran,0.004964433,1,0.4964433,3,False
6,picerube,0.007384408,1,0.7384408,3,False
6,pinustro,0.002915791,1,0.2915792,3,False
6,popugran,0.002459835,1,0.2459835,3,False
6,querrubr,0.002947921,1,0.2947921,3,False
6,tsugcana,0.005136668,1,0.5136668,3,False
7,acerrubr,0.004171275,1,0.4171275,3,False
7,acersacc,0.005597002,1,0.5597003,3,False
7,betualle,0.003465878,1,0.3465878,3,False
7,betupapy,0.002205766,1,0.2205766,3,False
7,fagugran,0.005624073,1,0.5624073,3,False
7,picerube,0.008548304,1,0.8548305,3,False
7,pinustro,0.003399908,1,0.3399908,3,False
7,popugran,0.002564711,1,0.2564711,3,False
7,querrubr,0.003437372,1,0.3437372,3,False
7,tsugcana,0.005819194,1,0.5819194,3,False
8,acerrubr,0.00423591,1,0.423591,3,False
8,acersacc,0.00567266,1,0.567266,3,False
8,betualle,0.003523835,1,0.3523835,3,False
8,betupapy,0.002244442,1,0.2244442,3,False
8,fagugran,0.005700097,1,0.5700098,3,False
8,picerube,0.007665607,1,0.7665607,3,False
8,pinustro,0.003456761,1,0.3456762,3,False
