Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1930,1,0,0,0,0,0.0579001,0,0,0,0,46,93,6.9421,0.0498649,1,188.5732,3,0.6979063,1,0,0,0.08271444,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.08,1,0,0,0,0,0.06368347,0,0,0,0,46,93,6.878416,0.04940745,1,188.5732,3,0.7743857,1,0,0,0.09097638,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.17,1,0,0,0,0,0.100082,0,0,0,0,46,93,6.778335,0.04868858,1,188.5732,3,0.8188882,1,0,0,0.1429743,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.25,1,0,0,0,0,0.1795162,0,0,0,0,46,93,6.598818,0.04739911,1,188.5732,3,0.8543969,1,0,0.5283893,0.2564518,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.33,1,0,0.04657932,3.60945,0.2938189,0.2802527,3.31563,0.7071409,0.1406323,2.784364,46,93,8.381231,0.05902816,1,188.5732,3,0.8262076,1,1.021269,0.8252396,0.4003611,1,True,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.42,1,0,0.04657932,4.169916,0.4115437,0.4140964,3.758372,1.07236,0.1051196,2.784364,46,93,11.72551,0.08258157,1,188.5732,3,0.8220897,1,1.021269,0.964065,0.5915663,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.5,1,0,0.04657932,4.282742,0.4896325,0.4856603,3.793109,1.236366,0.09201806,2.784364,46,93,15.03296,0.1058756,1,188.5732,3,0.8125728,1,1.021269,0.9923627,0.6938004,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.58,1,0,0.04657932,3.93797,0.4535093,0.4290338,3.484461,1.021762,0.1022847,2.784364,46,93,18.08839,0.1273947,1,186.923,3,0.7958238,1,1.021269,0.9770412,0.6129054,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.67,1,0,0.04657932,3.0509,0.3250488,0.2993328,2.725851,0.5973461,0.1368677,2.784364,46,93,20.51491,0.1444844,1,188.1,3,0.767857,1,1.021269,0.8729697,0.4276183,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.75,1,0,0,0,0,0.1991797,0,0,0,0,46,93,20.31572,0.1459272,1,188.1079,3,0.7117141,1,0,0.6455868,0.2845424,1,False,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.83,1,0,0,0,0,0.1105081,0,0,0,0,46,93,20.20521,0.1451334,1,188.5732,3,0.6773163,1,0,0.03298431,0.1578687,1,False,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.92,2,0,0,0,0,0.07139029,0,0,0,0,49,101,6.869434,0.04564405,1,188.5732,3,0.654504,1,0,0,0.1019861,1,False,0.9939618,2.1,0.02,1,151.5,fTemp,
1931,2,0,0,0,0,0.06262077,0,0,0,0,49,101,6.806814,0.04522797,1,188.5732,3,0.6979063,1,0,0,0.08271444,1,False,0.9939618,2.1,0.02,1,151.5,fTemp,
1931.08,2,0,0,0,0,0.06887566,0,0,0,0,49,101,6.737937,0.04477032,1,188.5732,3,0.7743857,1,0,0,0.09097638,1,False,0.9939618,2.1,0.02,1,151.5,fTemp,
1931.17,2,0,0,0,0,0.1082418,0,0,0,0,49,101,6.629695,0.0440511,1,188.5732,3,0.8188882,1,0,0,0.1429743,1,False,0.9939618,2.1,0.02,1,151.5,fTemp,
1931.25,2,0,0,0,0,0.1941524,0,0,0,0,49,101,6.435544,0.04276106,1,188.5732,3,0.8543969,1,0,0.5283893,0.2564518,1,False,0.9939618,2.1,0.02,1,151.5,fTemp,
