Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1940,1,0,0,0,0,0.0266039,0,0,0,0,46,93,6.973397,0.0500897,1,188.5732,3,0.6349207,1,0,0,0.09501394,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.08,1,0,0,0,0,0.02926124,0,0,0,0,46,93,6.944136,0.04987952,1,188.5732,3,0.7209705,1,0,0,0.1045044,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.17,1,0,0,0,0,0.04604292,0,0,0,0,46,93,6.898093,0.04954879,1,188.5732,3,0.7729196,1,0,0,0.164439,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.25,1,0,0,0,0,0.08258784,0,0,0,0,46,93,6.815505,0.04895556,1,188.5732,3,0.8154093,1,0,0.606814,0.2949565,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.33,1,0,0.04657932,3.817097,0.3836822,0.1288969,3.433415,0.7101166,0.1450178,2.784364,46,93,8.867059,0.06244979,1,167.4549,5.6,0.7099634,1,1.021269,0.8801895,0.4603459,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.42,1,0,0.04657932,4.260087,0.5368466,0.1903058,3.723241,1.040312,0.1073451,2.784364,46,93,12.39999,0.08733191,1,182.3432,3.2,0.7043152,1,1.021269,0.9884925,0.6796634,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.5,1,0,0.04657932,4.298969,0.6385149,0.2230092,3.660454,1.178476,0.093162,2.784364,46,93,15.83744,0.1115415,1,181.1747,3.4,0.6914229,1,1.021269,0.9999998,0.7964615,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.58,1,0,0.04657932,3.946834,0.5915011,0.1969112,3.355333,0.9724286,0.103491,2.784364,46,93,18.99586,0.1337859,1,181.93,3.2,0.669259,1,1.021269,0.9954438,0.7032541,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.67,1,0,0.04657932,3.088305,0.4242894,0.1373584,2.664016,0.5741823,0.1391591,2.784364,46,93,21.52252,0.1515809,1,186.2919,3,0.6336439,1,1.021269,0.9206426,0.4905658,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.75,1,0,0.04657932,2.068442,0.291472,0.09140232,1.77697,0.2680382,0.198842,2.784364,46,93,23.20809,0.1634522,1,188.0169,3,0.5762905,1,1.021269,0.7175319,0.3264368,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
