Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.002501834,0.9940959,0.0002514164,60,False
10,acerrubr,0.00187405,1,0.0001877736,50,False
10,acersacc,0.004536967,0.992915,0.0004562885,50,False
10,betualle,0.001438562,0.992915,0.0001441998,50,False
10,betupapy,0.0003259862,0.9826254,3.267156E-05,50,False
10,fraxamer,0.0006326461,1,6.330793E-05,50,False
10,piceglau,0.00112389,1,0.0001126245,60,False
10,pinubank,0.0003443946,1,3.446268E-05,60,False
10,pinuresi,0.0003266001,1,3.267156E-05,50,False
10,pinustro,0.0006326461,1,6.330793E-05,50,False
10,poputrem,0.0003441006,0.9855212,3.446268E-05,60,False
10,querelli,0.0005882363,1,5.888933E-05,60,False
10,querrubr,0.00112389,1,0.0001126245,60,False
10,thujocci,0.0006321263,0.992915,6.330793E-05,50,False
10,tiliamer,0.001439787,1,0.0001441998,50,False
10,tsugcana,0.006041628,0.992915,0.0006085762,50,False
20,abiebals,0.007283404,1,0.0007326924,60,False
20,acerrubr,0.005703086,1,0.0005719459,50,False
20,acersacc,0.01379721,1,0.001389344,50,False
20,betualle,0.004458511,1,0.0004468567,50,False
20,betupapy,0.00102684,1,0.0001027372,50,False
20,fraxamer,0.001977565,1,0.0001979547,50,False
20,piceglau,0.00330477,1,0.0003313947,60,False
20,pinubank,0.001023579,1,0.0001024484,60,False
20,pinuresi,0.00102684,1,0.0001027372,50,False
20,pinustro,0.001977565,1,0.0001979547,50,False
20,poputrem,0.001023579,1,0.0001024484,60,False
20,querelli,0.001740812,1,0.0001743397,60,False
20,querrubr,0.00330477,1,0.0003313947,60,False
20,thujocci,0.001977565,1,0.0001979547,50,False
20,tiliamer,0.004458511,1,0.0004468567,50,False
20,tsugcana,0.01825864,1,0.001842731,50,False
30,abiebals,0.01027806,1,0.001036104,60,False
30,acerrubr,0.0082318,1,0.0008265853,50,False
30,acersacc,0.01979529,1,0.001999337,50,False
30,betualle,0.006515951,1,0.0006537389,50,False
30,betupapy,0.001523349,1,0.000152452,50,False
30,fraxamer,0.002916957,1,0.0002921259,50,False
30,piceglau,0.004712319,1,0.0004730188,60,False
30,pinubank,0.001475535,1,0.0001477337,60,False
30,pinuresi,0.001523349,1,0.000152452,50,False
30,pinustro,0.002916957,1,0.0002921259,50,False
30,poputrem,0.001475535,1,0.0001477337,60,False
30,querelli,0.002498452,1,0.0002503558,60,False
30,querrubr,0.004712319,1,0.0004730188,60,False
30,thujocci,0.002916957,1,0.0002921259,50,False
30,tiliamer,0.006515951,1,0.0006537389,50,False
30,tsugcana,0.02603946,1,0.002638286,50,False
40,abiebals,0.01329083,1,0.001342149,60,False
40,acerrubr,0.01100437,1,0.001106494,50,False
40,acersacc,0.0262887,1,0.002663709,50,False
40,betualle,0.008796722,1,0.0008835573,50,False
40,betupapy,0.002084118,1,0.0002086301,50,False
40,fraxamer,0.003970421,1,0.000397834,50,False
40,piceglau,0.006141498,1,0.0006170031,60,False
40,pinubank,0.001938797,1,0.0001941719,60,False
40,pinuresi,0.002084118,1,0.0002086301,50,False
40,pinustro,0.003970421,1,0.000397834,50,False
40,poputrem,0.001938797,1,0.0001941719,60,False
40,querelli,0.003272107,1,0.0003280339,60,False
40,querrubr,0.006141498,1,0.0006170031,60,False
40,thujocci,0.003970421,1,0.000397834,50,False
40,tiliamer,0.008796722,1,0.0008835573,50,False
40,tsugcana,0.03439671,1,0.003499501,50,False
50,abiebals,0.01607126,1,0.001624707,60,False
50,acerrubr,0.01404188,1,0.001414058,50,False
50,acersacc,0.03330623,1,0.00338671,50,False
50,betualle,0.01131956,1,0.001138392,50,False
50,betupapy,0.002715815,1,0.0002719528,50,False
50,fraxamer,0.005148928,1,0.000516225,50,False
50,piceglau,0.007463695,1,0.0007502337,60,False
50,pinubank,0.002368377,1,0.0002372361,60,False
50,pinuresi,0.002715815,1,0.0002719528,50,False
50,pinustro,0.005148928,1,0.000516225,50,False
50,poputrem,0.002368377,1,0.0002372361,60,False
50,querelli,0.003988864,1,0.000400006,60,False
50,querrubr,0.007463695,1,0.0007502337,60,False
50,thujocci,0.005148928,1,0.000516225,50,False
50,tiliamer,0.01131956,1,0.001138392,50,False
50,tsugcana,0.04335873,1,0.004431342,50,False
