Time,Year,Month,Ecoregion,SoilType,NrOfCohorts,MaxLayerRatio,Layers,SumCanopyProp,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),Potential Evapotranspiration(mm),Potential Evaporation(mm),Evaporation(mm),PotentialTranspiration(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),Water(m/m),PressureHead(m),Surface Water (mm),Available Water (mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,SoilDiffusivity(mm2_s),ActiveLayerDepth(mm/mo),LeakageFrac(-),AverageAlbedo(ratio_W_m2),FrostDepth(mm/mo),SPEI,Canopy%N
1901,1901,1,eco999,SALO,1,0.999999999933871,1,0.02402076,350,-13.84,-8.185,-5.3575,-2.53,35.46,375,0,0,0,0,0,0,0,0,0,0,0.1839697,3.37,0,102.9133,30.141,0,0.2058431,0,0,0.0001969315,4.996318,2.474138,0,0.1679484,0,0,0,0,0,350,0.4093428,0,0.1,0.7499999,250,0,0
1901.083,1901,2,eco999,SALO,1,0.999999999933871,1,0.02402076,520,-13.43,-7.15,-4.01,-0.87,25.87,375,0,0,0,0,0,0,0,0,0,0,0.1839697,3.37,0,102.9133,52.1305,0,0.2462872,0,0,0.0002350916,4.996318,2.474138,0,0.1677133,0,0,0,0,0,520,0.4093428,0,0.1,0.7499999,0,0,0
1901.167,1901,3,eco999,SALO,1,0.999999999933871,1,0.02402076,685,-7.35,-1.135,1.9725,5.08,43.34,375,0,0,9.445465,0,0,0,0,0,0,2.392987,0.1960611,2.5,0,115.0047,68.62911,0,0.3765831,0,0,0.0005235146,4.996318,2.474138,0,0.1671898,0,0,0,0,0,685,0.4093428,0,0.1,0.7499999,0,0,0
1901.25,1901,4,eco999,SALO,1,0.999999999933871,1,0.02402076,889,-0.28,6.71,10.205,13.7,75.55,375,0,0,60.251,49.46592,49.46592,40.97868,0,0,0,7.555,0.2314555,1.16,0,150.399,0,0,0.6480249,0,0,0.001357098,4.996318,2.474138,0,0.1658327,0,0,0,0,0,889,0.4093428,0,0.1,0.24,0,0,0
1901.333,1901,5,eco999,SALO,1,0.999999999933871,1,0.02402076,996,4.91,12.56,16.385,20.21,110.41,375,0,0,63.63866,81.02394,81.02394,42.29349,0.04810108,0.04810108,0,11.041,0.2248442,1.32,0,143.7878,0,0.002479762,0.9965439,0.2115006,0.1911668,0.002595401,4.996318,2.474138,0.147562,0.2880011,0,0,0,0,0,994.6095,0.4093428,0,0.1,0.234235,0,0,2.3
1901.417,1901,6,eco999,SALO,1,0.999999999933871,1,0.02402076,968,10.6,17.96,21.64,25.32,129.3,375,0,0,65.03582,114.0197,113.8643,42.98516,0.06783515,0.06783515,0.03205935,12.9268,0.2330966,1.12,0,152.0402,0,0.002479762,1.308112,0.2272287,0.1987776,0.004321635,4.996318,2.474138,0.147562,0.4824571,0,0,0,0,0,966.6486,0.4093428,0,0.1,0.234235,0,0,2.3
1901.5,1901,7,eco999,SALO,1,0.999999999933871,1,0.02402076,908,13.16,20.38,23.99,27.6,96.06,375,0,0,58.72721,133.6777,133.4956,41.10012,0.07519759,0.07519759,0.02381764,9.603618,0.2196266,1.48,0,138.5702,0,0.002479762,1.468441,0.2243885,0.1905494,0.005238952,4.996318,2.474138,0.147562,0.6677674,0,0,0,0,0,906.7324,0.4093428,0,0.1,0.234235,0,0,2.3
1901.583,1901,8,eco999,SALO,1,0.999999999933871,1,0.02402076,816,12.06,19.03,22.515,26,112.18,375,0,0,55.69872,114.9885,114.8318,40.80509,0.06319129,0.06319129,0.02781452,11.21522,0.2239966,1.35,0,142.9402,0,0.002479762,1.319802,0.2097981,0.1784505,0.004524902,4.996318,2.474138,0.147562,0.8416929,0,0,0,0,0,814.8608,0.4093428,0,0.1,0.234235,0,0,2.3
1901.667,1901,9,eco999,SALO,1,0.999999999933871,1,0.02402076,692,7.58,14.395,17.8025,21.21,92.83,375,0,0,53.02486,75.86906,75.76566,39.56825,0.03911763,0.03911763,0.02301678,9.280699,0.2148908,1.63,0,133.8343,0,0.002479762,0.9959317,0.1721061,0.1496202,0.002859791,4.996318,2.474138,0.147562,0.9884531,0,0,0,0,0,691.0339,0.4093428,0,0.1,0.234235,0,0,2.3
1901.75,1901,10,eco999,SALO,1,0.999999999933871,1,0.02402076,510,2.61,9.075,12.3075,15.54,59.78,375,0,0,34.10569,49.86157,49.79361,35.31942,0.01845701,0.01845701,0.01482218,5.976518,0.1992358,2.32,0,118.1794,0,0.002479762,0.6941499,0.1165095,0.1010625,0.001607852,4.996318,2.474138,0.147562,1.087908,0,0,0,0,0,509.288,0.4093428,0,0.1,0.234235,0,0,2.3
1901.833,1901,11,eco999,SALO,1,0.999999999933871,1,0.02402076,318,-4.17,0.865,3.3825,5.9,61.27,375,0,0,30.73332,24.67068,24.63705,0,0,0,0.01272841,5.132278,0.214693,1.64,0,133.6366,8.44432,0,0.3477341,0,0,0.0006226253,4.996318,2.474138,0,1.087285,0,0.147561997175217,0,0,0.147562,318,0.4093428,0,0.1,0.4511079,0,0,0
