Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1999,1999,1,1,0,0.0129676,1,0,0,0,0,0.01135702,0,0,0,0,109,202,0,1.413469,2.619456,7,0.0507497,1,0.1773282,3.99,0.7261634,1,0,0,0.03528284,1,False,0.987637,2.234286,0.021,1,137,fTemp,1.555,0.1665532,5,2.234286,0,0,0
1999.08,1999,2,1,0,0.0129676,1,0,0,0,0,0.01537624,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05085566,1,0.1829948,3.454,0.8602825,1,0,0,0.04786909,1,False,0.987637,2.234286,0.021,1,137,fTemp,1.555,0.2632284,5,2.234286,0,0,0
1999.17,1999,3,1,0,0.0129676,1,0,0,0,0,0.02519573,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05096183,1,0.1839697,3.37,0.9522005,1,0,0,0.07860272,1,False,0.987637,2.234286,0.021,1,137,fTemp,1.555,0.4248279,5,2.234286,0,0,0
1999.25,1999,4,1,0,0.0129676,1,0,0,0,0,0.05379402,0,0,0,0,108,200,0,1.400501,2.593521,7,0.05106822,1,0.1838124,3.382,0.9740851,1,0,0.3296484,0.1681708,1,False,0.987637,2.234286,0.021,1,137,fTemp,1.555,0.7528684,5,2.234286,0,0,0
1999.33,1999,5,1,0,0.01285932,1,0.0642966,0.0008268104,5.247652,0.7553445,0.1113976,4.492307,0.01434988,0.01724274,6.396672,108,200,0.08225685,1.388806,2.571864,4.124971,0.02954239,1,0.1466511,9.694,0.6559844,1,0.8949443,0.7623438,0.3489781,1,True,0.987637,2.234286,0.021,1,137,fRad,1.555,1.416087,5,2.234286,6.396672,0.1429199,0
1999.42,1999,6,1,0,0.01285932,1,0.0642966,0.0008268104,4.736893,1.13586,0.2071202,3.601032,0.01722144,0.01296921,6.396672,110,204,0.08225685,1.414525,2.623301,6.616921,0.04646981,0.6998536,0.0849425,123.306,0.6857718,1,0.8949443,0.9751938,0.6502051,1,True,0.9875174,2.234286,0.021,1,137,fRad,1.555,2.359927,5,2.234286,6.396672,0.1429199,0
1999.5,1999,7,1,0,0.01309299,1,0.06546494,0.0008571318,1.650903,1.34428,0.251211,0.3066235,0.006457507,0.01227346,6.512299,110,204,0.08526546,1.440229,2.67097,6.638877,0.0467025,0.2392683,0.08237891,142.19,0.6710864,1,0.8949443,0.9975,0.7729086,1,True,0.9875174,2.234286,0.021,1,137,Too dry,1.555,3.488998,5,2.234286,6.512299,0.1455033,0
1999.58,1999,8,1,0,0.01309299,1,0.06546494,0.0008571318,3.832942,1.194939,0.2031281,2.638004,0.01254281,0.01467059,6.512299,109,203,0.08526546,1.427136,2.657877,9.008575,0.06350222,0.6529269,0.08901623,106.988,0.6166056,1,0.8949443,0.969375,0.6262751,1,True,0.9875174,2.234286,0.021,1,137,fRad,1.555,4.42311,5,2.234286,6.512299,0.1455033,0
1999.67,1999,9,1,0,0.01309299,1,0.06546494,0.0008571318,4.280189,0.9878765,0.1557845,3.292312,0.01161777,0.01768684,6.512299,109,203,0.08526546,1.427136,2.657877,12.00127,0.08477103,1,0.168187,5.164,0.5430241,1,0.8949443,0.900775,0.4813101,1,True,0.9875174,2.234286,0.021,1,137,fRad,1.555,5.158272,5,2.234286,6.512299,0.1455033,0
1999.75,1999,10,1,0,0.01309299,1,0.06546494,0.0008571318,1.689658,0.5041237,0.0589363,1.185535,0.002971673,0.02729657,6.512299,109,202,0.08526546,1.427136,2.644784,13.06853,0.09249838,1,0.1836661,3.394,0.508684,1,0.8949443,0.397436,0.1824692,1,True,0.9875174,2.234286,0.021,1,137,fTemp,1.555,5.416151,5,2.234286,6.512299,0.1455033,0
