Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,,percent_abiebals,percent_acerrubr,percent_acersacc,percent_betualle,percent_betupapy,percent_fraxamer,percent_piceglau,percent_pinubank,percent_pinuresi,percent_pinustro,percent_poputrem,percent_querelli,percent_querrubr,percent_thujocci,percent_tiliamer,percent_tsugcana
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, ,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00
10, eco999, 1, 0, 3397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13184, 0, 0, 0, ,0.00,20.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.51,0.00,0.00,0.00
20, eco999, 1, 0, 4477, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15518, 0, 0, 0, ,0.00,22.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.61,0.00,0.00,0.00
30, eco999, 1, 0, 1418, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3228, 0, 0, 0, ,0.00,30.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.48,0.00,0.00,0.00
40, eco999, 1, 0, 2808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4885, 0, 0, 0, ,0.00,36.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.50,0.00,0.00,0.00
50, eco999, 1, 0, 3667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2856, 0, 0, 0, ,0.00,56.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.78,0.00,0.00,0.00
60, eco999, 1, 0, 8774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1663, 0, 0, 0, ,0.00,84.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.93,0.00,0.00,0.00
70, eco999, 1, 0, 12268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1065, 0, 0, 0, ,0.00,92.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.99,0.00,0.00,0.00
80, eco999, 1, 0, 11229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 601, 0, 0, 0, ,0.00,94.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.08,0.00,0.00,0.00
90, eco999, 1, 0, 10970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1524, 0, 0, 0, ,0.00,87.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,0.00,0.00,0.00
100, eco999, 1, 0, 3949, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3050, 0, 0, 0, ,0.00,56.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.58,0.00,0.00,0.00
110, eco999, 1, 0, 6408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6061, 0, 0, 0, ,0.00,51.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.61,0.00,0.00,0.00
120, eco999, 1, 0, 5847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9844, 0, 0, 0, ,0.00,37.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.74,0.00,0.00,0.00
130, eco999, 1, 0, 9961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2611, 0, 0, 0, ,0.00,79.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.77,0.00,0.00,0.00
140, eco999, 1, 0, 10451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4371, 0, 0, 0, ,0.00,70.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.49,0.00,0.00,0.00
150, eco999, 1, 0, 5421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3299, 0, 0, 0, ,0.00,62.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.83,0.00,0.00,0.00
160, eco999, 1, 0, 8980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4783, 0, 0, 0, ,0.00,65.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.75,0.00,0.00,0.00
170, eco999, 1, 0, 12529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1644, 0, 0, 0, ,0.00,88.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.60,0.00,0.00,0.00
180, eco999, 1, 0, 12884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, ,0.00,98.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00
190, eco999, 1, 0, 5907, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, ,0.00,98.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.84,0.00,0.00,0.00
200, eco999, 1, 0, 9027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 661, 0, 0, 0, ,0.00,93.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82,0.00,0.00,0.00
210, eco999, 1, 0, 13757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1148, 0, 0, 0, ,0.00,92.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70,0.00,0.00,0.00
