<<<<<<<<<<<<<<<<<Biomass Allometry,,,
minimum_DBH,2.54,,
SpType,Species,V0,V1  
1,Aspen,-2.2094,2.3867
2,Alder,-2.2094,2.3867
3,Cottonwood,-2.2094,2.3867
4,Willow,-2.2094,2.3867
5,Soft maple,-1.9123,2.3651
6,Birch,-1.9123,2.3651
7,Mixed hardwood,-2.48,2.4835
8,Hard maple,-2.0127,2.4342
9,Hickory,-2.0127,2.4342
10,Beech,-2.0127,2.4342
11,Oak,-2.0127,2.4342
12,Cedar,-2.0336,2.2592
13,Larch,-2.0336,2.2592
14,Douglas-fir,-2.2304,2.4435
15,True fir,-2.5384,2.4814
16,Hemlock,-2.5384,2.4814
17,Pine,-2.5356,2.4349
18,Spruce,-2.0773,2.3323
19,Grass,-1,1
