Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
5, eco999, 1, 18000, 0, 0, 0, 0, 
10, eco999, 1, 12073, 1001, 443, 9104, 0, 
15, eco999, 1, 12073, 1001, 443, 9104, 0, 
20, eco999, 1, 17355, 1071, 451, 4314, 0, 
25, eco999, 1, 17355, 1071, 451, 4314, 0, 
30, eco999, 1, 20126, 1104, 456, 4035, 0, 
35, eco999, 1, 20126, 1104, 456, 4035, 0, 
40, eco999, 1, 14280, 1029, 453, 10911, 0, 
45, eco999, 1, 14280, 1029, 453, 10911, 0, 
50, eco999, 1, 1175, 0, 1, 3026, 0, 
55, eco999, 1, 5190, 1045, 431, 1834, 0, 
60, eco999, 1, 2970, 1102, 443, 6819, 0, 
65, eco999, 1, 2970, 1102, 443, 6819, 0, 
70, eco999, 1, 7008, 994, 459, 5672, 0, 
75, eco999, 1, 7008, 994, 459, 5672, 0, 
80, eco999, 1, 14024, 1091, 478, 2703, 0, 
85, eco999, 1, 14024, 1091, 478, 2703, 0, 
90, eco999, 1, 9492, 1019, 476, 9889, 0, 
95, eco999, 1, 9492, 1019, 476, 9889, 0, 
100, eco999, 1, 12575, 1061, 462, 6361, 0, 
105, eco999, 1, 12575, 1061, 462, 6361, 0, 
110, eco999, 1, 16729, 1109, 474, 4198, 0, 
115, eco999, 1, 16729, 1109, 474, 4198, 0, 
120, eco999, 1, 17976, 1141, 472, 5085, 0, 
125, eco999, 1, 17976, 1141, 472, 5085, 0, 
130, eco999, 1, 19665, 1154, 446, 4989, 0, 
135, eco999, 1, 19665, 1154, 446, 4989, 0, 
140, eco999, 1, 20595, 1161, 389, 5178, 0, 
145, eco999, 1, 20595, 1161, 389, 5178, 0, 
150, eco999, 1, 19637, 1156, 293, 5421, 0, 
155, eco999, 1, 19637, 1156, 293, 5421, 0, 
160, eco999, 1, 12182, 1130, 229, 7716, 0, 
165, eco999, 1, 12182, 1130, 229, 7716, 0, 
170, eco999, 1, 9644, 1065, 461, 7351, 0, 
175, eco999, 1, 9644, 1065, 461, 7351, 0, 
180, eco999, 1, 13489, 1113, 480, 4972, 0, 
185, eco999, 1, 13489, 1113, 480, 4972, 0, 
190, eco999, 1, 9368, 994, 452, 7301, 0, 
195, eco999, 1, 9368, 994, 452, 7301, 0, 
200, eco999, 1, 13877, 1078, 474, 4399, 0, 
205, eco999, 1, 13877, 1078, 474, 4399, 0, 
210, eco999, 1, 13888, 1115, 492, 5961, 0, 
215, eco999, 1, 13888, 1115, 492, 5961, 0, 
220, eco999, 1, 16588, 1137, 494, 5185, 0, 
225, eco999, 1, 16588, 1137, 494, 5185, 0, 
230, eco999, 1, 19169, 1150, 490, 4812, 0, 
235, eco999, 1, 19169, 1150, 490, 4812, 0, 
240, eco999, 1, 18285, 1159, 476, 6450, 0, 
245, eco999, 1, 18285, 1159, 476, 6450, 0, 
250, eco999, 1, 19308, 1164, 442, 6043, 0, 
255, eco999, 1, 19308, 1164, 442, 6043, 0, 
260, eco999, 1, 18698, 1163, 377, 6380, 0, 
265, eco999, 1, 18698, 1163, 377, 6380, 0, 
270, eco999, 1, 7771, 976, 387, 9907, 0, 
275, eco999, 1, 7771, 976, 387, 9907, 0, 
280, eco999, 1, 8316, 1076, 428, 8823, 0, 
285, eco999, 1, 8316, 1076, 428, 8823, 0, 
290, eco999, 1, 3949, 996, 427, 11754, 0, 
295, eco999, 1, 3949, 996, 427, 11754, 0, 
300, eco999, 1, 11440, 1011, 411, 4454, 0, 
