Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1941,1941,1,1,0,0.02402076,1,0,0,0,0,0.01205663,0,0,0,0,103,208,0,2.474138,4.996318,7,0.05068621,1,0.1374145,13.124,0.8657402,1,0,0,0.04307476,1,False,0.987637,2.584615,0.02,1,158.1,fTemp,1.555,5.500458,4.297703,2.584615,0,0,0
1941.08,1941,2,1,0,0.02402076,1,0,0,0,0,0.009887748,0,0,0,0,102,208,0,2.450118,4.996318,7,0.05072848,1,0.1466436,9.68,0.9319515,1,0,0,0.03535546,1,False,0.987637,2.584615,0.02,1,158.1,fTemp,1.555,9.704456,4.297703,2.584615,0,0,0
1941.17,1941,3,1,0,0.02402076,1,0,0,0,0,0.02438999,0,0,0,0,102,208,0,2.450118,4.996318,7,0.05077079,1,0.1928114,2.778,0.9479199,1,0,0.01300093,0.08728363,1,False,0.987637,2.584615,0.02,1,158.1,fTemp,1.555,17.90351,4.297703,2.584615,0,0,0
1941.25,1941,4,1,0,0.02402076,1,0,0,0,0,0.04287976,0,0,0,0,102,208,0,2.450118,4.996318,7,0.05081313,1,0.2245612,1.33,0.9652064,1,0,0.399375,0.1535804,1,False,0.987637,2.584615,0.02,1,158.1,fTemp,1.555,21,4.297703,2.584615,0,0,0
1941.33,1941,5,1,0,0.02394013,1,0.1028876,0.002463142,2.898619,0.8615229,0.1056615,2.037096,0.01710274,0.01487727,6.122652,102,208,0.1465771,2.441893,4.979548,1.834193,0.01306721,1,0.1742277,4.338,0.3085133,1,0.8140673,0.8601891,0.3787581,1,True,0.987637,2.584615,0.02,1,158.1,fRad,1.555,21,4.297703,2.584615,6.122652,0.158247,0
1941.42,1941,6,1,0,0.02394013,1,0.1028876,0.002463142,3.028573,1.057438,0.1478112,1.971135,0.02069815,0.01284412,6.122652,104,212,0.1465771,2.489774,5.075308,2.815828,0.01965131,1,0.1185731,26.126,0.2963757,1,0.8140673,0.948392,0.5302917,1,True,0.9874256,2.584615,0.02,1,158.1,fRad,1.555,21,4.297703,2.584615,6.122652,0.158247,0
1941.5,1941,7,1,0,0.02443248,1,0.1050036,0.002565498,2.877381,1.338806,0.1928745,1.538575,0.01860893,0.01385208,6.247513,104,212,0.1526423,2.540978,5.179687,3.970377,0.02772069,1,0.09452208,78.04,0.261779,1,0.8140673,0.9857042,0.6774225,1,True,0.9874256,2.584615,0.02,1,158.1,fRad,1.555,21,4.297703,2.584615,6.247513,0.1614742,0
1941.58,1941,8,1,0,0.02443248,1,0.1050036,0.002565498,1.565706,1.032606,0.1298022,0.533101,0.008361753,0.0167746,6.247513,104,212,0.1526423,2.540978,5.179687,4.393878,0.03070262,0.5965,0.08666124,115.558,0.2722959,1,0.8140673,0.9067096,0.4562771,1,True,0.9874256,2.584615,0.02,1,158.1,fRad,1.555,21,4.297703,2.584615,6.247513,0.1614742,0
1941.67,1941,9,1,0,0.02443248,1,0.1050036,0.002565498,1.099954,0.8629301,0.1028977,0.2370244,0.005824974,0.01691686,6.247513,104,211,0.1526423,2.540978,5.155254,4.553906,0.03184684,0.5401111,0.08430903,127.556,0.2550074,1,0.8140673,0.8519423,0.362005,1,True,0.9874256,2.584615,0.02,1,158.1,fRad,1.555,21,4.297703,2.584615,6.247513,0.1614742,0
1941.75,1941,10,1,0,0.02443248,1,0,0,0,0,0.0572184,0,0,0,0,104,211,0,2.540978,5.155254,4.553906,0.03250444,0.9133334,0.08776467,106.488,0.2134542,1,0,0.6281652,0.2014682,1,False,0.9874256,2.584615,0.02,1,158.1,fRad,1.555,21.08074,4.297703,2.584615,0,0,0
