Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 0, 1609, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8206, 0, 0, 0, 
20, eco999, 1, 0, 3010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12766, 0, 0, 0, 
30, eco999, 1, 0, 5447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9253, 0, 0, 0, 
40, eco999, 1, 0, 4840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11209, 0, 0, 0, 
50, eco999, 1, 0, 11290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 657, 0, 0, 0, 
60, eco999, 1, 0, 14651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1136, 0, 0, 0, 
70, eco999, 1, 0, 17859, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1707, 0, 0, 0, 
80, eco999, 1, 0, 15727, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 521, 0, 0, 0, 
90, eco999, 1, 0, 16771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1142, 0, 0, 0, 
100, eco999, 1, 0, 16404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1711, 0, 0, 0, 
110, eco999, 1, 0, 1487, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1331, 0, 0, 0, 
120, eco999, 1, 0, 5137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4826, 0, 0, 0, 
130, eco999, 1, 0, 9210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3828, 0, 0, 0, 
140, eco999, 1, 0, 4756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1701, 0, 0, 0, 
150, eco999, 1, 0, 5783, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4499, 0, 0, 0, 
160, eco999, 1, 0, 5768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5274, 0, 0, 0, 
170, eco999, 1, 0, 10139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6837, 0, 0, 0, 
180, eco999, 1, 0, 10202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7937, 0, 0, 0, 
190, eco999, 1, 0, 11536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9386, 0, 0, 0, 
200, eco999, 1, 0, 14356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 423, 0, 0, 0, 
210, eco999, 1, 0, 11264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1242, 0, 0, 0, 
220, eco999, 1, 0, 6208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2455, 0, 0, 0, 
230, eco999, 1, 0, 8462, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3105, 0, 0, 0, 
240, eco999, 1, 0, 10273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 
250, eco999, 1, 0, 9934, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 904, 0, 0, 0, 
260, eco999, 1, 0, 10412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 428, 0, 0, 0, 
270, eco999, 1, 0, 6393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 
280, eco999, 1, 0, 10229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 589, 0, 0, 0, 
290, eco999, 1, 0, 10704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 667, 0, 0, 0, 
300, eco999, 1, 0, 15324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1124, 0, 0, 0, 
