Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 7895, 1011, 497, 12660, 0, 
20, eco999, 1, 10488, 907, 363, 7674, 0, 
30, eco999, 1, 15463, 962, 376, 4123, 0, 
40, eco999, 1, 9644, 914, 389, 10674, 0, 
50, eco999, 1, 12043, 1016, 413, 6668, 0, 
60, eco999, 1, 6344, 928, 363, 10654, 0, 
70, eco999, 1, 11706, 934, 367, 5287, 0, 
80, eco999, 1, 10965, 916, 360, 5467, 0, 
90, eco999, 1, 8556, 876, 363, 6627, 0, 
100, eco999, 1, 10146, 879, 354, 5566, 0, 
110, eco999, 1, 12694, 979, 392, 5369, 0, 
120, eco999, 1, 12013, 924, 315, 5788, 0, 
130, eco999, 1, 6899, 849, 370, 9168, 0, 
140, eco999, 1, 12594, 996, 429, 4315, 0, 
150, eco999, 1, 13206, 962, 400, 4916, 0, 
160, eco999, 1, 8494, 896, 371, 7634, 0, 
170, eco999, 1, 12625, 996, 386, 4647, 0, 
180, eco999, 1, 12714, 1051, 395, 6553, 0, 
190, eco999, 1, 14885, 1096, 363, 4571, 0, 
200, eco999, 1, 12517, 1064, 249, 5565, 0, 
210, eco999, 1, 8601, 1083, 262, 8512, 0, 
220, eco999, 1, 5586, 888, 346, 9214, 0, 
230, eco999, 1, 9329, 910, 362, 5767, 0, 
240, eco999, 1, 14188, 963, 405, 4155, 0, 
250, eco999, 1, 11311, 1013, 441, 10506, 0, 
260, eco999, 1, 14909, 974, 371, 6518, 0, 
270, eco999, 1, 16418, 961, 369, 5114, 0, 
280, eco999, 1, 13449, 941, 365, 5860, 0, 
290, eco999, 1, 11137, 884, 381, 8828, 0, 
300, eco999, 1, 16921, 977, 398, 3815, 0, 
