Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1931,1931,1,1,0,0.02402076,1,0,0,0,0,0.01205663,0,0,0,0,62,249,0,1.489287,5.98117,7,0.05068621,1,0.1639602,5.758,0.8648876,1,0,0,0.04307476,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,17.95005,4.297703,2.1,0,0,0
1931.08,1931,2,1,0,0.02402076,1,0,0,0,0,0.009887748,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05072848,1,0.1671245,5.26,0.9313725,1,0,0,0.03535546,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,21,4.297703,2.1,0,0,0
1931.17,1931,3,1,0,0.02402076,1,0,0,0,0,0.02438999,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05077079,1,0.2312738,1.194,0.9474325,1,0,0.01300093,0.08728363,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,21,4.297703,2.1,0,0,0
1931.25,1931,4,1,0,0.02402076,1,0,0,0,0,0.04287976,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05081313,1,0.2439547,0.906,0.9648361,1,0,0.399375,0.1535804,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,21,4.297703,2.1,0,0,0
1931.33,1931,5,1,0,0.02394013,1,0.1028876,0.002463142,4.693327,0.6585222,0.1056615,4.034804,0.03176897,0.01296808,6.122652,62,248,0.1465771,1.484288,5.937152,3.706271,0.02640434,1,0.1903444,2.89,0.6535215,1,0.8287591,0.8601891,0.3787581,1,True,0.987637,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.122652,0.1285757,0
1931.42,1931,6,1,0,0.02394013,1,0.1028876,0.002463142,4.965842,0.8082734,0.1478112,4.157569,0.03893446,0.01119584,6.122652,63,253,0.1465771,1.508228,6.056853,6.73873,0.04702875,1,0.1539166,7.788,0.635761,1,0.8287591,0.948392,0.5302917,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.122652,0.1285757,0
1931.5,1931,7,1,0,0.02443248,1,0.1050036,0.002565498,4.888976,1.023343,0.1928745,3.865633,0.03627351,0.01207445,6.247513,63,253,0.1526423,1.539246,6.181418,10.07953,0.07037403,1,0.1371237,13.582,0.5819045,1,0.8287591,0.9857042,0.6774225,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.247513,0.1311978,0
1931.58,1931,8,1,0,0.02443248,1,0.1050036,0.002565498,4.450556,0.7892925,0.1298022,3.661263,0.02726772,0.01462192,6.247513,63,253,0.1526423,1.539246,6.181418,13.42925,0.09383807,1,0.1236943,21.702,0.5987893,1,0.8287591,0.9067096,0.4562771,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.247513,0.1311978,0
1931.67,1931,9,1,0,0.02443248,1,0.1050036,0.002565498,3.498287,0.6595978,0.1028977,2.838689,0.0212531,0.01474593,6.247513,63,252,0.1526423,1.539246,6.156986,16.02306,0.1120541,1,0.1087968,38.874,0.5707915,1,0.8287591,0.8519423,0.362005,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.247513,0.1311978,0
1931.75,1931,10,1,0,0.02443248,1,0,0,0,0,0.0572184,0,0,0,0,63,252,0,1.539246,6.156986,16.02306,0.1143679,1,0.106203,44.246,0.4983845,1,0,0.6281652,0.2014682,1,False,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21.0656,4.297703,2.1,0,0,0
1931.83,1931,11,1,0,0.02443248,1,0,0,0,0,0.03541883,0,0,0,0,63,252,0,1.539246,6.156986,16.02306,0.1144633,1,0.136179,13.728,0.7824384,1,0,0.301322,0.1248151,1,False,0.9874256,2.1,0.02,1,158.6,fTemp,1.555,21.0656,4.297703,2.1,0,0,0
1931.92,1931,12,2,0,0.02443248,1,0,0,0,0,0.01299362,0,0,0,0,63,252,0,1.539246,6.156986,16.02306,0.1145587,1,0.1480962,9.294,0.8074973,1,0,0,0.0458274,1,False,0.9874256,2.1,0.02,1,158.6,fTemp,1.555,21.0656,4.297703,2.1,0,0,0
1932,1932,1,2,0,0.02443248,1,0,0,0,0,0.01220298,0,0,0,0,63,252,0,1.539246,6.156986,6.993382,0.05004171,1,0.1632197,5.902,0.8650581,1,0,0,0.04307476,1,False,0.9874256,2.423077,0.02,1,158.5,fTemp,2.797353,21,4.297703,2.423077,0,0,1.5
1932.08,1932,2,2,0,0.02443248,1,0,0,0,0,0.01000777,0,0,0,0,63,251,0,1.539246,6.132554,6.993382,0.05008344,1,0.167175,5.26,0.9314884,1,0,0,0.03535546,1,False,0.9874256,2.423077,0.02,1,158.5,fTemp,2.797353,21,4.297703,2.423077,0,0,1.5
1932.17,1932,3,2,0,0.02443248,1,0,0,0,0,0.02471414,0,0,0,0,63,251,0,1.539246,6.132554,6.993382,0.0501252,1,0.2271078,1.278,0.9475301,1,0,0.01300093,0.08738295,1,False,0.9874256,2.423077,0.02,1,158.5,fTemp,2.797353,21,4.297703,2.423077,0,0,1.5
