Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1931,1931,1,1,0,0.02402076,1,0,0,0,0,0.01402717,0,0,0,0,62,249,0,1.489287,5.98117,7,0.05068621,1,0.1642239,5.72,0.7764603,1,0,0,0.05011494,1,False,0.987637,2.653846,0.02,1,211.9,fTemp,1.555,17.95005,4.297703,2.653846,0,0,0
1931.08,1931,2,1,0,0.02402076,1,0,0,0,0,0.01152127,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05072848,1,0.1671245,5.26,0.865365,1,0,0,0.04119643,1,False,0.987637,2.653846,0.02,1,211.9,fTemp,1.555,21,4.297703,2.653846,0,0,0
1931.17,1931,3,1,0,0.02402076,1,0,0,0,0,0.02834466,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05077079,1,0.2300865,1.22,0.8897191,1,0,0.101813,0.1014361,1,False,0.987637,2.653846,0.02,1,211.9,fTemp,1.555,21,4.297703,2.653846,0,0,0
1931.25,1931,4,1,0,0.02402076,1,0,0,0,0,0.04979485,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05081313,1,0.2424273,0.934,0.9183788,1,0,0.4825814,0.1783478,1,False,0.987637,2.653846,0.02,1,211.9,fTemp,1.555,21,4.297703,2.653846,0,0,0
1931.33,1931,5,1,0,0.02394013,1,0.1028876,0.002463142,5.568123,1.020525,0.1226221,4.547598,0.03285889,0.01487489,6.122652,62,248,0.1465771,1.484288,5.937152,4.15783,0.02962135,1,0.1866482,3.146,0.5476755,1,0.8040631,0.9100001,0.4395557,1,True,0.987637,2.653846,0.02,1,211.9,fRad,1.555,21,4.297703,2.653846,6.122652,0.1624857,0
1931.42,1931,6,1,0,0.02394013,1,0.1028876,0.002463142,5.72034,1.251773,0.1714416,4.468567,0.03910073,0.01284206,6.122652,63,253,0.1465771,1.508228,6.056853,7.448473,0.05198196,1,0.1519697,8.256001,0.5304296,1,0.8040631,0.9785111,0.6150687,1,True,0.9874256,2.653846,0.02,1,211.9,fRad,1.555,21,4.297703,2.653846,6.122652,0.1624857,0
1931.5,1931,7,1,0,0.02443248,1,0.1050036,0.002565498,5.461396,1.584223,0.2233808,3.877173,0.03532622,0.01384987,6.247513,63,253,0.1526423,1.539246,6.181418,10.76074,0.07513019,1,0.1333082,15.598,0.4793711,1,0.8040631,0.9988378,0.784568,1,True,0.9874256,2.653846,0.02,1,211.9,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
1931.58,1931,8,1,0,0.02443248,1,0.1050036,0.002565498,5.148629,1.22262,0.1503621,3.926008,0.02750097,0.01677192,6.247513,63,253,0.1526423,1.539246,6.181418,14.32634,0.1001066,1,0.1246946,20.76,0.4951904,1,0.8040631,0.9478293,0.528549,1,True,0.9874256,2.653846,0.02,1,211.9,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
1931.67,1931,9,1,0,0.02443248,1,0.1050036,0.002565498,4.077693,1.022148,0.1191991,3.055545,0.02159749,0.01691415,6.247513,63,252,0.1526423,1.539246,6.156986,17.09645,0.1195607,1,0.1082584,39.794,0.4690471,1,0.8040631,0.9030526,0.419355,1,True,0.9874256,2.653846,0.02,1,211.9,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
1931.75,1931,10,1,0,0.02443248,1,0.1050036,0.002565498,2.522737,0.693823,0.06634502,1.828914,0.01057277,0.0213758,6.247513,63,252,0.1526423,1.539246,6.156986,18.74877,0.1312231,1,0.104638,47.314,0.3959171,1,0.8040631,0.7012385,0.2336034,1,True,0.9874256,2.653846,0.02,1,211.9,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
1931.83,1931,11,1,0,0.02443248,1,0,0,0,0,0.0410707,0,0,0,0,63,252,0,1.539246,6.156986,18.74877,0.1339348,1,0.1356961,13.946,0.6806973,1,0,0.3869821,0.1447321,1,False,0.9874256,2.653846,0.02,1,211.9,fTemp,1.555,21.0829,4.297703,2.653846,0,0,0
1931.92,1931,12,2,0,0.02443248,1,0,0,0,0,0.01511272,0,0,0,0,63,252,0,1.539246,6.156986,18.74877,0.1340465,1,0.1483504,9.236,0.7086432,1,0,0,0.05330129,1,False,0.9874256,2.653846,0.02,1,211.9,fTemp,1.555,21.0829,4.297703,2.653846,0,0,0
1932,1932,1,2,0,0.02443248,1,0,0,0,0,0.01419744,0,0,0,0,63,252,0,1.539246,6.156986,6.993382,0.05004171,1,0.1632197,5.9,0.7766974,1,0,0,0.05011494,1,False,0.9874256,2.653846,0.02,1,211.75,fTemp,2.797353,21,4.297703,2.653846,0,0,1.5
1932.08,1932,2,2,0,0.02443248,1,0,0,0,0,0.01166113,0,0,0,0,63,251,0,1.539246,6.132554,6.993382,0.05008344,1,0.167175,5.26,0.8655561,1,0,0,0.04119643,1,False,0.9874256,2.653846,0.02,1,211.75,fTemp,2.797353,21,4.297703,2.653846,0,0,1.5
1932.17,1932,3,2,0,0.02443248,1,0,0,0,0,0.02872193,0,0,0,0,63,251,0,1.539246,6.132554,6.993382,0.0501252,1,0.227196,1.268,0.8898913,1,0,0.101813,0.1015535,1,False,0.9874256,2.653846,0.02,1,211.75,fTemp,2.797353,21,4.297703,2.653846,0,0,1.5
1932.25,1932,4,2,0,0.02443248,1,0,0,0,0,0.05045883,0,0,0,0,63,251,0,1.539246,6.132554,6.993382,0.05016701,1,0.2452649,0.882,0.9185236,1,0,0.4825814,0.1785585,1,False,0.9874256,2.653846,0.02,1,211.75,fTemp,2.797353,21,4.297703,2.653846,0,0,1.5
1932.33,1932,5,2,0,0.02422794,1,0.1041245,0.002522722,5.13208,1.03446,0.1242386,4.09762,0.0307038,0.01484872,6.195645,63,251,0.1501077,1.52636,6.081213,3.738374,0.02631938,1,0.1881028,3.038,0.496827,1,0.8054402,0.9100001,0.4400091,1,True,0.9874256,2.653846,0.02,1,211.75,fRad,2.797353,21,4.297703,2.653846,6.195645,0.1644229,1.5
1932.42,1932,6,2,0,0.02422794,1,0.1041245,0.002522722,5.252458,1.268866,0.1735564,3.983592,0.03621507,0.01288431,6.195645,68,271,0.1501077,1.6475,6.565771,4.415446,0.02878767,1,0.1509891,8.542,0.4802603,1,0.8054402,0.9785111,0.6151884,1,True,0.9865195,2.653846,0.02,1,211.75,fRad,2.797353,21,4.297703,2.653846,6.195645,0.1644229,1.5
1932.5,1932,7,2,0,0.02619696,1,0.1125868,0.002949432,5.265144,1.700511,0.2394668,3.564633,0.03435322,0.01472195,6.694637,68,271,0.1753791,1.781393,7.099377,6.881743,0.04483928,1,0.1313223,16.68,0.4312126,1,0.8054402,0.9988378,0.7841721,1,True,0.9865195,2.653846,0.02,1,211.75,fRad,2.797353,21,4.297703,2.653846,6.694637,0.1776654,1.5
1932.58,1932,8,2,0,0.02619696,1,0.1125868,0.002949432,4.964898,1.312365,0.1611122,3.652532,0.02834156,0.01682708,6.694637,68,271,0.1753791,1.781393,7.099377,10.18673,0.06642784,1,0.1211296,23.826,0.4461838,1,0.8054402,0.9478293,0.5280274,1,True,0.9865195,2.653846,0.02,1,211.75,fRad,2.797353,21,4.297703,2.653846,6.694637,0.1776654,1.5
1932.67,1932,9,2,0,0.02619696,1,0.1125868,0.002949432,3.918379,1.097178,0.1276773,2.821202,0.02217953,0.01696979,6.694637,68,271,0.1753791,1.781393,7.099377,12.73365,0.08310423,1,0.1019348,52.694,0.4214754,1,0.8054402,0.9030526,0.4187973,1,True,0.9865195,2.653846,0.02,1,211.75,fRad,2.797353,21,4.297703,2.653846,6.694637,0.1776654,1.5
1932.75,1932,10,2,0,0.02619696,1,0.1125868,0.002949432,2.405699,0.744752,0.07104605,1.660947,0.01077495,0.02144611,6.694637,68,271,0.1753791,1.781393,7.099377,14.2262,0.09292105,1,0.1006289,56.292,0.3532049,1,0.8054402,0.7012385,0.2332342,1,True,0.9865195,2.653846,0.02,1,211.75,fRad,2.797353,21,4.297703,2.653846,6.694637,0.1776654,1.5
1932.83,1932,11,2,0,0.02619696,1,0,0,0,0,0.04400978,0,0,0,0,68,270,0,1.781393,7.07318,14.2262,0.09483957,1,0.1242908,21.59,0.6809554,1,0,0.3869821,0.1445984,1,False,0.9865195,2.653846,0.02,1,211.75,fTemp,2.797353,21.08883,4.297703,2.653846,0,0,1.5
1932.92,1932,12,3,0,0.02619696,1,0,0,0,0,0.01620606,0,0,0,0,68,270,0,1.781393,7.07318,14.2262,0.09491868,1,0.1426233,11.058,0.7088976,1,0,0,0.05329098,1,False,0.9865195,2.653846,0.02,1,211.75,fTemp,2.797353,21.08883,4.297703,2.653846,0,0,1.5
1933,1933,1,3,0,0.02619696,1,0,0,0,0,0.01522751,0,0,0,0,67,270,0,1.755196,7.07318,7.493887,0.0500417,1,0.1569557,7.106,0.7766974,1,0,0,0.05011494,1,False,0.9865195,2.653846,0.02,1,211.75,fTemp,2.997555,21,4.297703,2.653846,0,0,1.5
1933.08,1933,2,3,0,0.02619696,1,0,0,0,0,0.01250717,0,0,0,0,67,270,0,1.755196,7.07318,7.493887,0.05008343,1,0.1617021,6.14,0.8655561,1,0,0,0.04119643,1,False,0.9865195,2.653846,0.02,1,211.75,fTemp,2.997555,21,4.297703,2.653846,0,0,1.5
1933.17,1933,3,3,0,0.02619696,1,0,0,0,0,0.03077016,0,0,0,0,67,269,0,1.755196,7.046983,7.493887,0.05012521,1,0.2285931,1.246,0.8898913,1,0,0.101813,0.1014361,1,False,0.9865195,2.653846,0.02,1,211.75,fTemp,2.997555,21,4.297703,2.653846,0,0,1.5
1933.25,1933,4,3,0,0.02619696,1,0,0,0,0,0.0540559,0,0,0,0,67,269,0,1.755196,7.046983,7.493887,0.05016701,1,0.2418518,0.942,0.9185236,1,0,0.4825814,0.1783478,1,False,0.9865195,2.653846,0.02,1,211.75,fTemp,2.997555,21,4.297703,2.653846,0,0,1.5
1933.33,1933,5,3,0,0.02597751,1,0.1116436,0.002900224,4.927624,1.108495,0.1331151,3.819129,0.03160964,0.01484865,6.639057,67,269,0.1724662,1.740493,6.987951,3.474195,0.02282627,1,0.1876785,3.074,0.4462127,1,0.8054402,0.9100001,0.4395557,1,True,0.9865195,2.653846,0.02,1,211.75,fRad,2.997555,21,4.297703,2.653846,6.639057,0.1761904,1.5
