Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.0007243013,0.1040583,0.006960535,30,False
10,acerrubr,0.0008212765,0.1111111,0.007391485,30,False
10,acersacc,0.001409164,0.1040583,0.01354206,30,False
10,betualle,0.0007203235,0.1040583,0.006922309,30,False
10,betupapy,0.0002928716,0.1040583,0.002814496,30,False
10,fraxamer,0.0004389654,0.1040583,0.004218458,30,False
10,piceglau,0.0004415178,0.1040583,0.004242986,30,False
10,pinubank,0.0002104114,0.1040583,0.002022054,30,False
10,pinuresi,0.0002928716,0.1040583,0.002814496,30,False
10,pinustro,0.0004389654,0.1040583,0.004218458,30,False
10,poputrem,0.0002104114,0.1040583,0.002022054,30,False
10,querelli,0.0002946285,0.1040583,0.00283138,30,False
10,querrubr,0.0004415178,0.1040583,0.004242986,30,False
10,thujocci,0.0004389654,0.1040583,0.004218458,30,False
10,tiliamer,0.0007203235,0.1040583,0.006922309,30,False
10,tsugcana,0.001657303,0.1040583,0.01592669,30,False
20,abiebals,0.0006276004,0.1040583,0.006031239,30,False
20,acerrubr,0.0007126445,0.1111111,0.006413798,30,False
20,acersacc,0.001231902,0.1040583,0.01183858,30,False
20,betualle,0.0006250446,0.1040583,0.006006678,30,False
20,betupapy,0.0002526731,0.1040583,0.002428188,30,False
20,fraxamer,0.0003795791,0.1040583,0.003647755,30,False
20,piceglau,0.0003811728,0.1040583,0.00366307,30,False
20,pinubank,0.0001809297,0.1040583,0.001738735,30,False
20,pinuresi,0.0002526731,0.1040583,0.002428188,30,False
20,pinustro,0.0003795791,0.1040583,0.003647755,30,False
20,poputrem,0.0001809297,0.1040583,0.001738735,30,False
20,querelli,0.0002537511,0.1040583,0.002438548,30,False
20,querrubr,0.0003811728,0.1040583,0.00366307,30,False
20,thujocci,0.0003795791,0.1040583,0.003647755,30,False
20,tiliamer,0.0006250446,0.1040583,0.006006678,30,False
20,tsugcana,0.001457463,0.1040583,0.01400622,30,False
30,abiebals,0.0005892736,0.1040583,0.005662919,30,False
30,acerrubr,0.00067186,0.1111111,0.006046738,30,False
30,acersacc,0.001161505,0.1040583,0.01116207,30,False
30,betualle,0.0005892736,0.1040583,0.005662919,30,False
30,betupapy,0.0002382927,0.1040583,0.002289993,30,False
30,fraxamer,0.0003579468,0.1040583,0.003439869,30,False
30,piceglau,0.0003579468,0.1040583,0.003439869,30,False
30,pinubank,0.0001699128,0.1040583,0.001632862,30,False
30,pinuresi,0.0002382927,0.1040583,0.002289993,30,False
30,pinustro,0.0003579468,0.1040583,0.003439869,30,False
30,poputrem,0.0001699128,0.1040583,0.001632862,30,False
30,querelli,0.0002382927,0.1040583,0.002289993,30,False
30,querrubr,0.0003579468,0.1040583,0.003439869,30,False
30,thujocci,0.0003579468,0.1040583,0.003439869,30,False
30,tiliamer,0.0005892736,0.1040583,0.005662919,30,False
30,tsugcana,0.001378484,0.1040583,0.01324724,30,False
40,abiebals,0.0004992338,0.1040583,0.004797637,30,False
40,acerrubr,0.0005692012,0.1111111,0.005122809,30,False
40,acersacc,0.0009951092,0.1040583,0.009563,30,False
40,betualle,0.0004992338,0.1040583,0.004797637,30,False
40,betupapy,0.0001999968,0.1040583,0.001921969,30,False
40,fraxamer,0.0003015133,0.1040583,0.002897543,30,False
40,piceglau,0.0003015133,0.1040583,0.002897543,30,False
40,pinubank,0.0001422572,0.1040583,0.001367092,30,False
40,pinuresi,0.0001999968,0.1040583,0.001921969,30,False
40,pinustro,0.0003015133,0.1040583,0.002897543,30,False
40,poputrem,0.0001422572,0.1040583,0.001367092,30,False
40,querelli,0.0001999968,0.1040583,0.001921969,30,False
40,querrubr,0.0003015133,0.1040583,0.002897543,30,False
40,thujocci,0.0003015133,0.1040583,0.002897543,30,False
40,tiliamer,0.0004992338,0.1040583,0.004797637,30,False
40,tsugcana,0.001185509,0.1040583,0.01139274,30,False
50,abiebals,0.0004906588,0.1040583,0.004715231,30,False
50,acerrubr,0.0005594245,0.1111111,0.005034818,30,False
50,acersacc,0.0009790662,0.1040583,0.009408826,30,False
50,betualle,0.0004906588,0.1040583,0.004715231,30,False
50,betupapy,0.000196386,0.1040583,0.00188727,30,False
50,fraxamer,0.0002961718,0.1040583,0.002846211,30,False
50,piceglau,0.0002961718,0.1040583,0.002846211,30,False
50,pinubank,0.0001396564,0.1040583,0.001342098,30,False
50,pinuresi,0.000196386,0.1040583,0.00188727,30,False
50,pinustro,0.0002961718,0.1040583,0.002846211,30,False
50,poputrem,0.0001396564,0.1040583,0.001342098,30,False
50,querelli,0.000196386,0.1040583,0.00188727,30,False
50,querrubr,0.0002961718,0.1040583,0.002846211,30,False
50,thujocci,0.0002961718,0.1040583,0.002846211,30,False
50,tiliamer,0.0004906588,0.1040583,0.004715231,30,False
50,tsugcana,0.001166809,0.1040583,0.01121303,30,False
