Time,Year,Month,Ecoregion,SoilType,NrOfCohorts,MaxLayerRatio,Layers,SumCanopyProp,PAR0,Tmin(C),Tave(C),Tday(C),Tmax(C),Precip(mm/mo),CO2(ppm),O3(cum_ppb_h,RunOff(mm/mo),Leakage(mm),Potential Evapotranspiration(mm),Potential Evaporation(mm),Evaporation(mm),PotentialTranspiration(mm),Transpiration(mm),Interception(mm),PrecLoss(mm/mo),Water(m/m),PressureHead(mm),Surface Water (mm),Available Water (mm),SnowPack(mm),LAI(m2),VPD(kPa),GrossPsn(gC_m2_mo),NetPsn(gC_m2_mo),MaintenanceRespiration(gC_mo),Wood(gDW),Root(gDW),Fol(gDW),NSC(gC),HeteroResp(gC_mo),Litter(gDW_m2),CWD(gDW_m2),WoodSenescence(gDW_m2),FoliageSenescence(gDW_m2),SubCanopyPAR,SoilDiffusivity(mm2_s),ActiveLayerDepth(mm/mo),LeakageFrac(-),AverageAlbedo(ratio_W_m2),FrostDepth(mm/mo),SPEI,WoodMass,TotalBiomass,HOM,HON,SoilDecResp,NEP,GrossNMin,NetNMin,NRatioNit,NetNitr,NDrain,NdepTot,NPoolTot,NetN,RootNSink,PlantNSite,LitterMSite,LitterNSite,Canopy%N,NRatioSite,LitFolNSite,LitRootNSite,LitWoodNSite,Litter%NSite,OpenSpace,CanopyNSite,WoodNSite,RootNSite,DWoodNSite,Wood%NSite,DWood%NSite,NH4dep,NO3dep,NetPsnSite,SoilDecResp,WoodDecRespSite,WoodMRespSite,WoodGRespSite,FolGRespSite,RootMRespSite,RootGRespSite
1901,1901,1,eco999,SALO,1,0.999999999933871,1,0.02402076,458,-8.2,-4.2,-2.2,-0.2,141,295,0,0,6.360535,0,0,0,0,0,0,1.61143,0.192112,2.75,0,111.0556,106.1529,0,0.2045775,0,0,0.0003369434,5.98117,1.489287,0,0.1681453,0,0,0,0,0,458,0,999000,0.1,0.01801557,0,0,7.464231,7.470457,6742.208,192.3713,4.168204,-4.168671,0.2641005,0.1288631,0,0,0,0.026416,192.9849,-0.1615478,0.2191415,0.006366294,0.01985632,0.0001985632,0,1.3,0,0.0001959693,2.593909E-06,0.01,0.9759792,0,0.01492846,0.002206107,0.0003086751,0.002,0.002,0.00951,0.016906,0,4.168204,0.0004669036,0,0,0,0,0
1901.083,1901,2,eco999,SALO,1,0.999999999933871,1,0.02402076,613,-11,-5.9,-3.35,-0.8,38,295,0,0,0,0,0,0,0,0,0,0,0.192112,2.75,0,111.0556,138.4529,0,0.2245449,0,0,0.0002767498,5.957149,1.489287,0,0.1681453,0,0,0,0,0,613,0,999000,0.1,0.01801557,0,0,7.458012,7.446436,6734.421,192.2627,3.512129,-3.51261,0.2226873,0.1088122,0,0,0,0.026416,192.8805,-0.1308014,0.184882,0.009585997,0.01826575,0.0001826575,0,1.3,0,0.0001799815,2.675962E-06,0.01,0.9759792,0,0.01491602,0.002026125,0.0003184395,0.002,0.002,0.00951,0.016906,0,3.512129,0.0004816732,0,0,0,0,0
1901.167,1901,3,eco999,SALO,1,0.999999999933871,1,0.02402076,674,-3,1.1,3.15,5.2,61,295,0,0,61.88007,31.26056,31.26056,0,0,0,0,5.315714,0.2715074,0.55,0,190.4509,51.68529,0,0.2901618,0,0,0.0006808602,5.957149,1.489287,0,0.1681453,0,0,0,0,0,674,0,999000,0.1,0.01801557,0,0,7.451797,7.446436,6718.748,192.0437,7.060244,-7.06074,0.4479209,0.2191329,0,0,0,0.026416,192.603,-0.3039581,0.3723066,0.01706693,0.01680553,0.0001680553,0,1.3,0,0.000165298,2.757246E-06,0.009999999,0.9759792,0,0.01490359,0.001860827,0.0003281123,0.002,0.002,0.00951,0.016906,0,7.060244,0.0004963043,0,0,0,0,0
1901.25,1901,4,eco999,SALO,1,0.999999999933871,1,0.02402076,766,0.9,5.75,8.175,10.6,62,295,0,0,96.06965,46.45021,46.45021,45.84063,0,0,0,6.2,0.2370822,1.03,0,156.0258,0,0,0.4336026,0,0,0.00119611,5.957149,1.489287,0,0.1681453,0,0,0,0,0,766,0,999000,0.1,0.005764983,0,0,7.445587,7.446436,6693.861,191.6948,11.20611,-11.20662,0.7117929,0.3490722,0,0,0,0.026416,192.1084,-0.5209686,0.5927173,0.02988863,0.01546502,0.0001546502,0,1.3,0,0.0001518125,2.837766E-06,0.01,0.9759792,0,0.01489117,0.001709015,0.0003376942,0.002,0.002,0.00951,0.016906,0,11.20611,0.0005107979,0,0,0,0,0
1901.333,1901,5,eco999,SALO,1,0.999999999933871,1,0.02394013,848,7.5,14.1,17.4,20.7,36,295,0,0,39.31937,89.10762,89.10762,36.0816,0.05197484,0.05197484,0,3.6,0.1940293,2.63,0,112.9729,0,0.002463142,0.950523,0.1878513,0.1676234,0.002935589,5.937152,1.484288,0.1465771,0.2560951,0,0,0,0,0,846.824,0,999000,0.1,0,0,0,7.414411,7.421441,6636.831,190.8907,25.67013,-25.51618,1.633611,0.8042396,0,0,0,0.026416,190.9927,-1.145389,0.9800001,0.05788176,0.01418668,0.0001418668,2.3,1.3,0,0.0001389591,2.907736E-06,0.01,0.9760599,0.003371273,0.01482882,0.001564319,0.0003460206,0.002,0.002,0.00951,0.016906,0.1676234,25.67013,0.0005233924,0.01314959,0,0,0,0
1901.417,1901,6,eco999,SALO,1,0.999999999933871,1,0.02394013,808,11.4,17.65,20.775,23.9,56,295,0,0,18.32297,111.9345,111.783,32.37285,0.06323028,0.06323028,0.0137919,5.598621,0.1936578,2.65,0,112.6014,0,0.002463142,1.104694,0.1973001,0.1724886,0.004104335,6.056853,1.508228,0.1465771,0.3961591,0,0,0,0,0,806.8795,0,999000,0.1,0,0,0,7.573547,7.565082,6556.328,189.7406,36.2323,-36.09277,2.315832,1.150228,0,0,0,0.026416,189.8707,-1.148425,0.98,0.08604927,0.01306111,0.0001306088,2.3,1.3,0,0.0001276223,2.986483E-06,0.009999824,0.9760599,0.003371273,0.01481646,0.001436697,0.0003553914,0.001956344,0.001998462,0.00951,0.016906,0.1724886,36.2323,0.0005379805,0.01381101,0.01861345,0,0,0
1901.5,1901,7,eco999,SALO,1,0.999999999933871,1,0.02394013,698,15.9,20.8,23.25,25.7,71,295,0,0,24.31163,136.9866,136.8012,33.79409,0.05978993,0.05978993,0.01748616,7.098251,0.1993765,2.31,0,118.3201,0,0.002463142,1.045375,0.1971514,0.1663779,0.005347766,6.056853,1.508228,0.1465771,0.5487365,0,0,0,0,0,697.032,0,999000,0.1,0,0,0,7.567235,7.565082,6447.595,188.1581,48.93499,-48.78297,3.147069,1.582666,0,0,0,0.026416,188.335,-1.562091,0.9800001,0.1243638,0.01202795,0.000120275,2.3,1.3,0,0.0001172105,3.064488E-06,0.00999962,0.9760599,0.003371273,0.01480412,0.001319486,0.000364674,0.001956344,0.001997019,0.00951,0.016906,0.1663779,48.93499,0.0005524312,0.0138006,0,0,0,0
1901.583,1901,8,eco999,SALO,1,0.999999999933871,1,0.02394013,731,11.4,16.45,18.975,21.5,43,295,0,0,17.21757,98.60686,98.47335,31.82522,0.04468834,0.04468834,0.01059021,4.298941,0.1889795,2.97,0,107.923,0,0.002463142,0.8458514,0.1821143,0.158365,0.003599689,6.056853,1.508228,0.1465771,0.6943535,0,0,0,0,0,729.9862,0,999000,0.1,0,0,0,7.560929,7.565082,6378.183,187.1222,31.24041,-31.09536,2.025951,1.036056,0,0,0,0.026416,187.3139,-1.047534,0.98,0.1500571,0.01107967,0.0001107898,2.3,1.3,0,0.0001076481,3.141756E-06,0.009999384,0.9760599,0.003371273,0.01479178,0.001211838,0.000373869,0.001956344,0.001995661,0.00951,0.016906,0.158365,31.24041,0.0005667457,0.012748,0,0,0,0
1901.667,1901,9,eco999,SALO,1,0.999999999933871,1,0.02394013,677,8.6,14.3,17.15,20,21,295,0,0,5.244424,75.42899,75.32687,28.33396,0.03629672,0.03629672,0.005171962,2.099483,0.1742602,4.33,0,93.20374,0,0.002463142,0.8387382,0.1491712,0.129316,0.002853642,6.032913,1.508228,0.1465771,0.8132274,0,0,0,0,0,676.0611,0,999000,0.1,0,0,0,7.554629,7.565082,6322.746,186.2816,24.9515,-24.8332,1.626716,0.8407255,0,0,0,0.026416,186.4899,-0.8503754,0.9800001,0.1709153,0.01020931,0.0001020841,2.3,1.3,0,9.886578E-05,3.218296E-06,0.009999112,0.9760599,0.003371273,0.01477945,0.001112972,0.0003829772,0.001956344,0.001994382,0.00951,0.016906,0.129316,24.9515,0.0005809251,0.01044198,0,0,0,0
1901.75,1901,10,eco999,SALO,1,0.999999999933871,1,0.02394013,539,2.6,8.85,11.975,15.1,32,295,0,0,0.4932225,49.14834,49.0818,27.32009,0.01952333,0.01952333,0.007881084,3.199212,0.1752203,4.22,0,94.16381,0,0.002463142,0.6636734,0.1014013,0.08792385,0.001588308,6.032913,1.508228,0.1465771,0.8940531,0,0,0,0,0,538.2525,0,999000,0.1,0,0,0,7.548333,7.541142,6290.825,185.7914,14.36847,-14.28824,0.9407227,0.4902798,0,0,0,0.026416,186.0947,-0.4215881,0.8081257,0.1812556,0.009410537,9.409409E-05,2.3,1.3,0,9.079998E-05,3.294112E-06,0.009998801,0.9760599,0.003371273,0.01476714,0.001022172,0.0003919993,0.001956344,0.001993175,0.00951,0.016906,0.08792385,14.36847,0.0005949706,0.007098093,0,0,0,0
