Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 0, 2781, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15018, 0, 0, 0, 
20, eco999, 1, 0, 5106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4842, 0, 0, 0, 
30, eco999, 1, 0, 9120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7194, 0, 0, 0, 
40, eco999, 1, 0, 11920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3188, 0, 0, 0, 
50, eco999, 1, 0, 13450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4673, 0, 0, 0, 
60, eco999, 1, 0, 15643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2969, 0, 0, 0, 
70, eco999, 1, 0, 2973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3369, 0, 0, 0, 
80, eco999, 1, 0, 3569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6165, 0, 0, 0, 
90, eco999, 1, 0, 8994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1635, 0, 0, 0, 
100, eco999, 1, 0, 14189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 
110, eco999, 1, 0, 8929, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 627, 0, 0, 0, 
120, eco999, 1, 0, 13310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1149, 0, 0, 0, 
130, eco999, 1, 0, 15457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2097, 0, 0, 0, 
140, eco999, 1, 0, 3336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4507, 0, 0, 0, 
150, eco999, 1, 0, 7316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7557, 0, 0, 0, 
160, eco999, 1, 0, 10547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9610, 0, 0, 0, 
170, eco999, 1, 0, 16347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 741, 0, 0, 0, 
180, eco999, 1, 0, 18538, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 934, 0, 0, 0, 
190, eco999, 1, 0, 9044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2037, 0, 0, 0, 
200, eco999, 1, 0, 4629, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5421, 0, 0, 0, 
210, eco999, 1, 0, 8513, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3391, 0, 0, 0, 
220, eco999, 1, 0, 5831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4829, 0, 0, 0, 
230, eco999, 1, 0, 9106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1273, 0, 0, 0, 
240, eco999, 1, 0, 9709, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2886, 0, 0, 0, 
250, eco999, 1, 0, 8808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1016, 0, 0, 0, 
260, eco999, 1, 0, 12285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1204, 0, 0, 0, 
270, eco999, 1, 0, 13620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1942, 0, 0, 0, 
280, eco999, 1, 0, 14859, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2821, 0, 0, 0, 
290, eco999, 1, 0, 16146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3769, 0, 0, 0, 
300, eco999, 1, 0, 16619, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 
