Year,CalendarYear,EcoregionName,TAP,MAT,BeginGrow,EndGrow,
1, -1, eco999, 778.34, 13.22, 77, 325, 
2, -1, eco999, 778.34, 13.22, 77, 325, 
3, -1, eco999, 778.34, 13.22, 77, 325, 
4, -1, eco999, 778.34, 13.22, 77, 325, 
5, -1, eco999, 778.34, 13.22, 77, 325, 
6, -1, eco999, 778.34, 13.22, 77, 325, 
7, -1, eco999, 778.34, 13.22, 77, 325, 
8, -1, eco999, 778.34, 13.22, 77, 325, 
9, -1, eco999, 778.34, 13.22, 77, 325, 
10, -1, eco999, 778.34, 13.22, 77, 325, 
11, -1, eco999, 778.34, 13.22, 77, 325, 
12, -1, eco999, 778.34, 13.22, 77, 325, 
13, -1, eco999, 778.34, 13.22, 77, 325, 
14, -1, eco999, 778.34, 13.22, 77, 325, 
15, -1, eco999, 778.34, 13.22, 77, 325, 
16, -1, eco999, 778.34, 13.22, 77, 325, 
17, -1, eco999, 778.34, 13.22, 77, 325, 
18, -1, eco999, 778.34, 13.22, 77, 325, 
19, -1, eco999, 778.34, 13.22, 77, 325, 
20, -1, eco999, 778.34, 13.22, 77, 325, 
21, -1, eco999, 778.34, 13.22, 77, 325, 
22, -1, eco999, 778.34, 13.22, 77, 325, 
23, -1, eco999, 778.34, 13.22, 77, 325, 
24, -1, eco999, 778.34, 13.22, 77, 325, 
25, -1, eco999, 778.34, 13.22, 77, 325, 
26, -1, eco999, 778.34, 13.22, 77, 325, 
27, -1, eco999, 778.34, 13.22, 77, 325, 
28, -1, eco999, 778.34, 13.22, 77, 325, 
29, -1, eco999, 778.34, 13.22, 77, 325, 
30, -1, eco999, 778.34, 13.22, 77, 325, 
31, -1, eco999, 778.34, 13.22, 77, 325, 
32, -1, eco999, 778.34, 13.22, 77, 325, 
33, -1, eco999, 778.34, 13.22, 77, 325, 
34, -1, eco999, 778.34, 13.22, 77, 325, 
35, -1, eco999, 778.34, 13.22, 77, 325, 
36, -1, eco999, 778.34, 13.22, 77, 325, 
37, -1, eco999, 778.34, 13.22, 77, 325, 
38, -1, eco999, 778.34, 13.22, 77, 325, 
39, -1, eco999, 778.34, 13.22, 77, 325, 
40, -1, eco999, 778.34, 13.22, 77, 325, 
41, -1, eco999, 778.34, 13.22, 77, 325, 
42, -1, eco999, 778.34, 13.22, 77, 325, 
43, -1, eco999, 778.34, 13.22, 77, 325, 
44, -1, eco999, 778.34, 13.22, 77, 325, 
45, -1, eco999, 778.34, 13.22, 77, 325, 
46, -1, eco999, 778.34, 13.22, 77, 325, 
47, -1, eco999, 778.34, 13.22, 77, 325, 
48, -1, eco999, 778.34, 13.22, 77, 325, 
49, -1, eco999, 778.34, 13.22, 77, 325, 
50, -1, eco999, 778.34, 13.22, 77, 325, 
51, -1, eco999, 778.34, 13.22, 77, 325, 
52, -1, eco999, 778.34, 13.22, 77, 325, 
53, -1, eco999, 778.34, 13.22, 77, 325, 
54, -1, eco999, 778.34, 13.22, 77, 325, 
55, -1, eco999, 778.34, 13.22, 77, 325, 
56, -1, eco999, 778.34, 13.22, 77, 325, 
57, -1, eco999, 778.34, 13.22, 77, 325, 
58, -1, eco999, 778.34, 13.22, 77, 325, 
59, -1, eco999, 778.34, 13.22, 77, 325, 
60, -1, eco999, 778.34, 13.22, 77, 325, 
61, -1, eco999, 778.34, 13.22, 77, 325, 
