Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1931,1931,1,1,0,0.02402076,1,0,0,0,0,0.01205663,0,0,0,0,31,280,0,0.7446436,6.725813,7,0.05068621,1,0.1512876,8.41,0.8648876,1,0,0,0.04307476,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,14.60427,4.297703,2.1,0,0,0
1931.08,1931,2,1,0,0.02402076,1,0,0,0,0,0.009887748,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05072848,1,0.1539245,7.72,0.9313725,1,0,0,0.03535546,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,21,4.297703,2.1,0,0,0
1931.17,1931,3,1,0,0.02402076,1,0,0,0,0,0.02438999,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05077079,1,0.2281587,1.296,0.9474325,1,0,0.01300093,0.08728363,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,21,4.297703,2.1,0,0,0
1931.25,1931,4,1,0,0.02402076,1,0,0,0,0,0.04287976,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05081313,1,0.2482001,0.84,0.9648361,1,0,0.399375,0.1535804,1,False,0.987637,2.1,0.02,1,158.6,fTemp,1.555,21,4.297703,2.1,0,0,0
1931.33,1931,5,1,0,0.02394013,1,0.1028876,0.002463142,3.872259,0.6585222,0.1056615,3.213737,0.02621119,0.01296808,6.122652,31,279,0.1465771,0.742144,6.679296,2.942678,0.02096433,1,0.1894173,2.942,0.5391921,1,0.8287591,0.8601891,0.3787581,1,True,0.987637,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.122652,0.1285757,0
1931.42,1931,6,1,0,0.02394013,1,0.1028876,0.002463142,4.077597,0.8082734,0.1478112,3.269323,0.03197021,0.01119584,6.122652,32,285,0.1465771,0.7660842,6.822937,5.149069,0.03593471,1,0.1442086,10.7,0.5220417,1,0.8287591,0.948392,0.5302917,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.122652,0.1285757,0
1931.5,1931,7,1,0,0.02443248,1,0.1050036,0.002565498,3.960138,1.023343,0.1928745,2.936795,0.02938204,0.01207445,6.247513,32,284,0.1526423,0.7818395,6.938826,7.626045,0.05324413,1,0.126034,20.502,0.4713507,1,0.8287591,0.9857042,0.6774225,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.247513,0.1311978,0
1931.58,1931,8,1,0,0.02443248,1,0.1050036,0.002565498,3.619992,0.7892925,0.1298022,2.830699,0.02217901,0.01462192,6.247513,32,284,0.1526423,0.7818395,6.938826,10.20335,0.07129678,1,0.112057,34.388,0.4870431,1,0.8287591,0.9067096,0.4562771,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.247513,0.1311978,0
1931.67,1931,9,1,0,0.02443248,1,0.1050036,0.002565498,2.826101,0.6595978,0.1028977,2.166503,0.01716938,0.01474593,6.247513,32,284,0.1526423,0.7818395,6.938826,12.17202,0.08512263,1,0.09347346,78.8,0.4611155,1,0.8287591,0.8519423,0.362005,1,True,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21,4.297703,2.1,6.247513,0.1311978,0
1931.75,1931,10,1,0,0.02443248,1,0,0,0,0,0.0572184,0,0,0,0,32,284,0,0.7818395,6.938826,12.17202,0.08688029,0.8955556,0.09082406,93.446,0.3960641,1,0,0.6281652,0.2014682,1,False,0.9874256,2.1,0.02,1,158.6,fRad,1.555,21.0656,4.297703,2.1,0,0,0
