Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1941,1941,1,1,0,0.02402076,1,0,0,0,0,0.01402717,0,0,0,0,31,280,0,0.7446436,6.725813,7,0.05068621,1,0.1494693,8.956,0.7776467,1,0,0,0.05011494,1,False,0.987637,2.83077,0.02,1,211.15,fTemp,1.555,5.506352,4.297703,2.83077,0,0,0
1941.08,1941,2,1,0,0.02402076,1,0,0,0,0,0.01152127,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05072848,1,0.1534247,7.84,0.8663205,1,0,0,0.04119643,1,False,0.987637,2.83077,0.02,1,211.15,fTemp,1.555,9.71748,4.297703,2.83077,0,0,0
1941.17,1941,3,1,0,0.02402076,1,0,0,0,0,0.02834466,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05077079,1,0.2105162,1.976,0.8905794,1,0,0.101813,0.1014361,1,False,0.987637,2.83077,0.02,1,211.15,fTemp,1.555,17.93719,4.297703,2.83077,0,0,0
1941.25,1941,4,1,0,0.02402076,1,0,0,0,0,0.04979485,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05081313,1,0.225485,1.306,0.919102,1,0,0.4825814,0.1783478,1,False,0.987637,2.83077,0.02,1,211.15,fTemp,1.555,21,4.297703,2.83077,0,0,0
1941.33,1941,5,1,0,0.02394013,1,0.1028876,0.002463142,2.666245,1.108135,0.1226221,1.558109,0.01487064,0.01573868,6.122652,31,279,0.1465771,0.742144,6.679296,1.371472,0.009770686,1,0.1774224,3.99,0.2415157,1,0.8025883,0.9100001,0.4395557,1,True,0.987637,2.83077,0.02,1,211.15,fRad,1.555,21,4.297703,2.83077,6.122652,0.1733182,0
1941.42,1941,6,1,0,0.02394013,1,0.1028876,0.002463142,2.711621,1.359236,0.1714416,1.352385,0.01751772,0.01358781,6.122652,32,285,0.1465771,0.7660842,6.822937,1.756544,0.0122587,1,0.1311946,16.982,0.2315612,1,0.8025883,0.9785111,0.6150687,1,True,0.9874256,2.83077,0.02,1,211.15,fRad,1.555,21,4.297703,2.83077,6.122652,0.1733182,0
1941.5,1941,7,1,0,0.02443248,1,0.1050036,0.002565498,2.516485,1.720226,0.2233808,0.7962591,0.01538415,0.01465413,6.247513,32,284,0.1526423,0.7818395,6.938826,2.19404,0.01531852,1,0.1031952,55.654,0.2034199,1,0.8025883,0.9988378,0.784568,1,True,0.9874256,2.83077,0.02,1,211.15,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1941.58,1941,8,1,0,0.02443248,1,0.1050036,0.002565498,2.094877,1.32758,0.1503621,0.7672961,0.01057549,0.01774586,6.247513,32,284,0.1526423,0.7818395,6.938826,2.814694,0.01966793,0.8779444,0.09338782,85.222,0.2119388,1,0.8025883,0.9478293,0.528549,1,True,0.9874256,2.83077,0.02,1,211.15,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1941.67,1941,9,1,0,0.02443248,1,0.1050036,0.002565498,1.108992,1.109898,0.1191991,-0.0009061098,0.005551402,0.01789636,6.247513,32,284,0.1526423,0.7818395,6.938826,2.736159,0.01913479,0.6,0.08617221,117.944,0.1979509,1,0.8025883,0.9030526,0.419355,1,True,0.9874256,2.83077,0.02,1,211.15,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1941.75,1941,10,1,0,0.02443248,1,0.1050036,0.002565498,1.114394,0.7533866,0.06634502,0.3610075,0.004414088,0.02261709,6.247513,32,284,0.1526423,0.7818395,6.938826,3.019159,0.02113116,1,0.09323643,82.556,0.1610653,1,0.8025883,0.7012385,0.2336034,1,True,0.9874256,2.83077,0.02,1,211.15,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1941.83,1941,11,1,0,0.02443248,1,0,0,0,0,0.0410707,0,0,0,0,32,284,0,0.7818395,6.938826,3.019159,0.02156784,1,0.1180924,28.42,0.6819894,1,0,0.3869821,0.1447321,1,False,0.9874256,2.83077,0.02,1,211.15,fTemp,1.555,21.08843,4.297703,2.83077,0,0,0
1941.92,1941,12,2,0,0.02443248,1,0,0,0,0,0.01511272,0,0,0,0,31,283,0,0.757407,6.914393,3.019159,0.02158583,1,0.1341572,14.88,0.7099167,1,0,0,0.05330129,1,False,0.9874256,2.83077,0.02,1,211.15,fTemp,1.555,21.08843,4.297703,2.83077,0,0,0
1942,1942,1,2,0,0.02443248,1,0,0,0,0,0.01419744,0,0,0,0,31,283,0,0.757407,6.914393,3.019159,0.02160383,1,0.1481975,9.39,0.7778842,1,0,0,0.05011494,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.797353,21,4.297703,2.83077,0,0,1.6
1942.08,1942,2,2,0,0.02443248,1,0,0,0,0,0.01166113,0,0,0,0,31,283,0,0.757407,6.914393,3.019159,0.02162185,1,0.1539986,7.7,0.8665116,1,0,0,0.04119643,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.797353,21,4.297703,2.83077,0,0,1.6
1942.17,1942,3,2,0,0.02443248,1,0,0,0,0,0.02868872,0,0,0,0,31,283,0,0.757407,6.914393,3.019159,0.02163988,1,0.213047,1.778,0.8907514,1,0,0.101813,0.1014361,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.797353,21,4.297703,2.83077,0,0,1.6
1942.25,1942,4,2,0,0.02443248,1,0,0,0,0,0.0503993,0,0,0,0,31,282,0,0.757407,6.88996,3.019159,0.02165793,1,0.2240409,1.348,0.9192465,1,0,0.4825814,0.1783478,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.797353,21,4.297703,2.83077,0,0,1.6
1942.33,1942,5,2,0,0.02422794,1,0.1041245,0.002522722,2.825709,1.123242,0.1241105,1.702467,0.01597845,0.01571016,6.195645,31,282,0.1501077,0.7510661,6.832278,1.504667,0.01059335,1,0.1701975,4.856,0.2525178,1,0.8039453,0.9100001,0.4395557,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.797353,21,4.297703,2.83077,6.195645,0.1753844,1.6
1942.42,1942,6,2,0,0.02422794,1,0.1041245,0.002522722,2.874699,1.377766,0.1735227,1.496933,0.01873387,0.01363178,6.195645,31,282,0.1501077,0.7510661,6.832278,2.800372,0.01973166,1,0.1246138,21.43,0.2421857,1,0.8039453,0.9785111,0.6150687,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.797353,21,4.297703,2.83077,6.195645,0.1753844,1.6
1942.5,1942,7,2,0,0.02422794,1,0.1041245,0.002522722,2.380058,1.708829,0.2211572,0.6712294,0.01467754,0.0144053,6.195645,31,282,0.1501077,0.7510661,6.832278,3.304997,0.02330634,0.9105555,0.1001161,71.414,0.2130296,1,0.8039453,0.9988378,0.784568,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.797353,21,4.297703,2.83077,6.195645,0.1753844,1.6
1942.58,1942,8,2,0,0.02422794,1,0.1041245,0.002522722,1.964507,1.318785,0.1488654,0.6457224,0.009802596,0.0178033,6.195645,31,281,0.1501077,0.7510661,6.808051,3.813204,0.02691213,0.7927222,0.08949785,101.246,0.2218923,1,0.8039453,0.9478293,0.528549,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.797353,21,4.297703,2.83077,6.195645,0.1753844,1.6
1942.67,1942,9,2,0,0.02422794,1,0.1041245,0.002522722,1.037674,1.102544,0.1180126,-0.06487078,0.005134293,0.01795428,6.195645,31,281,0.1501077,0.7510661,6.808051,3.675696,0.02596287,0.539611,0.08442337,127.614,0.2073372,1,0.8039453,0.9030526,0.419355,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.797353,21,4.297703,2.83077,6.195645,0.1753844,1.6
1942.75,1942,10,2,0,0.02422794,1,0.1041245,0.002522722,1.017226,0.748395,0.0656846,0.2688311,0.003982587,0.02269029,6.195645,31,281,0.1501077,0.7510661,6.808051,3.873321,0.02738114,0.8782778,0.09102203,92.878,0.1688914,1,0.8039453,0.7012385,0.2336034,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.797353,21,4.297703,2.83077,6.195645,0.1753844,1.6
1942.83,1942,11,2,0,0.02422794,1,0,0,0,0,0.04066187,0,0,0,0,31,281,0,0.7510661,6.808051,3.873321,0.02794788,1,0.1158672,29.834,0.6822484,1,0,0.3869821,0.1447321,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.797353,21.08769,4.297703,2.83077,0,0,1.6
1942.92,1942,12,3,0,0.02422794,1,0,0,0,0,0.01496229,0,0,0,0,31,280,0,0.7510661,6.783823,3.873321,0.02797119,1,0.133399,15.216,0.7101718,1,0,0,0.05330129,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.797353,21.08769,4.297703,2.83077,0,0,1.6
1943,1943,1,3,0,0.02422794,1,0,0,0,0,0.01405612,0,0,0,0,31,280,0,0.7510661,6.783823,3.873321,0.02799452,1,0.1477219,9.408,0.7778842,1,0,0,0.05011494,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.769508,21,4.297703,2.83077,0,0,1.6
1943.08,1943,2,3,0,0.02422794,1,0,0,0,0,0.01154505,0,0,0,0,31,280,0,0.7510661,6.783823,3.873321,0.02801787,1,0.152732,8.01,0.8665116,1,0,0,0.04119643,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.769508,21,4.297703,2.83077,0,0,1.6
1943.17,1943,3,3,0,0.02422794,1,0,0,0,0,0.02840314,0,0,0,0,31,280,0,0.7510661,6.783823,3.873321,0.02804124,1,0.2124719,1.802,0.8907514,1,0,0.101813,0.1014361,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.769508,21,4.297703,2.83077,0,0,1.6
1943.25,1943,4,3,0,0.02422794,1,0,0,0,0,0.04989761,0,0,0,0,31,280,0,0.7510661,6.783823,3.873321,0.02806463,1,0.2247739,1.328,0.9192465,1,0,0.4825814,0.1783478,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.769508,21,4.297703,2.83077,0,0,1.6
1943.33,1943,5,3,0,0.02398476,1,0.1030794,0.002472334,2.953376,1.112061,0.1228751,1.841314,0.01656055,0.01568378,6.133971,31,279,0.1471218,0.7435275,6.691748,1.634578,0.01162367,1,0.1779119,3.934,0.2665803,1,0.8039453,0.9100001,0.4395557,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.769508,21,4.297703,2.83077,6.133971,0.1736386,1.6
1943.42,1943,6,3,0,0.02398476,1,0.1030794,0.002472334,3.005794,1.364051,0.1717954,1.641743,0.01939159,0.01363178,6.133971,31,279,0.1471218,0.7435275,6.691748,3.065915,0.0218199,1,0.1302686,17.38,0.2557761,1,0.8039453,0.9785111,0.6150687,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.769508,21,4.297703,2.83077,6.133971,0.1736386,1.6
1943.5,1943,7,3,0,0.02398476,1,0.1030794,0.002472334,2.740365,1.691818,0.2189557,1.048546,0.01672988,0.0144053,6.133971,31,279,0.1471218,0.7435275,6.691748,3.922636,0.02793996,1,0.1095028,39.174,0.2252367,1,0.8039453,0.9988378,0.784568,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.769508,21,4.297703,2.83077,6.133971,0.1736386,1.6
1943.58,1943,8,3,0,0.02398476,1,0.1030794,0.002472334,2.070305,1.305657,0.1473835,0.7646477,0.01022682,0.01780329,6.133971,31,279,0.1471218,0.7435275,6.691748,4.542362,0.03238057,0.7981666,0.0911658,94.02,0.2345279,1,0.8039453,0.9478293,0.528549,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.769508,21,4.297703,2.83077,6.133971,0.1736386,1.6
1943.67,1943,9,3,0,0.02398476,1,0.1030794,0.002472334,1.472417,1.091569,0.1168378,0.3808477,0.007212231,0.01795428,6.133971,31,278,0.1471218,0.7435275,6.667763,4.82014,0.03438883,0.7274444,0.08582072,118.148,0.2192655,1,0.8039453,0.9030526,0.419355,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.769508,21,4.297703,2.83077,6.133971,0.1736386,1.6
1943.75,1943,10,3,0,0.02398476,1,0.1030794,0.002472334,0.905013,0.7409452,0.06503075,0.1640678,0.003507692,0.02269029,6.133971,31,278,0.1471218,0.7435275,6.667763,4.920857,0.0351361,0.7476666,0.0875641,109.158,0.1788643,1,0.8039453,0.7012385,0.2336034,1,True,0.9874256,2.83077,0.02,1,211,fRad,2.769508,21,4.297703,2.83077,6.133971,0.1736386,1.6
1943.83,1943,11,3,0,0.02398476,1,0,0,0,0,0.04025711,0,0,0,0,31,278,0,0.7435275,6.667763,4.920857,0.03586335,1,0.1105923,38.544,0.6822484,1,0,0.3869821,0.1447321,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.769508,21.08682,4.297703,2.83077,0,0,1.6
1943.92,1943,12,4,0,0.02398476,1,0,0,0,0,0.01481335,0,0,0,0,31,278,0,0.7435275,6.667763,4.920857,0.03589326,1,0.1268679,19.348,0.7101718,1,0,0,0.05330129,1,False,0.9874256,2.83077,0.02,1,211,fTemp,2.769508,21.08682,4.297703,2.83077,0,0,1.6
1944,1944,1,4,0,0.02398476,1,0,0,0,0,0.0139162,0,0,0,0,31,277,0,0.7435275,6.643778,4.920857,0.03592319,1,0.142462,11.236,0.7781218,1,0,0,0.05011494,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.741939,21,4.297703,2.83077,0,0,1.6
1944.08,1944,2,4,0,0.02398476,1,0,0,0,0,0.01143013,0,0,0,0,31,277,0,0.7435275,6.643778,4.920857,0.03595316,1,0.1474721,9.43,0.8667027,1,0,0,0.04119643,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.741939,21,4.297703,2.83077,0,0,1.6
1944.17,1944,3,4,0,0.02398476,1,0,0,0,0,0.02815297,0,0,0,0,31,277,0,0.7435275,6.643778,4.920857,0.03598314,1,0.2041863,2.506,0.8909233,1,0,0.101813,0.1015535,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.741939,21,4.297703,2.83077,0,0,1.6
1944.25,1944,4,4,0,0.02398476,1,0,0,0,0,0.04945928,0,0,0,0,31,277,0,0.7435275,6.643778,4.920857,0.03601315,1,0.228473,1.232,0.9193909,1,0,0.4825814,0.1785585,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.741939,21,4.297703,2.83077,0,0,1.6
1944.33,1944,5,4,0,0.02374405,1,0.1020449,0.002422959,3.11918,1.102842,0.1217775,2.016339,0.01725904,0.01573439,6.072914,31,277,0.1441956,0.7360656,6.577102,1.797996,0.01291431,1,0.168356,5.098,0.283239,1,0.8052961,0.9100001,0.4400091,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.741939,21,4.297703,2.83077,6.072914,0.1719102,1.6
1944.42,1944,6,4,0,0.02374405,1,0.1020449,0.002422959,3.170159,1.352742,0.1701184,1.817417,0.02018162,0.01367575,6.072914,31,276,0.1441956,0.7360656,6.553358,3.393502,0.02439413,1,0.1224486,23.536,0.2718916,1,0.8052961,0.9785111,0.6151884,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.741939,21,4.297703,2.83077,6.072914,0.1719102,1.6
1944.5,1944,7,4,0,0.02374405,1,0.1020449,0.002422959,2.888274,1.677792,0.2166669,1.210482,0.01739978,0.01445176,6.072914,31,276,0.1441956,0.7360656,6.553358,4.401804,0.03166818,1,0.1046588,48.528,0.2397512,1,0.8052961,0.9988378,0.7841721,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.741939,21,4.297703,2.83077,6.072914,0.1719102,1.6
1944.58,1944,8,4,0,0.02374405,1,0.1020449,0.002422959,2.146078,1.294832,0.1457725,0.8512461,0.01046099,0.01786073,6.072914,31,276,0.1441956,0.7360656,6.553358,5.102824,0.0367416,0.7875556,0.09337243,87.566,0.2495395,1,0.8052961,0.9478293,0.5280274,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.741939,21,4.297703,2.83077,6.072914,0.1719102,1.6
1944.67,1944,9,4,0,0.02374405,1,0.1020449,0.002422959,1.430421,1.08252,0.115521,0.3479016,0.006913905,0.0180122,6.072914,31,276,0.1441956,0.7360656,6.553358,5.350596,0.03855712,0.6726667,0.0870212,112.916,0.2334558,1,0.8052961,0.9030526,0.4187973,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.741939,21,4.297703,2.83077,6.072914,0.1719102,1.6
1944.75,1944,10,4,0,0.02374405,1,0.1020449,0.002422959,1.224127,0.7348024,0.06428167,0.4893249,0.004681813,0.02276349,6.072914,31,275,0.1441956,0.7360656,6.529614,5.754232,0.04149969,0.9555556,0.09131914,90.588,0.190769,1,0.8052961,0.7012385,0.2332342,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.741939,21,4.297703,2.83077,6.072914,0.1719102,1.6
1944.83,1944,11,4,0,0.02374405,1,0,0,0,0,0.03981957,0,0,0,0,31,275,0,0.7360656,6.529614,5.754232,0.04235865,1,0.1126173,36.542,0.6825074,1,0,0.3869821,0.1445984,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.741939,21.08595,4.297703,2.83077,0,0,1.6
1944.92,1944,12,5,0,0.02374405,1,0,0,0,0,0.01466306,0,0,0,0,31,275,0,0.7360656,6.529614,5.754232,0.04239398,1,0.1318259,16.282,0.710427,1,0,0,0.05329098,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.741939,21.08595,4.297703,2.83077,0,0,1.6
1945,1945,1,5,0,0.02374405,1,0,0,0,0,0.01377768,0,0,0,0,31,275,0,0.7360656,6.529614,5.754232,0.04242934,1,0.1489926,9.026,0.7781218,1,0,0,0.05011494,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.714646,21,4.297703,2.83077,0,0,1.6
1945.08,1945,2,5,0,0.02374405,1,0,0,0,0,0.01131635,0,0,0,0,30,274,0,0.7123215,6.50587,5.754232,0.04246472,1,0.1526843,8.02,0.8667027,1,0,0,0.04119643,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.714646,21,4.297703,2.83077,0,0,1.6
1945.17,1945,3,5,0,0.02374405,1,0,0,0,0,0.0278405,0,0,0,0,30,274,0,0.7123215,6.50587,5.754232,0.04250014,1,0.2107885,1.898,0.8909233,1,0,0.101813,0.1014361,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.714646,21,4.297703,2.83077,0,0,1.6
1945.25,1945,4,5,0,0.02374405,1,0,0,0,0,0.04890918,0,0,0,0,30,274,0,0.7123215,6.50587,5.754232,0.04253558,1,0.2288068,1.224,0.9193909,1,0,0.4825814,0.1783478,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.714646,21,4.297703,2.83077,0,0,1.6
1945.33,1945,5,5,0,0.02350578,1,0.1010209,0.002374574,3.313563,1.091864,0.1204411,2.221699,0.0181506,0.01573441,6.012464,30,274,0.1413276,0.7051733,6.440583,1.98975,0.01443529,1,0.1701973,4.838,0.3046245,1,0.8052961,0.9100001,0.4395557,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.714646,21,4.297703,2.83077,6.012464,0.170199,1.6
1945.42,1945,6,5,0,0.02350578,1,0.1010209,0.002374574,3.376151,1.339277,0.1683923,2.036874,0.0212773,0.01367575,6.012464,30,274,0.1413276,0.7051733,6.440583,3.790293,0.0275204,1,0.1243802,22.042,0.2926058,1,0.8052961,0.9785111,0.6150687,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.714646,21,4.297703,2.83077,6.012464,0.170199,1.6
1945.5,1945,7,5,0,0.02350578,1,0.1010209,0.002374574,3.08761,1.661092,0.2146184,1.426519,0.01841398,0.01445176,6.012464,30,273,0.1413276,0.7051733,6.417077,5.000679,0.03633842,1,0.1034856,53.832,0.258472,1,0.8052961,0.9988378,0.784568,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.714646,21,4.297703,2.83077,6.012464,0.170199,1.6
1945.58,1945,8,5,0,0.02350578,1,0.1010209,0.002374574,2.043042,1.281944,0.144464,0.7610981,0.009858803,0.01786073,6.012464,30,273,0.1413276,0.7051733,6.417077,5.618764,0.04086326,0.7019445,0.09411587,87.694,0.2688816,1,0.8052961,0.9478293,0.528549,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.714646,21,4.297703,2.83077,6.012464,0.170199,1.6
1945.67,1945,9,5,0,0.02350578,1,0.1010209,0.002374574,1.591804,1.071744,0.1145234,0.5200597,0.007616736,0.0180122,6.012464,30,273,0.1413276,0.7051733,6.417077,6.027398,0.04387094,0.6981667,0.08758695,109.674,0.2517707,1,0.8052961,0.9030526,0.419355,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.714646,21,4.297703,2.83077,6.012464,0.170199,1.6
1945.75,1945,10,5,0,0.02350578,1,0.1010209,0.002374574,1.260363,0.7274881,0.06374256,0.5328754,0.004772029,0.02276349,6.012464,30,273,0.1413276,0.7051733,6.417077,6.472048,0.0471459,0.9166111,0.09083762,92.424,0.2062006,1,0.8052961,0.7012385,0.2336034,1,True,0.9874256,2.83077,0.02,1,210.85,fRad,2.714646,21,4.297703,2.83077,6.012464,0.170199,1.6
1945.83,1945,11,5,0,0.02350578,1,0,0,0,0,0.03945965,0,0,0,0,30,272,0,0.7051733,6.393571,6.472048,0.04812173,1,0.113577,34.082,0.6825074,1,0,0.3869821,0.1447321,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.714646,21.0851,4.297703,2.83077,0,0,1.6
1945.92,1945,12,6,0,0.02350578,1,0,0,0,0,0.01451991,0,0,0,0,30,272,0,0.7051733,6.393571,6.472048,0.04816186,1,0.1331938,15.346,0.710427,1,0,0,0.05330129,1,False,0.9874256,2.83077,0.02,1,210.85,fTemp,2.714646,21.0851,4.297703,2.83077,0,0,1.6
1946,1946,1,6,0,0.02350578,1,0,0,0,0,0.01364053,0,0,0,0,30,272,0,0.7051733,6.393571,6.472048,0.04820203,1,0.1472909,9.56,0.7783595,1,0,0,0.05011494,1,False,0.9874256,2.83077,0.02,1,210.7,fTemp,2.687624,21,4.297703,2.83077,0,0,1.6
1946.08,1946,2,6,0,0.02350578,1,0,0,0,0,0.0112037,0,0,0,0,30,272,0,0.7051733,6.393571,6.472048,0.04824223,1,0.1515099,8.31,0.8668938,1,0,0,0.04119643,1,False,0.9874256,2.83077,0.02,1,210.7,fTemp,2.687624,21,4.297703,2.83077,0,0,1.6
1946.17,1946,3,6,0,0.02350578,1,0,0,0,0,0.02756337,0,0,0,0,30,272,0,0.7051733,6.393571,6.472048,0.04828247,1,0.2092301,2.014,0.8910952,1,0,0.101813,0.1014361,1,False,0.9874256,2.83077,0.02,1,210.7,fTemp,2.687624,21,4.297703,2.83077,0,0,1.6
