Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 0, 547, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13123, 0, 0, 0, 
20, eco999, 1, 0, 502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15744, 0, 0, 0, 
30, eco999, 1, 0, 938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7751, 0, 0, 0, 
40, eco999, 1, 0, 2597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10233, 0, 0, 0, 
50, eco999, 1, 0, 4316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10331, 0, 0, 0, 
60, eco999, 1, 0, 8535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2787, 0, 0, 0, 
70, eco999, 1, 0, 4411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6640, 0, 0, 0, 
80, eco999, 1, 0, 1994, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3426, 0, 0, 0, 
90, eco999, 1, 0, 5775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1154, 0, 0, 0, 
100, eco999, 1, 0, 2631, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1041, 0, 0, 0, 
