Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.0005416623,0.1040583,0.005205375,30,False
10,acerrubr,0.0006145086,0.1111111,0.005530575,30,False
10,acersacc,0.001077233,0.1040583,0.01035221,30,False
10,betualle,0.0005389718,0.1040583,0.005179519,30,False
10,betupapy,0.0002152534,0.1040583,0.002068585,30,False
10,fraxamer,0.0003248605,0.1040583,0.00312191,30,False
10,piceglau,0.0003265537,0.1040583,0.003138182,30,False
10,pinubank,0.000153826,0.1040583,0.001478268,30,False
10,pinuresi,0.0002152534,0.1040583,0.002068585,30,False
10,pinustro,0.0003248605,0.1040583,0.00312191,30,False
10,poputrem,0.000153826,0.1040583,0.001478268,30,False
10,querelli,0.0002164051,0.1040583,0.002079653,30,False
10,querrubr,0.0003265537,0.1040583,0.003138182,30,False
10,thujocci,0.0003248605,0.1040583,0.00312191,30,False
10,tiliamer,0.0005389718,0.1040583,0.005179519,30,False
10,tsugcana,0.00127554,0.1040583,0.01225794,30,False
20,abiebals,0.0005096433,0.1040583,0.004897672,30,False
20,acerrubr,0.0005788092,0.1111111,0.005209281,30,False
20,acersacc,0.001014526,0.1040583,0.009749591,30,False
20,betualle,0.0005076607,0.1040583,0.004878619,30,False
20,betupapy,0.0002028645,0.1040583,0.001949527,30,False
20,fraxamer,0.0003061137,0.1040583,0.002941753,30,False
20,piceglau,0.0003073356,0.1040583,0.002953495,30,False
20,pinubank,0.000144795,0.1040583,0.00139148,30,False
20,pinuresi,0.0002028645,0.1040583,0.001949527,30,False
20,pinustro,0.0003061137,0.1040583,0.002941753,30,False
20,poputrem,0.000144795,0.1040583,0.00139148,30,False
20,querelli,0.0002036849,0.1040583,0.001957412,30,False
20,querrubr,0.0003073356,0.1040583,0.002953495,30,False
20,thujocci,0.0003061137,0.1040583,0.002941753,30,False
20,tiliamer,0.0005076607,0.1040583,0.004878619,30,False
20,tsugcana,0.001205707,0.1040583,0.01158684,30,False
30,abiebals,0.0005252505,0.1040583,0.005047658,30,False
30,acerrubr,0.0005988642,0.1111111,0.005389776,30,False
30,acersacc,0.001043254,0.1040583,0.01002567,30,False
30,betualle,0.0005252505,0.1040583,0.005047658,30,False
30,betupapy,0.0002110478,0.1040583,0.00202817,30,False
30,fraxamer,0.000317806,0.1040583,0.003054116,30,False
30,piceglau,0.000317806,0.1040583,0.003054116,30,False
30,pinubank,0.0001502352,0.1040583,0.00144376,30,False
30,pinuresi,0.0002110478,0.1040583,0.00202817,30,False
30,pinustro,0.000317806,0.1040583,0.003054116,30,False
30,poputrem,0.0001502352,0.1040583,0.00144376,30,False
30,querelli,0.0002110478,0.1040583,0.00202817,30,False
30,querrubr,0.000317806,0.1040583,0.003054116,30,False
30,thujocci,0.000317806,0.1040583,0.003054116,30,False
30,tiliamer,0.0005252505,0.1040583,0.005047658,30,False
30,tsugcana,0.001241257,0.1040583,0.01192848,30,False
40,abiebals,0.0004905144,0.1040583,0.004713843,30,False
40,acerrubr,0.0005592598,0.1111111,0.005033337,30,False
40,acersacc,0.0009788028,0.1040583,0.009406295,30,False
40,betualle,0.0004905144,0.1040583,0.004713843,30,False
40,betupapy,0.0001963239,0.1040583,0.001886673,30,False
40,fraxamer,0.0002960807,0.1040583,0.002845335,30,False
40,piceglau,0.0002960807,0.1040583,0.002845335,30,False
40,pinubank,0.0001396114,0.1040583,0.001341666,30,False
40,pinuresi,0.0001963239,0.1040583,0.001886673,30,False
40,pinustro,0.0002960807,0.1040583,0.002845335,30,False
40,poputrem,0.0001396114,0.1040583,0.001341666,30,False
40,querelli,0.0001963239,0.1040583,0.001886673,30,False
40,querrubr,0.0002960807,0.1040583,0.002845335,30,False
40,thujocci,0.0002960807,0.1040583,0.002845335,30,False
40,tiliamer,0.0004905144,0.1040583,0.004713843,30,False
40,tsugcana,0.001166505,0.1040583,0.01121011,30,False
50,abiebals,0.0005348186,0.1040583,0.005139607,30,False
50,acerrubr,0.0006097733,0.1111111,0.005487958,30,False
50,acersacc,0.001061425,0.1040583,0.0102003,30,False
50,betualle,0.0005348186,0.1040583,0.005139607,30,False
50,betupapy,0.0002150292,0.1040583,0.00206643,30,False
50,fraxamer,0.0003237236,0.1040583,0.003110984,30,False
50,piceglau,0.0003237236,0.1040583,0.003110984,30,False
50,pinubank,0.0001530938,0.1040583,0.001471231,30,False
50,pinuresi,0.0002150292,0.1040583,0.00206643,30,False
50,pinustro,0.0003237236,0.1040583,0.003110984,30,False
50,poputrem,0.0001530938,0.1040583,0.001471231,30,False
50,querelli,0.0002150292,0.1040583,0.00206643,30,False
50,querrubr,0.0003237236,0.1040583,0.003110984,30,False
50,thujocci,0.0003237236,0.1040583,0.003110984,30,False
50,tiliamer,0.0005348186,0.1040583,0.005139607,30,False
50,tsugcana,0.001262709,0.1040583,0.01213463,30,False
