Time,EcoName,NumActiveSites,TreeNumber_pinubank,TreeNumber_querrubr,BasalArea_pinubank,BasalArea_querrubr,
0, eco999, 1, 1, 11, 0.000706858335, 0.0932660303125, 
10, eco999, 1, 1, 10, 0.013273228735, 0.15621569203500002, 
20, eco999, 1, 1, 10, 0.028352873214999998, 0.25525439875, 
30, eco999, 1, 1, 10, 0.049087384375, 0.40840703799999994, 
40, eco999, 1, 1, 10, 0.08042477056, 0.5938395412149999, 
50, eco999, 1, 1, 10, 0.11341149285999999, 0.81712823526, 
60, eco999, 1, 1, 10, 0.15205308184, 1.07018351919, 
70, eco999, 1, 1, 10, 0.18857409581499998, 1.3599954365399998, 
80, eco999, 1, 1, 10, 0.22902210054, 1.623653595495, 
90, eco999, 1, 0, 10, 0, 1.901998699855, 
100, eco999, 1, 0, 10, 0, 2.1307851809500002, 
