Time,EcoName,NumActiveSites,TreeNumber_pinubank,TreeNumber_querrubr,BasalArea_pinubank,BasalArea_querrubr,
0,0,1,1,11,0.000706858335,0.0932660303125,0
10,0,1,0.8,10.6,0.010618582988,0.16191768260400002,0
20,0,1,0.8,10.6,0.022682298572,0.26585727377499996,0
30,0,1,0.8,10.6,0.0392699075,0.42725659359999996,0
40,0,1,0.8,10.6,0.064339816447999992,0.62329197183999985,0
50,0,1,0.8,10.6,0.090729194288,0.85953973536000006,0
60,0,1,0.8,10.6,0.121642465472,1.127910283215,0
70,0,1,0.8,10.6,0.150859276652,1.4353936589399996,0
80,0,1,0.8,10.6,0.18321768043199999,1.714885444599,0
90,0,1,0,10.6,0,2.0105721401109995,0
100,0,1,0,10.6,0,2.253354416239,0
