Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1940,1,0,0,0,0,0.0579001,0,0,0,0,46,93,6.9421,0.0498649,1,188.5732,3,0.6979063,1,0,0,0.08271444,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1940.08,1,0,0,0,0,0.06368347,0,0,0,0,46,93,6.878416,0.04940745,1,188.5732,3,0.7743857,1,0,0,0.09097638,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1940.17,1,0,0,0,0,0.1002067,0,0,0,0,46,93,6.778209,0.04868767,1,188.5732,3,0.8188882,1,0,0,0.1431525,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1940.25,1,0,0,0,0,0.1797422,0,0,0,0,46,93,6.598467,0.04739659,1,188.5732,3,0.8543969,1,0,0.5283893,0.2567746,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1940.33,1,0,0.04657932,3.579022,0.2938189,0.2805281,3.285203,0.7011798,0.1405263,2.784364,46,93,8.35018,0.05880947,1,188.5732,3,0.8167194,1,1.021269,0.8252396,0.4007545,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1940.42,1,0,0.04657932,4.127759,0.4115437,0.4141769,3.716215,1.061519,0.105002,2.784364,46,93,11.65222,0.08206539,1,188.5732,3,0.8124911,1,1.021269,0.964065,0.5916813,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1940.5,1,0,0.04657932,4.230989,0.4896325,0.485352,3.741357,1.221426,0.09187278,2.784364,46,93,14.90822,0.1049971,1,188.5732,3,0.8027349,1,1.021269,0.9923627,0.69336,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1940.58,1,0,0.04657932,3.883115,0.4535093,0.4285528,3.429605,1.007529,0.1020966,2.784364,46,93,17.90928,0.1261332,1,184.8167,3,0.7856179,1,1.021269,0.9770412,0.6122183,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1940.67,1,0,0.04657932,3.002939,0.3250488,0.2989437,2.677891,0.5879558,0.136607,2.784364,46,93,20.28822,0.1428879,1,187.5023,3,0.7571778,1,1.021269,0.8729697,0.4270624,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1940.75,1,0,0,0,0,0.1989259,0,0,0,0,46,93,20.08929,0.1443008,1,187.4251,3,0.706103,1,0,0.6455868,0.2841798,1,False,0.9944156,2.1,0.02,1,151.5,fTemp,
