Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1900,1,0,0,0,0,0.06650975,0,0,0,0,46,93,6.933491,0.04980305,1,188,3,0.6349207,1,0,0,0.09501394,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1900.08,1,0,0,0,0,0.07315309,0,0,0,0,46,93,6.860337,0.04927759,1,188,3,0.7209705,1,0,0,0.1045044,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1900.17,1,0,0,0,0,0.114964,0,0,0,0,46,93,6.745374,0.04845181,1,188.4586,3,0.7729196,1,0,0,0.1642343,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1900.25,1,0,0,0,0,0.20621,0,0,0,0,46,93,6.539163,0.04697061,1,188.5732,3,0.8154093,1,0,0.606814,0.2945857,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1900.33,1,0,0.04657932,4.390134,0.3836822,0.3219258,4.006452,0.816722,0.1471331,2.784364,46,93,8.970727,0.06317992,1,185.9258,3.2,0.83039,1,1.021269,0.8801895,0.459894,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1900.42,1,0,0.04657932,4.903101,0.5368466,0.4756719,4.366254,1.197335,0.109375,2.784364,46,93,12.86131,0.09058089,1,180.609,4,0.826336,1,1.021269,0.9884925,0.6795313,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1900.5,1,0,0.04657932,4.970317,0.6385149,0.5578772,4.331802,1.362513,0.09535701,2.784364,46,93,16.63523,0.1171603,1,184.3607,3.4,0.8169609,1,1.021269,0.9999998,0.7969674,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1900.58,1,0,0.04657932,4.616423,0.5915011,0.4928303,4.024922,1.137403,0.1061372,2.784364,46,93,20.16733,0.1420364,1,185.108,3.2,0.8004426,1,1.021269,0.9954438,0.7040434,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1900.67,1,0,0.04657932,3.685584,0.4242894,0.3438431,3.261295,0.6852293,0.1427509,2.784364,46,93,23.08477,0.1625837,1,186.9078,3,0.7728081,1,1.021269,0.9206426,0.4912044,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1900.75,1,0,0.04657932,2.504927,0.291472,0.2287974,2.213455,0.3245998,0.2045253,2.784364,46,93,25.06944,0.1765615,1,175.8687,4.2,0.7148514,1,1.021269,0.7175319,0.3268534,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1900.83,1,0,0,0,0,0.1269404,0,0,0,0,46,93,24.94249,0.1791612,1,187.4881,3,0.6124218,1,0,0.1217329,0.1813435,1,False,0.9944156,2.3,0.02,1,201.25,fTemp,
1900.92,2,0,0,0,0,0.0820059,0,0,0,0,51,104,6.869434,0.04427069,1,188.5732,3,0.5878136,1,0,0,0.1171513,1,False,0.9937738,2.3,0.02,1,201.25,fTemp,
1901,2,0,0,0,0,0.07417788,0,0,0,0,51,104,6.795258,0.04379266,1,188.5732,3,0.6349207,1,0,0,0.09501394,1,False,0.9937738,2.3,0.02,1,201.25,fTemp,
1901.08,2,0,0,0,0,0.08158715,0,0,0,0,51,104,6.713671,0.04326686,1,188.5732,3,0.7209705,1,0,0,0.1045044,1,False,0.9937738,2.3,0.02,1,201.25,fTemp,
1901.17,2,0,0,0,0,0.1282186,0,0,0,0,51,104,6.585452,0.04244054,1,188.5732,3,0.7729196,1,0,0,0.1642343,1,False,0.9937738,2.3,0.02,1,201.25,fTemp,
1901.25,2,0,0,0,0,0.2299846,0,0,0,0,51,104,6.355466,0.04095838,1,188.5732,3,0.8154093,1,0,0.606814,0.2945857,1,False,0.9937738,2.3,0.02,1,201.25,fTemp,
1901.33,2,0,0.05193833,4.892185,0.427642,0.3590417,4.464543,0.9101214,0.1471304,3.103378,51,104,9.064446,0.05727822,1,188.5732,3,0.8302149,1,1.021269,0.8801895,0.459894,1,True,0.9937738,2.3,0.02,1,201.25,fRad,
1901.42,2,0,0.05193833,5.463815,0.5983549,0.5305136,4.86546,1.334262,0.1093724,3.103378,51,104,13.39939,0.08467072,1,188.5732,3,0.8261575,1,1.021269,0.9884925,0.6795313,1,True,0.9937738,2.3,0.02,1,201.25,fRad,
1901.5,2,0,0.05193833,5.538684,0.7116717,0.6221966,4.827013,1.51832,0.09535424,3.103378,51,104,17.60421,0.1112409,1,188.5732,3,0.816775,1,1.021269,0.9999998,0.7969674,1,True,0.9937738,2.3,0.02,1,201.25,fRad,
1901.58,2,0,0.05193833,5.144229,0.6592714,0.5496504,4.484958,1.267445,0.1061338,3.103378,51,104,21.53951,0.1361081,1,187.8364,3,0.800244,1,1.021269,0.9954438,0.7040434,1,True,0.9937738,2.3,0.02,1,201.25,fRad,
1901.67,2,0,0.05193833,4.106828,0.4729017,0.3834859,3.633926,0.7635475,0.1427463,3.103378,51,104,24.78996,0.1566477,1,180.964,3.8,0.7725899,1,1.021269,0.9206426,0.4912044,1,True,0.9937738,2.3,0.02,1,201.25,fRad,
