Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.00403618,1,0.0004050208,60,False
10,acerrubr,0.003838009,1,0.0003852723,50,False
10,acersacc,0.009242224,1,0.0009327476,50,False
10,betualle,0.00302069,1,0.0003029967,50,False
10,betupapy,0.000702399,1,7.029098E-05,50,False
10,fraxamer,0.001347709,1,0.000134958,50,False
10,piceglau,0.001807882,1,0.000181072,60,False
10,pinubank,0.0005522559,1,5.525264E-05,60,False
10,pinuresi,0.000702399,1,7.029098E-05,50,False
10,pinustro,0.001347709,1,0.000134958,50,False
10,poputrem,0.0005522559,1,5.525264E-05,60,False
10,querelli,0.000944521,1,9.452971E-05,60,False
10,querrubr,0.001807882,1,0.000181072,60,False
10,thujocci,0.001347709,1,0.000134958,50,False
10,tiliamer,0.00302069,1,0.0003029967,50,False
10,tsugcana,0.01218705,1,0.001233464,50,False
20,abiebals,0.008369159,1,0.0008420609,60,False
20,acerrubr,0.009492802,1,0.0009567421,50,False
20,acersacc,0.02243202,1,0.002285329,50,False
20,betualle,0.007682194,1,0.0007731228,50,False
20,betupapy,0.001854546,1,0.0001857411,50,False
20,fraxamer,0.003507726,1,0.0003517954,50,False
20,piceglau,0.003817079,1,0.000382778,60,False
20,pinubank,0.001188037,1,0.0001189078,60,False
20,pinuresi,0.001854546,1,0.0001857411,50,False
20,pinustro,0.003507726,1,0.0003517954,50,False
20,poputrem,0.001188037,1,0.0001189078,60,False
20,querelli,0.002016668,1,0.000201966,60,False
20,querrubr,0.003817079,1,0.000382778,60,False
20,thujocci,0.003507726,1,0.0003517954,50,False
20,tiliamer,0.007682194,1,0.0007731228,50,False
20,tsugcana,0.02913011,1,0.002984402,50,False
30,abiebals,0.01155306,1,0.001165166,60,False
30,acerrubr,0.01332343,1,0.001346995,50,False
30,acersacc,0.03106123,1,0.003187033,50,False
30,betualle,0.01090966,1,0.001100812,50,False
30,betupapy,0.002688024,1,0.0002693999,50,False
30,fraxamer,0.005044548,1,0.0005065568,50,False
30,piceglau,0.005330736,1,0.0005351706,60,False
30,pinubank,0.001679313,1,0.0001681396,60,False
30,pinuresi,0.002688024,1,0.0002693999,50,False
30,pinustro,0.005044548,1,0.0005065568,50,False
30,poputrem,0.001679313,1,0.0001681396,60,False
30,querelli,0.002836778,1,0.0002842724,60,False
30,querrubr,0.005330736,1,0.0005351706,60,False
30,thujocci,0.005044548,1,0.0005065568,50,False
30,tiliamer,0.01090966,1,0.001100812,50,False
30,tsugcana,0.04000573,1,0.004135816,50,False
40,abiebals,0.0153211,1,0.001549704,60,False
40,acerrubr,0.01789472,1,0.001815997,50,False
40,acersacc,0.04109582,1,0.004252521,50,False
40,betualle,0.01480716,1,0.001498902,50,False
40,betupapy,0.003724396,1,0.0003735867,50,False
40,fraxamer,0.006934432,1,0.0006974191,50,False
40,piceglau,0.007153383,1,0.0007191671,60,False
40,pinubank,0.002281371,1,0.0002285275,60,False
40,pinuresi,0.003724396,1,0.0003735867,50,False
40,pinustro,0.006934432,1,0.0006974191,50,False
40,poputrem,0.002281371,1,0.0002285275,60,False
40,querelli,0.003834795,1,0.000384581,60,False
40,querrubr,0.007153383,1,0.0007191671,60,False
40,thujocci,0.006934432,1,0.0006974191,50,False
40,tiliamer,0.01480716,1,0.001498902,50,False
40,tsugcana,0.05249374,1,0.005485056,50,False
50,abiebals,0.01970973,1,0.002000352,60,False
50,acerrubr,0.02313975,1,0.002358377,50,False
50,acersacc,0.05231328,1,0.005464776,50,False
50,betualle,0.01932461,1,0.001963436,50,False
50,betupapy,0.004959586,1,0.0004979859,50,False
50,fraxamer,0.009163266,1,0.0009232519,50,False
50,piceglau,0.009310866,1,0.0009376213,60,False
50,pinubank,0.00300582,1,0.0003012644,60,False
50,pinuresi,0.004959586,1,0.0004979859,50,False
50,pinustro,0.009163266,1,0.0009232519,50,False
50,poputrem,0.00300582,1,0.0003012644,60,False
50,querelli,0.005027852,1,0.000504692,60,False
50,querrubr,0.009310866,1,0.0009376213,60,False
50,thujocci,0.009163266,1,0.0009232519,50,False
50,tiliamer,0.01932461,1,0.001963436,50,False
50,tsugcana,0.06628591,1,0.007008587,50,False
