Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 16581, 992, 393, 5401, 0, 
20, eco999, 1, 19995, 1022, 403, 3879, 0, 
30, eco999, 1, 4646, 674, 323, 17496, 0, 
40, eco999, 1, 7693, 799, 343, 9593, 0, 
50, eco999, 1, 6523, 1015, 361, 10542, 0, 
60, eco999, 1, 10437, 962, 392, 6246, 0, 
70, eco999, 1, 13333, 1104, 409, 5096, 0, 
80, eco999, 1, 11830, 1080, 356, 6968, 0, 
90, eco999, 1, 12494, 1058, 237, 5596, 0, 
100, eco999, 1, 6999, 1475, 345, 10045, 0, 
