Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 0, 8648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3425, 0, 0, 0, 
20, eco999, 1, 0, 13027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4328, 0, 0, 0, 
30, eco999, 1, 0, 14703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5423, 0, 0, 0, 
40, eco999, 1, 0, 8114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6166, 0, 0, 0, 
50, eco999, 1, 0, 11291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 451, 0, 0, 0, 
60, eco999, 1, 0, 16101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 
70, eco999, 1, 0, 17437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488, 0, 0, 0, 
80, eco999, 1, 0, 16162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 678, 0, 0, 0, 
90, eco999, 1, 0, 15030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1071, 0, 0, 0, 
100, eco999, 1, 0, 6543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 451, 0, 0, 0, 
110, eco999, 1, 0, 8664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1694, 0, 0, 0, 
120, eco999, 1, 0, 7615, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2826, 0, 0, 0, 
130, eco999, 1, 0, 11581, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3244, 0, 0, 0, 
140, eco999, 1, 0, 13834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 
150, eco999, 1, 0, 12440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 
160, eco999, 1, 0, 14186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 
170, eco999, 1, 0, 12152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 504, 0, 0, 0, 
180, eco999, 1, 0, 9131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 675, 0, 0, 0, 
190, eco999, 1, 0, 4801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2342, 0, 0, 0, 
200, eco999, 1, 0, 6385, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5487, 0, 0, 0, 
210, eco999, 1, 0, 8666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6029, 0, 0, 0, 
220, eco999, 1, 0, 9870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3233, 0, 0, 0, 
230, eco999, 1, 0, 4035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1468, 0, 0, 0, 
240, eco999, 1, 0, 9245, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2241, 0, 0, 0, 
250, eco999, 1, 0, 13422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3396, 0, 0, 0, 
260, eco999, 1, 0, 16552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4419, 0, 0, 0, 
270, eco999, 1, 0, 18550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4519, 0, 0, 0, 
280, eco999, 1, 0, 16859, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5025, 0, 0, 0, 
290, eco999, 1, 0, 12163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5995, 0, 0, 0, 
300, eco999, 1, 0, 13558, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7046, 0, 0, 0, 
