Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2007,2007,1,1,0,0.0129676,1,0,0,0,0,0.01512089,0,0,0,0,109,202,0,1.413469,2.619456,7,0.0507497,1,0.1839697,3.37,0.7862905,1,0,0,0.04697605,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.1980396,5,2.276923,0,0,0
2007.08,2007,2,1,0,0.0129676,1,0,0,0,0,0.009309002,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05085566,1,0.1839697,3.37,0.921122,1,0,0,0.02898065,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.267145,5,2.276923,0,0,0
2007.17,2007,3,1,0,0.0129676,1,0,0,0,0,0.02333021,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05096183,1,0.1839697,3.37,0.9287131,1,0,0,0.07278291,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.4528735,5,2.276923,0,0,0
2007.25,2007,4,1,0,0.0129676,1,0,0,0,0,0.04515731,0,0,0,0,108,200,0,1.400501,2.593521,7,0.05106822,1,0.1839697,3.37,0.9109383,1,0,0.1116938,0.1411707,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.7751997,5,2.276923,0,0,0
2007.33,2007,5,1,0,0.01285932,1,0.0642966,0.0008268104,6.179786,0.8297143,0.1202937,5.350071,0.01792077,0.01625946,6.396672,108,200,0.08225685,1.388806,2.571864,4.917486,0.03521826,1,0.1607627,6.354,0.7090741,1,0.9072757,0.8074985,0.3768471,1,True,0.987637,2.276923,0.021,1,137,fRad,1.555,1.592448,5,2.276923,6.396672,0.1456473,0
2007.42,2007,6,1,0,0.01285932,1,0.0642966,0.0008268104,6.725948,1.003753,0.164175,5.722196,0.02094847,0.01513877,6.396672,110,204,0.08225685,1.414525,2.623301,9.391365,0.06595439,1,0.1031785,50.036,0.6817612,1,0.9072757,0.9159001,0.5153889,1,True,0.9875174,2.276923,0.021,1,137,fRad,1.555,2.570664,5,2.276923,6.396672,0.1456473,0
2007.5,2007,7,1,0,0.01309299,1,0.06546494,0.0008571318,6.801596,1.233619,0.2070973,5.567976,0.02278796,0.01432899,6.512299,110,204,0.08526546,1.440229,2.67097,14.31413,0.1006956,1,0.1170324,30.054,0.6395776,1,0.9072757,0.9715235,0.6371825,1,True,0.9875174,2.276923,0.021,1,137,fRad,1.555,3.775543,5,2.276923,6.512299,0.14828,0
2007.58,2007,8,1,0,0.01309299,1,0.06546494,0.0008571318,4.788632,1.196354,0.1924819,3.592278,0.01625364,0.01414396,6.512299,109,203,0.08526546,1.427136,2.657877,17.5712,0.1238609,1,0.09597378,69.87,0.489181,1,0.9072757,0.9629437,0.5934513,1,True,0.9875174,2.276923,0.021,1,137,fRad,1.555,4.893171,5,2.276923,6.512299,0.14828,0
2007.67,2007,9,1,0,0.01309299,1,0.06546494,0.0008571318,3.245089,0.9651533,0.142632,2.279935,0.009785501,0.01592039,6.512299,109,203,0.08526546,1.427136,2.657877,19.62398,0.138614,0.9018537,0.09204417,89.242,0.4506163,1,0.9072757,0.8877749,0.4406745,1,True,0.9875174,2.276923,0.021,1,137,fRad,1.555,5.760821,5,2.276923,6.512299,0.14828,0
2007.75,2007,10,1,0,0.01309299,1,0.06546494,0.0008571318,1.797484,0.7462204,0.09254254,1.051264,0.003706255,0.02328306,6.512299,109,202,0.08526546,1.427136,2.644784,20.54942,0.1454477,1,0.13414,15.604,0.3092616,1,0.9072757,0.6821859,0.2865155,1,True,0.9875174,2.276923,0.021,1,137,fRad,1.555,6.425399,5,2.276923,6.512299,0.14828,0
