Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2015,2015,1,1,0,0.01172677,1,0,0,0,0,0.01013704,0,0,0,0,115,196,0,1.348579,2.298447,7,0.0507497,1,0.1839697,3.37,0.8934206,1,0,0,0.03149275,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.1472091,5,2,0,0,0
2015.08,2015,2,1,0,0.01172677,1,0,0,0,0,0.006852734,0,0,0,0,115,195,0,1.348579,2.286721,7,0.05085566,1,0.1839697,3.37,0.9648419,1,0,0,0.02133383,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.1875565,5,2,0,0,0
2015.17,2015,3,1,0,0.01172677,1,0,0,0,0,0.02154093,0,0,0,0,114,195,0,1.336852,2.286721,7,0.05096183,1,0.1839697,3.37,0.9861118,1,0,0,0.06720091,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.3168408,5,2,0,0,0
2015.25,2015,4,1,0,0.01172677,1,0,0,0,0,0.06240599,0,0,0,0,114,194,0,1.336852,2.274994,7,0.05106822,1,0.1839697,3.37,0.9894015,1,0,0.2880859,0.1950935,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.7207928,5,2,0,0,0
2015.33,2015,5,1,0,0.0116289,1,0.05814448,0.0006761562,6.630426,0.8557893,0.1679602,5.774637,0.02060506,0.01372074,5.787465,114,194,0.06730183,1.325694,2.256006,5.310507,0.0381069,1,0.1167052,28.224,0.8694661,1,0.9336737,0.933166,0.5261729,1,True,0.987637,2,0.019,1,100,fRad,1.555,1.62685,5,2,5.787465,0.1157493,0
2015.42,2015,6,1,0,0.0116289,1,0.05814448,0.0006761562,6.518008,0.8727171,0.1794488,5.645291,0.01628134,0.01707005,5.787465,116,198,0.06730183,1.348952,2.302522,9.722037,0.06840671,1,0.1236548,22.638,0.8245746,1,0.9336737,0.931689,0.5633374,1,True,0.9875174,2,0.019,1,100,fRad,1.555,2.624059,5,2,5.787465,0.1157493,0
2015.5,2015,7,1,0,0.0118401,1,0.05920051,0.0007009401,7.115125,1.156731,0.2535012,5.958393,0.02204184,0.01401398,5.89208,116,197,0.06976283,1.373452,2.3325,15.02938,0.1059325,1,0.1083305,42.636,0.8416476,1,0.9336737,0.9984182,0.779955,1,True,0.9875174,2,0.019,1,100,fRad,1.555,4.029649,5,2,5.89208,0.1178416,0
2015.58,2015,8,1,0,0.0118401,1,0.05920051,0.0007009401,6.749686,1.150501,0.2443447,5.599186,0.02117418,0.01383898,5.89208,116,197,0.06976283,1.373452,2.3325,20.15608,0.1423585,1,0.09477508,78.898,0.8612233,1,0.9336737,0.9979339,0.7533522,1,True,0.9875174,2,0.019,1,100,fRad,1.555,5.358173,5,2,5.89208,0.1178416,0
2015.67,2015,9,1,0,0.0118401,1,0.05920051,0.0007009401,5.468463,0.9669484,0.1912688,4.501514,0.01642249,0.01445617,5.89208,115,197,0.06976283,1.361612,2.3325,24.27481,0.1717996,1,0.1170639,28.852,0.8176293,1,0.9336737,0.9714275,0.5909422,1,True,0.9875174,2,0.019,1,100,fRad,1.555,6.42273,5,2,5.89208,0.1178416,0
2015.75,2015,10,1,0,0.0118401,1,0.05920051,0.0007009401,2.329282,0.5092746,0.07490977,1.820007,0.003636874,0.02780485,5.89208,115,196,0.06976283,1.361612,2.32066,25.93176,0.1839024,1,0.1376319,13.058,0.7142336,1,0.9336737,0.4854383,0.2319237,1,True,0.9875174,2,0.019,1,100,fTemp,1.555,6.843324,5,2,5.89208,0.1178416,0
2015.83,2015,11,1,0,0.0118401,1,0,0,0,0,0.05366524,0,0,0,0,115,196,0,1.361612,2.32066,25.93176,0.187773,1,0.1604378,6.426,0.9330142,1,0,0.2143595,0.1664966,1,False,0.9875174,2,0.019,1,100,fTemp,1.555,7.277131,5,2,0,0,0
2015.92,2015,12,2,0,0.0118401,1,0,0,0,0,0.04407688,0,0,0,0,115,195,0,1.361612,2.30882,25.93176,0.188165,1,0.182426,3.502,0.8219937,1,0,0,0.1370342,1,False,0.9875174,2,0.019,1,100,fTemp,1.555,7.646384,5,2,0,0,0
2016,2016,1,2,0,0.0118401,1,0,0,0,0,0.01706731,0,0,0,0,115,195,0,1.361612,2.30882,6.890697,0.05010439,1,0.1839697,3.37,0.9230535,1,0,0,0.05317272,1,False,0.9875174,1.874566,0.019,1,100,fTemp,2.618465,7.621291,5,1.874566,0,0,1.218468
2016.08,2016,2,2,0,0.0118401,1,0,0,0,0,0.02064102,0,0,0,0,114,195,0,1.349772,2.30882,6.890697,0.05020899,1,0.1839697,3.37,0.9440609,1,0,0,0.06444076,1,False,0.9875174,1.874566,0.019,1,100,fTemp,2.618465,7.729948,5,1.874566,0,0,1.218468
2016.17,2016,3,2,0,0.0118401,1,0,0,0,0,0.0440805,0,0,0,0,114,194,0,1.349772,2.29698,6.890697,0.05031381,1,0.1839697,3.37,0.9706399,1,0,0.0141541,0.1379055,1,False,0.9875174,1.874566,0.019,1,100,fTemp,2.618465,7.953484,5,1.874566,0,0,1.218468
2016.25,2016,4,2,0,0.0118401,1,0,0,0,0,0.06083098,0,0,0,0,114,194,0,1.349772,2.29698,6.890697,0.05041885,1,0.1834552,3.414,0.9930559,1,0,0.3023954,0.1907066,1,False,0.9875174,1.874566,0.019,1,100,fTemp,2.618465,8.170505,5,1.874566,0,0,1.218468
2016.33,2016,5,2,0,0.01159459,1,0.05797297,0.0006721731,4.978226,0.6505399,0.1290621,4.327685,0.01112085,0.01903109,5.770472,114,193,0.06690628,1.321784,2.237757,3.979209,0.02863798,1,0.1615629,6.168,0.8001782,1,0.9399998,0.7985215,0.4054574,1,True,0.9875174,1.874566,0.019,1,100,fTemp,2.618465,8.991082,5,1.874566,5.770472,0.1081713,1.218468
2016.42,2016,6,2,0,0.01159459,1,0.05797297,0.0006721731,6.345393,0.8734047,0.2060029,5.471988,0.0198416,0.01359593,5.770472,129,220,0.06690628,1.495703,2.550811,4.246754,0.02701294,1,0.0950205,73.788,0.8629817,1,0.9399998,0.9755859,0.6485233,1,True,0.986157,1.874566,0.019,1,100,fRad,2.618465,10.14273,5,1.874566,5.770472,0.1081713,1.218468
2016.5,2016,7,2,0,0.01312818,1,0.06564092,0.000861746,4.857577,1.240932,0.3098333,3.616646,0.01867246,0.01252259,6.529713,129,219,0.08572327,1.693536,2.875072,6.41298,0.04078813,0.72005,0.08627994,115.168,0.8208455,1,0.9399998,0.9954805,0.8590004,1,True,0.986157,1.874566,0.019,1,100,Too dry,2.618465,11.66891,5,1.874566,6.529713,0.1224038,1.218468
2016.58,2016,8,2,0,0.01312818,1,0.06564092,0.000861746,6.3888,1.234641,0.296343,5.154159,0.02514256,0.01223167,6.529713,128,219,0.08572327,1.680408,2.875072,11.11992,0.07087038,1,0.09402265,76.84,0.8208455,1,0.9399998,0.9988702,0.8233142,1,True,0.986157,1.874566,0.019,1,100,fRad,2.618465,13.14773,5,1.874566,6.529713,0.1224038,1.218468
2016.67,2016,9,2,0,0.01312818,1,0.06564092,0.000861746,5.183787,0.9232081,0.1947882,4.260579,0.01540096,0.01620226,6.529713,128,218,0.08572327,1.680408,2.861944,15.01764,0.09590771,1,0.09467351,74.894,0.7771071,1,0.9399998,0.9430528,0.5422996,1,True,0.986157,1.874566,0.019,1,100,fRad,2.618465,14.12528,5,1.874566,6.529713,0.1224038,1.218468
2016.75,2016,10,2,0,0.01312818,1,0.06564092,0.000861746,2.792543,0.5853349,0.09745144,2.207208,0.005414242,0.0248278,6.529713,128,218,0.08572327,1.680408,2.861944,17.02937,0.1089781,1,0.1245664,20.926,0.6895913,1,0.9399998,0.6022404,0.2718759,1,True,0.986157,1.874566,0.019,1,100,fTemp,2.618465,14.58529,5,1.874566,6.529713,0.1224038,1.218468
2016.83,2016,11,2,0,0.01312818,1,0,0,0,0,0.05259552,0,0,0,0,128,217,0,1.680408,2.848816,17.02937,0.111269,1,0.1640858,5.792,0.9169571,1,0,0.105041,0.1470405,1,False,0.986157,1.874566,0.019,1,100,fTemp,2.618465,14.9047,5,1.874566,0,0,1.218468
2016.92,2016,12,3,0,0.01312818,1,0,0,0,0,0.02213385,0,0,0,0,127,217,0,1.667279,2.848816,17.02937,0.1115013,1,0.1839697,3.37,0.8207556,1,0,0,0.06200843,1,False,0.986157,1.874566,0.019,1,100,fTemp,2.618465,15.02825,5,1.874566,0,0,1.218468
