Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1998,1998,1,1,0,0.01433391,1,0,0,0,0,0.02792781,0,0,0,0,115,196,0,1.648399,2.809446,7,0.0507497,1,0.1839697,3.37,0.8428733,1,0,0,0.08676331,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.191093,5,1.2,0,0,0
1998.08,1998,2,1,0,0.01433391,1,0,0,0,0,0.03291591,0,0,0,0,115,195,0,1.648399,2.795112,7,0.05085566,1,0.1839697,3.37,0.9506224,1,0,0,0.1024733,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.3037863,5,1.2,0,0,0
1998.17,1998,3,1,0,0.01433391,1,0,0,0,0,0.04985431,0,0,0,0,114,195,0,1.634065,2.795112,7,0.05096183,1,0.1839697,3.37,0.9680934,1,0,0,0.1555297,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.4753754,5,1.2,0,0,0
1998.25,1998,4,1,0,0.01433391,1,0,0,0,0,0.1013222,0,0,0,0,114,194,0,1.634065,2.780778,7,0.05106822,1,0.180562,3.676,0.986303,1,0,0.6014667,0.3167533,1,False,0.987637,1.2,0.049,1,100,fTemp,1.555,0.8395703,5,1.2,0,0,0
1998.33,1998,5,1,0,0.01421483,1,0.07107414,0.001010307,5.081219,0.9257535,0.2138634,4.155466,0.02232454,0.01186311,14.92557,114,194,0.2121644,1.62049,2.757676,3.799781,0.02649418,1,0.1486327,9.098001,0.75158,1,0.9319876,0.9859091,0.6699752,1,True,0.987637,1.2,0.049,1,100,fRad,1.555,1.524473,5,1.2,14.92557,0.1791068,0
1998.42,1998,6,1,0,0.01421483,1,0.07107414,0.001010307,4.683599,1.044183,0.2624549,3.639416,0.01801139,0.01355331,14.92557,116,198,0.2121644,1.64892,2.814536,6.333844,0.04332851,1,0.1747182,4.3,0.6694449,1,0.9319876,0.9999482,0.8239155,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,2.181418,5,1.2,14.92557,0.1791068,0
1998.5,1998,7,1,0,0.01447177,1,0.07235888,0.001047161,4.740631,1.347282,0.3250204,3.393349,0.02613934,0.009623538,15.19536,116,197,0.2199039,1.678726,2.85094,9.000775,0.06164447,1,0.104431,47.066,0.7735518,1,0.9319876,0.8893714,1,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,3.061107,5,1.2,15.19536,0.1823444,0
1998.58,1998,8,1,0,0.01447177,1,0.07235888,0.001047161,2.072708,1.358299,0.3243433,0.7144083,0.01239764,0.008871404,15.19536,116,197,0.2199039,1.678726,2.85094,9.570094,0.0656741,0.5098095,0.08286878,138.588,0.7418908,1,0.9319876,0.8697731,1,1,True,0.9875174,1.2,0.049,1,100,Too dry,1.555,3.960888,5,1.2,15.19536,0.1823444,0
1998.67,1998,9,1,0,0.01447177,1,0.07235888,0.001047161,3.846865,1.016058,0.2354132,2.830806,0.01951328,0.01046092,15.19536,115,197,0.2199039,1.664254,2.85094,12.13162,0.08341814,0.9528095,0.08762573,107.97,0.71215,1,0.9319876,0.9999244,0.7273304,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,4.579895,5,1.2,15.19536,0.1823444,0
1998.75,1998,10,1,0,0.01447177,1,0.07235888,0.001047161,2.237777,0.5983788,0.1070157,1.639398,0.006431382,0.01846314,15.19536,115,196,0.2199039,1.664254,2.836468,13.61437,0.09380002,1,0.1254647,20.076,0.6007385,1,0.9319876,0.6790247,0.331325,1,True,0.9875174,1.2,0.049,1,100,fRad,1.555,4.854309,5,1.2,15.19536,0.1823444,0
