Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
2018,2018,1,1,0,0.02736473,1,0,0,0,0,0.0117904,0,0,0,0,115,196,0,3.146944,5.363486,7,0.0507497,1,0.1839697,3.37,0.8758634,1,0,0,0.03662922,1,False,0.987637,1.4,0.049,1,100,fTemp,1.555,0.189181,5,1.4,0,0,0
2018.08,2018,2,1,0,0.02736473,1,0,0,0,0,0.02303875,0,0,0,0,115,195,0,3.146944,5.336122,7,0.05085566,1,0.1839697,3.37,0.8904243,1,0,0,0.0717239,1,False,0.987637,1.4,0.049,1,100,fTemp,1.555,0.3877673,5,1.4,0,0,0
2018.17,2018,3,1,0,0.02736473,1,0,0,0,0,0.02570875,0,0,0,0,114,195,0,3.119579,5.336122,7,0.05096183,1,0.1839697,3.37,0.9718359,1,0,0,0.08020318,1,False,0.987637,1.4,0.049,1,100,fTemp,1.555,0.5358604,5,1.4,0,0,0
2018.25,2018,4,1,0,0.02736473,1,0,0,0,0,0.04223536,0,0,0,0,114,194,0,3.119579,5.308757,7,0.05106822,1,0.1839697,3.37,0.9698145,1,0,0.02318019,0.1320361,1,False,0.987637,1.4,0.049,1,100,fTemp,1.555,0.7127727,5,1.4,0,0,0
2018.33,2018,5,1,0,0.0271374,1,0.135687,0.003682192,5.681479,0.7123626,0.1438904,4.969117,0.04426615,0.01277113,14.92557,114,194,0.4050411,3.093663,5.264655,4.571414,0.03187444,1,0.135379,14.118,0.8185027,1,0.9597937,0.874948,0.4507689,1,True,0.987637,1.4,0.049,1,100,fRad,1.555,1.608526,5,1.4,14.92557,0.208958,0
2018.42,2018,6,1,0,0.0271374,1,0.135687,0.003682192,6.302114,0.7694044,0.1688376,5.532709,0.04812576,0.01303011,14.92557,116,198,0.4050411,3.147938,5.373205,8.885475,0.06078368,1,0.1311012,24.34,0.8528073,1,0.9597937,0.9195265,0.5300258,1,True,0.9875174,1.4,0.049,1,100,fRad,1.555,2.762577,5,1.4,14.92557,0.208958,0
2018.5,2018,7,1,0,0.02762793,1,0.1381397,0.003816514,7.001184,1.047357,0.250297,5.953828,0.06875154,0.01031594,15.19536,116,197,0.4198165,3.20484,5.442703,13.95465,0.09557251,1,0.1238899,21.606,0.8877274,1,0.9597937,0.9979446,0.7700962,1,True,0.9875174,1.4,0.049,1,100,fRad,1.555,4.45137,5,1.4,15.19536,0.2127351,0
2018.58,2018,8,1,0,0.02762793,1,0.1381397,0.003816514,5.858284,1.031808,0.2363425,4.826477,0.04909556,0.01208782,15.19536,116,197,0.4198165,3.20484,5.442703,18.37104,0.12607,1,0.1689976,5.302,0.7830397,1,0.9597937,0.9929109,0.7286803,1,True,0.9875174,1.4,0.049,1,100,fRad,1.555,6.066455,5,1.4,15.19536,0.2127351,0
2018.67,2018,9,1,0,0.02762793,1,0.1381397,0.003816514,4.209027,0.7759944,0.1572171,3.433033,0.02576066,0.01655178,15.19536,115,197,0.4198165,3.177212,5.442703,21.50945,0.1479009,1,0.1816259,3.59,0.690928,1,0.9597937,0.8951315,0.4857364,1,True,0.9875174,1.4,0.049,1,100,fRad,1.555,7.162245,5,1.4,15.19536,0.2127351,0
2018.75,2018,10,1,0,0.02762793,1,0.1381397,0.003816514,1.360549,0.424649,0.06549099,0.9359004,0.004997226,0.02758069,15.19536,115,196,0.4198165,3.177212,5.415075,22.35011,0.1539873,1,0.1831383,3.44,0.5227535,1,0.9597937,0.4019824,0.2027628,1,True,0.9875174,1.4,0.049,1,100,fTemp,1.555,7.616604,5,1.4,15.19536,0.2127351,0
2018.83,2018,11,1,0,0.02762793,1,0.09209771,0.00254447,0,0,0.02768186,0,0,0,10.13075,115,196,0.2798917,3.177212,5.415075,22.35011,0.156729,1,0.1839697,3.37,0.7807277,1,0,0,0.08588307,1,False,0.9875174,1.4,0.049,1,100,fTemp,1.555,7.816462,5,1.4,10.13075,0.1418305,0
2018.92,2018,12,2,0,0.02762793,1,0.09209771,0.00254447,0,0,0.01937674,0,0,0,10.13075,115,195,0.2798917,3.177212,5.387447,22.35011,0.1570458,1,0.1839697,3.37,0.8187619,1,0,0,0.0602419,1,False,0.9875174,1.4,0.049,1,100,fTemp,1.555,7.925962,5,1.4,10.13075,0.1418305,0
2019,2019,1,2,0,0.02762793,1,0.09209771,0.00254447,0,0,0.01122693,0,0,0,10.13075,115,195,0.2798917,3.177212,5.387447,6.890697,0.04851621,1,0.1839697,3.37,0.8460654,1,0,0,0.03497719,1,False,0.9875174,1.352718,0.049,1,100,fTemp,6.752882,7.777137,5,1.352718,10.13075,0.1370405,1.226456
2019.08,2019,2,2,0,0.02762793,1,0.09209771,0.00254447,0,0,0.01542877,0,0,0,10.13075,114,195,0.2798917,3.149585,5.387447,6.890697,0.04861429,1,0.1839697,3.37,0.9271645,1,0,0,0.04816826,1,False,0.9875174,1.352718,0.049,1,100,fTemp,6.752882,7.860864,5,1.352718,10.13075,0.1370405,1.226456
2019.17,2019,3,2,0,0.02762793,1,0.09209771,0.00254447,0,0,0.02485244,0,0,0,10.13075,114,194,0.2798917,3.149585,5.359819,6.890697,0.04871255,1,0.1839697,3.37,0.975134,1,0,0,0.07775068,1,False,0.9875174,1.352718,0.049,1,100,fTemp,6.752882,8.002085,5,1.352718,10.13075,0.1370405,1.226456
