LandisData  PnETSpeciesParameters

PnETSpeciesParameters   FolN   SLWmax   SLWDel   TOfol   AmaxA   AmaxB   HalfSat   H3   H4   PsnAgeRed   PsnTMin   PsnTOpt   PsnTMax   k   FracFol   FrActWd   KWdLit   FolLignin   EstMoist   EstRad   CO2HalfSatEff   FLPctN   WLPctN   RLPctN
abiebals   1.1   170   0   0.25   5.3   21.5   154   105   143   5   2   19   36   0.5   0.07   0.00004   0.023   0.2   3.1   3.1   -0.1   0.004230769   0.002   0.01
acerrubr   2.1   60   0.2   1   -46   71.9   154   111   147   5   3   26   40   0.58   0.02   0.00004   0.081   0.11   3   3   -0.1   0.008076923   0.002   0.01
acersacc   2   47   0.2   1   -46   71.9   102   105   143   5   3   23   40   0.58   0.02   0.00004   0.075   0.11   3.1   3.1   -0.05   0.007692308   0.002   0.01
betualle   2.1   51   0.2   1   -46   71.9   154   105   143   5   3   21   39   0.58   0.02   0.00004   0.045   0.2   3.1   3.1   -0.1   0.008076923   0.002   0.01
betupapy   2.1   88   0.2   1   -46   71.9   257   100   140   5   3   21   39   0.58   0.022   0.00004   0.045   0.2   3.1   3.1   -0.2   0.008076923   0.002   0.01
fraxamer   2.8   50   0.2   1   -46   71.9   205   111   147   5   3   25   37   0.58   0.015   0.00004   0.075   0.12   3.1   3.1   -0.15   0.010769231   0.002   0.01
piceglau   1.2   165   0   0.25   5.3   21.5   205   111   147   5   2   21   40   0.5   0.07   0.00004   0.025   0.2   3.1   3.1   -0.15   0.004615385   0.002   0.01
pinubank   1.5   180   0   0.3333   5.3   21.5   309   118   153   5   2   20   38   0.5   0.07   0.00004   0.025   0.2   3.1   3.1   -0.25   0.005769231   0.002   0.01
pinuresi   1.4   185   0   0.3333   5.3   21.5   257   118   153   5   3   21   39   0.5   0.075   0.00004   0.023   0.2   3.1   3.1   -0.2   0.005384615   0.002   0.01
pinustro   1.6   185   0   0.5   5.3   21.5   205   111   147   5   3   21   39   0.5   0.075   0.00004   0.125   0.25   3.1   3.1   -0.15   0.006153846   0.002   0.01
poputrem   2.3   85   0.2   1   -46   71.9   309   100   140   5   2   21   40   0.58   0.02   0.00004   0.043   0.2   3.1   3.1   -0.25   0.008846154   0.002   0.01
querelli   2.7   55   0.2   1   -46   71.9   257   118   153   5   2   21   40   0.58   0.015   0.00004   0.05   0.2   3.1   3.1   -0.2   0.010384615   0.002   0.01
querrubr   2.3   60   0.2   1   -46   71.9   205   111   147   5   2   24   40   0.58   0.02   0.00004   0.075   0.17   3.1   3.1   -0.15   0.008846154   0.002   0.01
thujocci   1   125   0   0.5   5.3   21.5   205   105   143   5   3   20   37   0.58   0.08   0.00006   0.026   0.2   3.1   3.1   -0.15   0.003846154   0.002   0.01
tiliamer   2.7   42   0.2   1   -46   71.9   154   111   147   5   3   23   40   0.58   0.015   0.00004   0.075   0.12   3.1   3.1   -0.1   0.010384615   0.002   0.01
tsugcana   1.4   115   0   0.3333   5.3   21.5   92   105   143   5   3   21   39   0.5   0.07   0.00004   0.028   0.2   3.1   3.1   -0.05   0.005384615   0.002   0.01
