Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1930,1,0,0,0,0,0.0579001,0,0,0,0,46,93,6.9421,0.0498649,1,188.5732,3,0.6979063,1,0,0,0.08271444,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.08,1,0,0,0,0,0.06368347,0,0,0,0,46,93,6.878416,0.04940745,1,188.5732,3,0.7743857,1,0,0,0.09097638,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.17,1,0,0,0,0,0.100082,0,0,0,0,46,93,6.778335,0.04868858,1,188.5732,3,0.8188882,1,0,0,0.1429743,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.25,1,0,0,0,0,0.1795162,0,0,0,0,46,93,6.598818,0.04739911,1,188.5732,3,0.8543969,1,0,0.5283893,0.2564518,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.33,1,0,0.04657932,3.594836,0.2938189,0.2802527,3.301017,0.7042778,0.1405816,2.784364,46,93,8.366617,0.05892523,1,188.5732,3,0.822566,1,1.021269,0.8252396,0.4003611,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.42,1,0,0.04657932,4.152945,0.4115437,0.4140964,3.741401,1.067996,0.1050726,2.784364,46,93,11.69392,0.08235911,1,188.5732,3,0.8183777,1,1.021269,0.964065,0.5915663,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.5,1,0,0.04657932,4.264667,0.4896325,0.4856603,3.775034,1.231148,0.09196772,2.784364,46,93,14.9833,0.1055258,1,188.5732,3,0.8087008,1,1.021269,0.9923627,0.6938004,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.58,1,0,0.04657932,3.919827,0.4535093,0.4290338,3.466318,1.017055,0.102223,2.784364,46,93,18.02058,0.1269171,1,187.0117,3,0.7916802,1,1.021269,0.9770412,0.6129054,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.67,1,0,0.04657932,3.03468,0.3250488,0.2993328,2.709632,0.5941705,0.1367804,2.784364,46,93,20.43089,0.1438927,1,187.2028,3,0.7632881,1,1.021269,0.8729697,0.4276183,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.75,1,0,0,0,0,0.1991797,0,0,0,0,46,93,20.2317,0.1453237,1,187.8874,3,0.7063807,1,0,0.6455868,0.2845424,1,False,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.83,1,0,0,0,0,0.1105081,0,0,0,0,46,93,20.12119,0.1445299,1,188.5732,3,0.6773163,1,0,0.03298431,0.1578687,1,False,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.92,2,0,0,0,0,0.07139029,0,0,0,0,49,101,6.869434,0.04566924,1,188.5732,3,0.654504,1,0,0,0.1019861,1,False,0.9939651,2.1,0.02,1,151.5,fTemp,
1931,2,0,0,0,0,0.06258602,0,0,0,0,49,101,6.806849,0.04525317,1,188.5732,3,0.6979063,1,0,0,0.08271444,1,False,0.9939651,2.1,0.02,1,151.5,fTemp,
1931.08,2,0,0,0,0,0.06883744,0,0,0,0,49,101,6.738011,0.04479552,1,188.5732,3,0.7743857,1,0,0,0.09097638,1,False,0.9939651,2.1,0.02,1,151.5,fTemp,
1931.17,2,0,0,0,0,0.1081817,0,0,0,0,49,101,6.629828,0.0440763,1,188.5732,3,0.8188882,1,0,0,0.1429743,1,False,0.9939651,2.1,0.02,1,151.5,fTemp,
1931.25,2,0,0,0,0,0.1940447,0,0,0,0,49,101,6.435784,0.04278626,1,188.5732,3,0.8543969,1,0,0.5283893,0.2564518,1,False,0.9939651,2.1,0.02,1,151.5,fTemp,
