Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1940,1,0,0,0,0,0.06650975,0,0,0,0,46,93,6.933491,0.04980305,1,188.5732,3,0.6349207,1,0,0,0.09501394,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.08,1,0,0,0,0,0.07315309,0,0,0,0,46,93,6.860337,0.04927759,1,188.5732,3,0.7209705,1,0,0,0.1045044,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.17,1,0,0,0,0,0.1151073,0,0,0,0,46,93,6.745229,0.04845077,1,188.5732,3,0.7729196,1,0,0,0.164439,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.25,1,0,0,0,0,0.2064696,0,0,0,0,46,93,6.538758,0.0469677,1,188.5732,3,0.8154093,1,0,0.606814,0.2949565,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.33,1,0,0.04657932,3.797387,0.3836822,0.3222421,3.413704,0.7064497,0.1449337,2.784364,46,93,8.377257,0.05900017,1,188.5732,3,0.7058877,1,1.021269,0.8801895,0.4603459,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.42,1,0,0.04657932,4.238175,0.5368466,0.4757644,3.701328,1.034961,0.1072651,2.784364,46,93,11.60282,0.0817175,1,188.5732,3,0.70017,1,1.021269,0.9884925,0.6796634,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.5,1,0,0.04657932,4.2762,0.6385149,0.557523,3.637685,1.172235,0.09307546,2.784364,46,93,14.68299,0.1034108,1,188.5732,3,0.6871219,1,1.021269,0.9999998,0.7964615,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.58,1,0,0.04657932,3.923975,0.5915011,0.4922779,3.332474,0.9667966,0.1033847,2.784364,46,93,17.52318,0.123414,1,187.9409,3,0.6646995,1,1.021269,0.9954438,0.7032541,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.67,1,0,0.04657932,3.067504,0.4242894,0.343396,2.643215,0.5703149,0.1390088,2.784364,46,93,19.823,0.1396114,1,187.4466,3,0.6286963,1,1.021269,0.9206426,0.4905658,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.75,1,0,0.04657932,2.042319,0.291472,0.2285058,1.750847,0.264653,0.1984248,2.784364,46,93,21.34533,0.150333,1,188.5732,3,0.5678182,1,1.021269,0.7175319,0.3264368,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.83,1,0,0,0,0,0.126838,0,0,0,0,46,93,21.21849,0.1524118,1,188.5732,3,0.6124218,1,0,0.1217329,0.1811972,1,False,0.9944156,2.3,0.02,1,201.25,fTemp,
1940.92,2,0,0,0,0,0.08199099,0,0,0,0,50,102,6.869434,0.0453456,1,188.5732,3,0.5878136,1,0,0,0.11713,1,False,0.9939219,2.3,0.02,1,201.25,fTemp,
1941,2,0,0,0,0,0.07240873,0,0,0,0,50,102,6.797027,0.04486763,1,188.5732,3,0.6349207,1,0,0,0.09501394,1,False,0.9939219,2.3,0.02,1,201.25,fTemp,
1941.08,2,0,0,0,0,0.07964128,0,0,0,0,50,102,6.717385,0.04434191,1,188.5732,3,0.7209705,1,0,0,0.1045044,1,False,0.9939219,2.3,0.02,1,201.25,fTemp,
1941.17,2,0,0,0,0,0.1251605,0,0,0,0,50,102,6.592225,0.04351572,1,188.5732,3,0.7729196,1,0,0,0.1642343,1,False,0.9939219,2.3,0.02,1,201.25,fTemp,
1941.25,2,0,0,0,0,0.2244995,0,0,0,0,50,102,6.367725,0.04203378,1,188.5732,3,0.8154093,1,0,0.606814,0.2945857,1,False,0.9939219,2.3,0.02,1,201.25,fTemp,
1941.33,2,0,0.05070213,4.075056,0.4175049,0.3504785,3.657551,0.7581062,0.1447055,3.029813,50,102,8.311382,0.05379464,1,188.5732,3,0.6966628,1,1.021269,0.8801895,0.459894,1,True,0.9939219,2.3,0.02,1,201.25,fRad,
1941.42,2,0,0.05070213,4.556494,0.5841711,0.5178608,3.972323,1.112694,0.1070763,3.029813,50,102,11.76585,0.07615332,1,188.5732,3,0.6908795,1,1.021269,0.9884925,0.6795313,1,True,0.9939219,2.3,0.02,1,201.25,fRad,
1941.5,2,0,0.05070213,4.604932,0.6948017,0.6073571,3.910131,1.26235,0.09290437,3.029813,50,102,15.06862,0.09753022,1,188.5732,3,0.6776946,1,1.021269,0.9999998,0.7969674,1,True,0.9939219,2.3,0.02,1,201.25,fRad,
1941.58,2,0,0.05070213,4.227997,0.6436436,0.5365411,3.584353,1.041702,0.1032029,3.029813,50,102,18.11643,0.1172569,1,183.4708,3,0.6550789,1,1.021269,0.9954438,0.7040434,1,True,0.9939219,2.3,0.02,1,201.25,fRad,
1941.67,2,0,0.05070213,3.303586,0.4616917,0.3743397,2.841894,0.6142076,0.138777,3.029813,50,102,20.58399,0.1332279,1,185.4621,3,0.6188703,1,1.021269,0.9206426,0.4912044,1,True,0.9939219,2.3,0.02,1,201.25,fRad,
1941.75,2,0,0.05070213,2.198972,0.3171661,0.2490902,1.881805,0.2849528,0.1980736,3.029813,50,102,22.21671,0.1437955,1,187.1535,3,0.5585088,1,1.021269,0.7175319,0.3268534,1,True,0.9939219,2.3,0.02,1,201.25,fRad,
1941.83,2,0,0,0,0,0.1381992,0,0,0,0,50,102,22.07851,0.1457417,1,188.5732,3,0.6124218,1,0,0.1217329,0.1813435,1,False,0.9939219,2.3,0.02,1,201.25,fTemp,
1941.92,3,0,0,0,0,0.08927927,0,0,0,0,54,110,7.474751,0.0456258,1,188.5732,3,0.5878136,1,0,0,0.1171513,1,False,0.9934253,2.3,0.02,1,201.25,fTemp,
1942,3,0,0,0,0,0.07834448,0,0,0,0,54,110,7.396406,0.04514758,1,188.5732,3,0.6349207,1,0,0,0.09501394,1,False,0.9934253,2.3,0.02,1,201.25,fTemp,
1942.08,3,0,0,0,0,0.08616992,0,0,0,0,54,110,7.310237,0.04462161,1,188.5732,3,0.7209705,1,0,0,0.1045044,1,False,0.9934253,2.3,0.02,1,201.25,fTemp,
1942.17,3,0,0,0,0,0.1354206,0,0,0,0,54,110,7.174815,0.04379499,1,188.5732,3,0.7729196,1,0,0,0.1642343,1,False,0.9934253,2.3,0.02,1,201.25,fTemp,
1942.25,3,0,0,0,0,0.2429029,0,0,0,0,54,110,6.931912,0.04231232,1,188.5732,3,0.8154093,1,0,0.606814,0.2945857,1,False,0.9934253,2.3,0.02,1,201.25,fTemp,
1942.33,3,0,0.05484924,4.353231,0.4515043,0.3792092,3.901727,0.8098568,0.1445019,3.276546,54,110,8.979984,0.05374587,1,188.5732,3,0.6872089,1,1.021269,0.8801895,0.459894,1,True,0.9934253,2.3,0.02,1,201.25,fRad,
1942.42,3,0,0.05484924,4.868402,0.631743,0.5603127,4.236659,1.188862,0.106885,3.276546,54,110,12.65633,0.07574908,1,188.5732,3,0.6813666,1,1.021269,0.9884925,0.6795313,1,True,0.9934253,2.3,0.02,1,201.25,fRad,
1942.5,3,0,0.05484924,4.919824,0.7513828,0.6571456,4.168441,1.348671,0.09270267,3.276546,54,110,16.16763,0.09676445,1,188.5732,3,0.668061,1,1.021269,0.9999998,0.7969674,1,True,0.9934253,2.3,0.02,1,201.25,fRad,
