Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.03015334,1,0.003129662,64,False
10,acerrubr,0.03581612,1,0.00374211,60,False
10,acersacc,0.07575028,1,0.008310663,60,False
10,betualle,0.03063079,1,0.003182713,60,False
10,betupapy,0.008515721,1,0.0008610202,60,False
10,fraxamer,0.01525062,1,0.00155502,60,False
10,piceglau,0.01497622,1,0.001526196,64,False
10,pinubank,0.00510223,1,0.0005136211,64,False
10,pinuresi,0.008515721,1,0.0008610202,60,False
10,pinustro,0.01525062,1,0.00155502,60,False
10,poputrem,0.00510223,1,0.0005136211,64,False
10,querelli,0.00835007,1,0.0008440081,64,False
10,querrubr,0.01497622,1,0.001526196,64,False
10,thujocci,0.01525062,1,0.00155502,60,False
10,tiliamer,0.03063079,1,0.003182713,60,False
10,tsugcana,0.09351856,1,0.01048197,60,False
20,abiebals,0.08745743,1,0.009195666,64,False
20,acerrubr,0.1024682,1,0.01085878,62,False
20,acersacc,0.2073649,1,0.02342346,62,False
20,betualle,0.08912653,1,0.009374839,62,False
20,betupapy,0.02599411,1,0.002637841,62,False
20,fraxamer,0.04571954,1,0.004691374,62,False
20,piceglau,0.04482638,1,0.004598827,64,False
20,pinubank,0.01576343,1,0.001590663,64,False
20,pinuresi,0.02599411,1,0.002637841,62,False
20,pinustro,0.04571954,1,0.004691374,62,False
20,poputrem,0.01576343,1,0.001590663,64,False
20,querelli,0.02547385,1,0.002584763,64,False
20,querrubr,0.04482638,1,0.004598827,64,False
20,thujocci,0.04571954,1,0.004691374,62,False
20,tiliamer,0.08912653,1,0.009374839,62,False
20,tsugcana,0.2516752,1,0.02925351,62,False
30,abiebals,0.1278506,1,0.01367864,60,False
30,acerrubr,0.1451797,1,0.01567972,60,False
30,acersacc,0.2804933,1,0.03284593,60,False
30,betualle,0.1278506,1,0.01367864,60,False
30,betupapy,0.03921437,1,0.004001434,60,False
30,fraxamer,0.06764951,1,0.007006412,60,False
30,piceglau,0.06764951,1,0.007006412,60,False
30,pinubank,0.02459285,1,0.002490565,60,False
30,pinuresi,0.03921437,1,0.004001434,60,False
30,pinustro,0.06764951,1,0.007006412,60,False
30,poputrem,0.02459285,1,0.002490565,60,False
30,querelli,0.03921437,1,0.004001434,60,False
30,querrubr,0.06764951,1,0.007006412,60,False
30,thujocci,0.06764951,1,0.007006412,60,False
30,tiliamer,0.1278506,1,0.01367864,60,False
30,tsugcana,0.3352879,1,0.04069895,60,False
40,abiebals,0.1293051,1,0.01383247,60,False
40,acerrubr,0.1468139,1,0.01585451,60,False
40,acersacc,0.2835343,1,0.03320122,60,False
40,betualle,0.1293051,1,0.01383247,60,False
40,betupapy,0.03966869,1,0.004047486,60,False
40,fraxamer,0.06842966,1,0.007086468,60,False
40,piceglau,0.06842966,1,0.007086468,60,False
40,pinubank,0.0248783,1,0.002519336,60,False
40,pinuresi,0.03966869,1,0.004047486,60,False
40,pinustro,0.06842966,1,0.007086468,60,False
40,poputrem,0.0248783,1,0.002519336,60,False
40,querelli,0.03966869,1,0.004047486,60,False
40,querrubr,0.06842966,1,0.007086468,60,False
40,thujocci,0.06842966,1,0.007086468,60,False
40,tiliamer,0.1293051,1,0.01383247,60,False
40,tsugcana,0.3388813,1,0.04113892,60,False
50,abiebals,0.1305376,1,0.01397374,60,False
50,acerrubr,0.1481549,1,0.01601122,60,False
50,acersacc,0.2857115,1,0.03350235,60,False
50,betualle,0.1305376,1,0.01397374,60,False
50,betupapy,0.04011062,1,0.004093505,60,False
50,fraxamer,0.06914938,1,0.007163694,60,False
50,piceglau,0.06914938,1,0.007163694,60,False
50,pinubank,0.02516591,1,0.002548833,60,False
50,pinuresi,0.04011062,1,0.004093505,60,False
50,pinustro,0.06914938,1,0.007163694,60,False
50,poputrem,0.02516591,1,0.002548833,60,False
50,querelli,0.04011062,1,0.004093505,60,False
50,querrubr,0.06914938,1,0.007163694,60,False
50,thujocci,0.06914938,1,0.007163694,60,False
50,tiliamer,0.1305376,1,0.01397374,60,False
50,tsugcana,0.3412885,1,0.04149842,60,False
