Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(m),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1941,1941,1,1,0,0.02402076,1,0,0,0,0,0.007031588,0,0,0,0,103,208,0,2.474138,4.996318,6.992969,0.0505931,1,0.2071477,1.94,0.7983719,1,0,0,0.02512179,1,False,0.987637,2.1,0.02,1,151.5,fTemp,
1941.08,1941,2,1,0,0.02402076,1,0,0,0,0,0.00839022,0,0,0,0,103,208,0,2.474138,4.996318,6.984579,0.0505324,1,0.2071477,1.94,0.9073678,1,0,0,0.02997578,1,False,0.987637,2.1,0.02,1,151.5,fTemp,
1941.17,1941,3,1,0,0.02402076,1,0,0,0,0,0.01871953,0,0,0,0,103,208,0,2.474138,4.996318,6.965858,0.05039696,1,0.2056598,2,0.9564581,1,0,0,0.06687933,1,False,0.987637,2.1,0.02,1,151.5,fTemp,
1941.25,1941,4,1,0,0.02402076,1,0,0,0,0,0.04860231,0,0,0,0,103,208,0,2.474138,4.996318,6.917257,0.05004534,1,0.2210552,1.432,0.9828778,1,0,0.5283893,0.1736417,1,False,0.987637,2.1,0.02,1,151.5,fTemp,
1941.33,1941,5,1,0,0.02402076,1,0.1032341,0.002479762,4.803388,0.6482485,0.09299084,4.155139,0.02763414,0.01530946,6.143103,103,208,0.147562,2.474138,4.996318,8.21501,0.05828314,1,0.1996781,2.302,0.6328322,1,0.9102435,0.8252396,0.3322288,1,True,0.987637,2.1,0.02,1,151.5,fRad,
1941.42,1941,6,1,0,0.02402076,1,0.1032341,0.002479762,5.298265,0.9079829,0.1549839,4.390283,0.04001112,0.01166303,6.143103,103,208,0.147562,2.474138,4.996318,12.45031,0.08833139,1,0.1704167,4.87,0.6223447,1,0.9102435,0.964065,0.5537117,1,True,0.987637,2.1,0.02,1,151.5,fRad,
1941.5,1941,7,1,0,0.02402076,1,0.1032341,0.002479762,5.169045,1.080269,0.1879961,4.088776,0.04381965,0.01038962,6.143103,103,208,0.147562,2.474138,4.996318,16.35109,0.1160063,1,0.167572,5.304,0.5988514,1,0.9102435,0.9923627,0.6716545,1,True,0.987637,2.1,0.02,1,151.5,fRad,
1941.58,1941,8,1,0,0.02402076,1,0.1032341,0.002479762,4.551391,1.000571,0.162488,3.550819,0.03467807,0.01155972,6.143103,103,208,0.147562,2.474138,4.996318,19.73942,0.1400456,1,0.1534637,8.298,0.5599579,1,0.9102435,0.9770412,0.5805217,1,True,0.987637,2.1,0.02,1,151.5,fRad,
1941.67,1941,9,1,0,0.02402076,1,0.1032341,0.002479762,3.349583,0.7171506,0.1027074,2.632432,0.01925849,0.01531887,6.143103,103,208,0.147562,2.474138,4.996318,22.26915,0.1579932,1,0.186358,3.184,0.5015016,1,0.9102435,0.8729697,0.3669433,1,True,0.987637,2.1,0.02,1,151.5,fRad,
1941.75,1941,10,1,0,0.02402076,1,0,0,0,0,0.0577256,0,0,0,0,103,208,0,2.474138,4.996318,22.21142,0.1606964,1,0.1964071,2.484,0.4086952,1,0,0.6455868,0.2062365,1,False,0.987637,2.1,0.02,1,151.5,fRad,
1941.83,1941,11,1,0,0.02402076,1,0,0,0,0,0.02231802,0,0,0,0,103,208,0,2.474138,4.996318,22.1891,0.1605349,1,0.2057143,2.002,0.7665816,1,0,0.03298431,0.07973567,1,False,0.987637,2.1,0.02,1,151.5,fTemp,
1941.92,1941,12,2,0,0.02402076,1,0,0,0,0,0.01028507,0,0,0,0,113,228,0,2.714346,5.476734,6.818991,0.04504908,1,0.2082059,1.89,0.7310126,1,0,0,0.03674553,1,False,0.9864529,2.1,0.02,1,151.5,fTemp,
1942,1942,1,2,0,0.02402076,1,0,0,0,0,0.007709716,0,0,0,0,113,228,0,2.714346,5.476734,6.81128,0.04499814,1,0.2082059,1.89,0.7983719,1,0,0,0.02512179,1,False,0.9864529,2.1,0.02,1,151.5,fTemp,
1942.08,1942,2,2,0,0.02402076,1,0,0,0,0,0.009199375,0,0,0,0,113,228,0,2.714346,5.476734,6.802082,0.04493737,1,0.2082059,1.89,0.9073678,1,0,0,0.02997578,1,False,0.9864529,2.1,0.02,1,151.5,fTemp,
1942.17,1942,3,2,0,0.02402076,1,0,0,0,0,0.02052484,0,0,0,0,113,228,0,2.714346,5.476734,6.781557,0.04480177,1,0.2052955,2.018,0.9564581,1,0,0,0.06687933,1,False,0.9864529,2.1,0.02,1,151.5,fTemp,
1942.25,1942,4,2,0,0.02402076,1,0,0,0,0,0.05328954,0,0,0,0,113,228,0,2.714346,5.476734,6.728268,0.04444972,1,0.2174293,1.548,0.9828778,1,0,0.5283893,0.1736417,1,False,0.9864529,2.1,0.02,1,151.5,fTemp,
1942.33,1942,5,2,0,0.02632662,1,0.113144,0.002978698,5.487435,0.7099135,0.1019589,4.777522,0.03156951,0.01677907,6.727469,113,228,0.1771115,2.974908,6.002468,8.376469,0.05426776,1,0.2018872,2.192,0.6601558,1,0.9102435,0.8252396,0.3322288,1,True,0.9864529,2.1,0.02,1,151.5,fRad,
1942.42,1942,6,2,0,0.02632662,1,0.113144,0.002978698,6.057199,0.9943554,0.1699306,5.062844,0.05013339,0.01166303,6.727469,113,228,0.1771115,2.974908,6.002468,13.26938,0.08596697,1,0.1846001,3.322,0.6496885,1,0.9102435,0.964065,0.5537117,1,True,0.9864529,2.1,0.02,1,151.5,fRad,
1942.5,1942,7,2,0,0.02632662,1,0.113144,0.002978698,5.918893,1.18303,0.2061265,4.735862,0.05499298,0.01038962,6.727469,113,228,0.1771115,2.974908,6.002468,17.79912,0.1153133,1,0.1611135,6.272,0.6261598,1,0.9102435,0.9923627,0.6716545,1,True,0.9864529,2.1,0.02,1,151.5,fRad,
1942.58,1942,8,2,0,0.02632662,1,0.113144,0.002978698,5.224839,1.095751,0.1781584,4.129087,0.04363069,0.01155972,6.727469,113,228,0.1771115,2.974908,6.002468,21.75005,0.1409098,1,0.1660075,5.442,0.5869758,1,0.9102435,0.9770412,0.5805217,1,True,0.9864529,2.1,0.02,1,151.5,fRad,
1942.67,1942,9,2,0,0.02632662,1,0.113144,0.002978698,3.858993,0.78537,0.1126126,3.073623,0.02431721,0.01531887,6.727469,113,228,0.1771115,2.974908,6.002468,24.71106,0.160093,1,0.1743973,4.348,0.527584,1,0.9102435,0.8729697,0.3669433,1,True,0.9864529,2.1,0.02,1,151.5,fRad,
1942.75,1942,10,2,0,0.02632662,1,0,0,0,0,0.06329268,0,0,0,0,113,228,0,2.974908,6.002468,24.64776,0.1628333,1,0.1939107,2.636,0.432932,1,0,0.6455868,0.2062365,1,False,0.9864529,2.1,0.02,1,151.5,fRad,
1942.83,1942,11,2,0,0.02632662,1,0,0,0,0,0.02447037,0,0,0,0,113,228,0,2.974908,6.002468,24.62329,0.1626717,1,0.2049202,2.04,0.7665816,1,0,0.03298431,0.07973567,1,False,0.9864529,2.1,0.02,1,151.5,fTemp,
1942.92,1942,12,3,0,0.02632662,1,0,0,0,0,0.01127697,0,0,0,0,124,251,0,3.2645,6.60798,7.467638,0.04497444,1,0.2083514,1.89,0.7310126,1,0,0,0.03674553,1,False,0.9851296,2.1,0.02,1,151.5,fTemp,
1943,1943,1,3,0,0.02632662,1,0,0,0,0,0.008468464,0,0,0,0,124,251,0,3.2645,6.60798,7.459169,0.04492344,1,0.2083514,1.89,0.7983719,1,0,0,0.02512179,1,False,0.9851296,2.1,0.02,1,151.5,fTemp,
1943.08,1943,2,3,0,0.02632662,1,0,0,0,0,0.01010473,0,0,0,0,124,251,0,3.2645,6.60798,7.449065,0.04486258,1,0.2083514,1.89,0.9073678,1,0,0,0.02997578,1,False,0.9851296,2.1,0.02,1,151.5,fTemp,
1943.17,1943,3,3,0,0.02632662,1,0,0,0,0,0.02254478,0,0,0,0,124,251,0,3.2645,6.60798,7.42652,0.0447268,1,0.2051198,2.026,0.9564581,1,0,0,0.06687933,1,False,0.9851296,2.1,0.02,1,151.5,fTemp,
1943.25,1943,4,3,0,0.02632662,1,0,0,0,0,0.05853399,0,0,0,0,124,251,0,3.2645,6.60798,7.367986,0.04437428,1,0.2198488,1.468,0.9828778,1,0,0.5283893,0.1736417,1,False,0.9851296,2.1,0.02,1,151.5,fTemp,
1943.33,1943,5,3,0,0.02890434,1,0.1242223,0.003590564,6.245603,0.7787332,0.1119931,5.466869,0.03938048,0.01680846,7.379636,124,251,0.2133036,3.584139,7.254991,9.402026,0.05553035,1,0.2017224,2.222,0.6849646,1,0.9102435,0.8252396,0.3322288,1,True,0.9851296,2.1,0.02,1,151.5,fRad,
1943.42,1943,6,3,0,0.02890434,1,0.1242223,0.003590564,6.898847,1.090749,0.1866542,5.808098,0.06269023,0.01166303,7.379636,124,251,0.2133036,3.584139,7.254991,15.02347,0.0887318,1,0.1775084,3.99,0.6745694,1,0.9102435,0.964065,0.5537117,1,True,0.9851296,2.1,0.02,1,151.5,fRad,
1943.5,1943,7,3,0,0.02890434,1,0.1242223,0.003590564,6.751527,1.297714,0.2264123,5.453813,0.0688711,0.01038962,7.379636,124,251,0.2133036,3.584139,7.254991,20.25087,0.1196059,1,0.1689618,5.032,0.6511238,1,0.9102435,0.9923627,0.6716545,1,True,0.9851296,2.1,0.02,1,151.5,fRad,
1943.58,1943,8,3,0,0.02890434,1,0.1242223,0.003590564,5.974216,1.201974,0.1956918,4.772241,0.0547732,0.01155972,7.379636,124,251,0.2133036,3.584139,7.254991,24.82742,0.146636,1,0.1703809,4.854,0.61185,1,0.9102435,0.9770412,0.5805217,1,True,0.9851296,2.1,0.02,1,151.5,fRad,
1943.67,1943,9,3,0,0.02890434,1,0.1242223,0.003590564,4.427606,0.8615046,0.1236953,3.566102,0.03063211,0.01531887,7.379636,124,251,0.2133036,3.584139,7.254991,28.26982,0.1669676,1,0.178055,3.966,0.5518275,1,0.9102435,0.8729697,0.3669433,1,True,0.9851296,2.1,0.02,1,151.5,fRad,
1943.75,1943,10,3,0,0.02890434,1,0,0,0,0,0.06952159,0,0,0,0,124,251,0,3.584139,7.254991,28.2003,0.1698385,1,0.192844,2.7,0.45593,1,0,0.6455868,0.2062365,1,False,0.9851296,2.1,0.02,1,151.5,fRad,
1943.83,1943,11,3,0,0.02890434,1,0,0,0,0,0.02687861,0,0,0,0,124,251,0,3.584139,7.254991,28.17343,0.1696767,1,0.2054556,2.012,0.7665816,1,0,0.03298431,0.07973567,1,False,0.9851296,2.1,0.02,1,151.5,fTemp,
1943.92,1943,12,4,0,0.02890434,1,0,0,0,0,0.01238679,0,0,0,0,137,277,0,3.959895,8.006503,8.191484,0.04471006,1,0.2084742,1.88,0.7310126,1,0,0,0.03674553,1,False,0.9835788,2.1,0.02,1,151.5,fTemp,
1944,1944,1,4,0,0.02890434,1,0,0,0,0,0.009358983,0,0,0,0,137,277,0,3.959895,8.006503,8.182124,0.04465897,1,0.2084742,1.88,0.7983719,1,0,0,0.02512179,1,False,0.9835788,2.1,0.02,1,151.5,fTemp,
1944.08,1944,2,4,0,0.02890434,1,0,0,0,0,0.01116731,0,0,0,0,137,277,0,3.959895,8.006503,8.170957,0.04459802,1,0.2084742,1.88,0.9073678,1,0,0,0.02997578,1,False,0.9835788,2.1,0.02,1,151.5,fTemp,
1944.17,1944,3,4,0,0.02890434,1,0,0,0,0,0.02495792,0,0,0,0,137,277,0,3.959895,8.006503,8.145999,0.04446179,1,0.2061461,1.98,0.9564581,1,0,0,0.06699312,1,False,0.9835788,2.1,0.02,1,151.5,fTemp,
1944.25,1944,4,4,0,0.02890434,1,0,0,0,0,0.06479153,0,0,0,0,137,277,0,3.959895,8.006503,8.081206,0.04410815,1,0.2220545,1.406,0.9828778,1,0,0.5283893,0.1739162,1,False,0.9835788,2.1,0.02,1,151.5,fTemp,
1944.33,1944,5,4,0,0.03192672,1,0.1372116,0.004380716,7.132834,0.8592678,0.1239133,6.273566,0.04937838,0.01691029,8.14282,137,277,0.2599736,4.373961,8.843701,10.56659,0.05656103,1,0.2010418,2.24,0.7072999,1,0.9102435,0.8252396,0.3326133,1,True,0.9835788,2.1,0.02,1,151.5,fRad,
1944.42,1944,6,4,0,0.03192672,1,0.1372116,0.004380716,7.869275,1.203552,0.2063271,6.665723,0.07898584,0.01166303,8.14282,137,277,0.2599736,4.373961,8.843701,17.02599,0.09113699,1,0.1905163,2.876,0.6970168,1,0.9102435,0.964065,0.5538318,1,True,0.9835788,2.1,0.02,1,151.5,fRad,
1944.5,1944,7,4,0,0.03192672,1,0.1372116,0.004380716,7.696618,1.431921,0.2500485,6.264697,0.08672135,0.01038962,8.14282,137,277,0.2599736,4.373961,8.843701,23.04064,0.1233323,1,0.1730584,4.516,0.6737481,1,0.9102435,0.9923627,0.6711908,1,True,0.9835788,2.1,0.02,1,151.5,fRad,
1944.58,1944,8,4,0,0.03192672,1,0.1372116,0.004380716,6.81641,1.32628,0.2160015,5.49013,0.0690294,0.01155972,8.14282,137,277,0.2599736,4.373961,8.843701,28.31478,0.1515638,1,0.1719768,4.788,0.6345499,1,0.9102435,0.9770412,0.5798004,1,True,0.9835788,2.1,0.02,1,151.5,fRad,
1944.67,1944,9,4,0,0.03192672,1,0.1372116,0.004380716,5.064209,0.9505992,0.1364941,4.113609,0.03869997,0.01531887,8.14282,137,277,0.2599736,4.373961,8.843701,32.29189,0.1728526,1,0.1830008,3.494,0.5741597,1,0.9102435,0.8729697,0.3663834,1,True,0.9835788,2.1,0.02,1,151.5,fRad,
1944.75,1944,10,4,0,0.03192672,1,0,0,0,0,0.07670969,0,0,0,0,137,277,0,4.373961,8.843701,32.21518,0.1758341,1,0.1952891,2.546,0.4776296,1,0,0.6455868,0.2059074,1,False,0.9835788,2.1,0.02,1,151.5,fRad,
1944.83,1944,11,4,0,0.03192672,1,0,0,0,0,0.02967208,0,0,0,0,137,277,0,4.373961,8.843701,32.1855,0.1756721,1,0.2055967,2.008,0.7665816,1,0,0.03298431,0.07964705,1,False,0.9835788,2.1,0.02,1,151.5,fTemp,
1944.92,1944,12,5,0,0.03192672,1,0,0,0,0,0.01368571,0,0,0,0,152,308,0,4.852861,9.83343,9.038734,0.04449191,1,0.2083656,1.88,0.7310126,1,0,0,0.03673575,0.9999999,False,0.9817747,2.1,0.02,1,151.5,fTemp,
1945,1945,1,5,0,0.03192672,1,0,0,0,0,0.01039669,0,0,0,0,152,308,0,4.852861,9.83343,9.028339,0.04444074,1,0.2083656,1.88,0.7983719,1,0,0,0.02512179,0.9999999,False,0.9817747,2.1,0.02,1,151.5,fTemp,
1945.08,1945,2,5,0,0.03192672,1,0,0,0,0,0.01240553,0,0,0,0,152,308,0,4.852861,9.83343,9.015932,0.04437967,1,0.2083656,1.88,0.9073678,1,0,0,0.02997578,0.9999999,False,0.9817747,2.1,0.02,1,151.5,fTemp,
1945.17,1945,3,5,0,0.03192672,1,0,0,0,0,0.02767813,0,0,0,0,152,308,0,4.852861,9.83343,8.988252,0.04424342,1,0.2068699,1.95,0.9564581,1,0,0,0.06687933,0.9999999,False,0.9817747,2.1,0.02,1,151.5,fTemp,
1945.25,1945,4,5,0,0.03192672,1,0,0,0,0,0.07186191,0,0,0,0,152,308,0,4.852861,9.83343,8.916388,0.04388968,1,0.2194675,1.486,0.9828778,1,0,0.5283893,0.1736417,0.9999999,False,0.9817747,2.1,0.02,1,151.5,fTemp,
1945.33,1945,5,5,0,0.03544449,1,0.1523299,0.005399257,8.113117,0.9527915,0.1374934,7.160325,0.06203742,0.01699629,9.029092,152,308,0.3200316,5.387563,10.9169,11.87613,0.05733283,1,0.2046034,2.07,0.7272311,1,0.9102435,0.8252396,0.3322288,0.9999999,True,0.9817747,2.1,0.02,1,151.5,fRad,
1945.42,1945,6,5,0,0.03544449,1,0.1523299,0.005399257,8.972884,1.334547,0.2291545,7.638336,0.09998643,0.01166303,9.029092,152,308,0.3200316,5.387563,10.9169,19.28531,0.09310115,1,0.1907083,2.848,0.717089,1,0.9102435,0.964065,0.5537117,0.9999999,True,0.9817747,2.1,0.02,1,151.5,fRad,
1945.5,1945,7,5,0,0.03544449,1,0.1523299,0.005399257,8.805399,1.587772,0.2779654,7.217627,0.1101462,0.01038962,9.029092,152,308,0.3200316,5.387563,10.9169,26.22497,0.1266028,1,0.165982,5.488,0.6940672,1,0.9102435,0.9923627,0.6716545,0.9999999,True,0.9817747,2.1,0.02,1,151.5,fRad,
1945.58,1945,8,5,0,0.03544449,1,0.1523299,0.005399257,7.825918,1.470633,0.2402499,6.355285,0.0879849,0.01155972,9.029092,152,308,0.3200316,5.387563,10.9169,32.34,0.1561236,1,0.1519291,8.276,0.6550739,1,0.9102435,0.9770412,0.5805217,0.9999999,True,0.9817747,2.1,0.02,1,151.5,fRad,
1945.67,1945,9,5,0,0.03544449,1,0.1523299,0.005399257,5.836491,1.054063,0.1518601,4.782428,0.04951597,0.01531887,9.029092,152,308,0.3200316,5.387563,10.9169,36.97056,0.1784779,1,0.190394,2.882,0.5945346,1,0.9102435,0.8729697,0.3669433,0.9999999,True,0.9817747,2.1,0.02,1,151.5,fRad,
1945.75,1945,10,5,0,0.03544449,1,0,0,0,0,0.08535133,0,0,0,0,152,308,0,5.387563,10.9169,36.88521,0.1815623,1,0.1970875,2.444,0.4979534,1,0,0.6455868,0.2062365,0.9999999,False,0.9817747,2.1,0.02,1,151.5,fRad,
1945.83,1945,11,5,0,0.03544449,1,0,0,0,0,0.03299874,0,0,0,0,152,308,0,5.387563,10.9169,36.85221,0.1813999,1,0.2047602,2.046,0.7665816,1,0,0.03298431,0.07973567,0.9999999,False,0.9817747,2.1,0.02,1,151.5,fTemp,
1945.92,1945,12,6,0,0.03544449,1,0,0,0,0,0.0152072,0,0,0,0,169,344,0,5.990119,12.19291,10.02254,0.04429028,1,0.2091536,1.85,0.7310126,1,0,0,0.03674553,0.9999999,False,0.9796773,2.1,0.02,1,151.5,fTemp,
1946,1946,1,6,0,0.03544449,1,0,0,0,0,0.01160558,0,0,0,0,169,344,0,5.990119,12.19291,10.01093,0.04423899,1,0.2091536,1.85,0.7983719,1,0,0,0.02512179,0.9999999,False,0.9796773,2.1,0.02,1,151.5,fTemp,
1946.08,1946,2,6,0,0.03544449,1,0,0,0,0,0.01384799,0,0,0,0,169,344,0,5.990119,12.19291,9.997084,0.0441778,1,0.2091536,1.85,0.9073678,1,0,0,0.02997578,0.9999999,False,0.9796773,2.1,0.02,1,151.5,fTemp,
1946.17,1946,3,6,0,0.03544449,1,0,0,0,0,0.03089642,0,0,0,0,169,344,0,5.990119,12.19291,9.966189,0.04404128,1,0.2060874,1.988,0.9564581,1,0,0,0.06687933,0.9999999,False,0.9796773,2.1,0.02,1,151.5,fTemp,
1946.25,1946,4,6,0,0.03544449,1,0,0,0,0,0.08021771,0,0,0,0,169,344,0,5.990119,12.19291,9.885971,0.04368678,1,0.2226516,1.388,0.9828778,1,0,0.5283893,0.1736417,0.9999999,False,0.9796773,2.1,0.02,1,151.5,fTemp,
1946.33,1946,5,6,0,0.03953689,1,0.1699178,0.006718021,9.258336,1.061306,0.1534806,8.19703,0.07859471,0.01707708,10.05742,169,344,0.3976392,6.681734,13.60069,13.40368,0.05809352,1,0.2010038,2.23,0.7450321,1,0.9102435,0.8252396,0.3322288,0.9999999,True,0.9796773,2.1,0.02,1,151.5,fRad,
1946.42,1946,6,6,0,0.03953689,1,0.1699178,0.006718021,10.24517,1.48654,0.2557997,8.758631,0.127345,0.01166303,10.05742,169,344,0.3976392,6.681734,13.60069,21.90651,0.09494603,1,0.1842793,3.408,0.7350512,1,0.9102435,0.964065,0.5537117,0.9999999,True,0.9796773,2.1,0.02,1,151.5,fRad,
1946.5,1946,7,6,0,0.03953689,1,0.1699178,0.006718021,10.06629,1.768605,0.310286,8.297687,0.1404571,0.01038962,10.05742,169,344,0.3976392,6.681734,13.60069,29.89391,0.1295646,1,0.1757304,4.328,0.7123269,1,0.9102435,0.9923627,0.6716545,0.9999999,True,0.9796773,2.1,0.02,1,151.5,fRad,
1946.58,1946,8,6,0,0.03953689,1,0.1699178,0.006718021,8.964243,1.638125,0.2681851,7.326118,0.1124191,0.01155972,10.05742,169,344,0.3976392,6.681734,13.60069,36.95183,0.1601547,1,0.1662588,5.488,0.6736371,1,0.9102435,0.9770412,0.5805217,0.9999999,True,0.9796773,2.1,0.02,1,151.5,fRad,
1946.67,1946,9,6,0,0.03953689,1,0.1699178,0.006718021,6.704485,1.174111,0.1695178,5.530374,0.06344722,0.01531887,10.05742,169,344,0.3976392,6.681734,13.60069,42.31268,0.1833894,1,0.1853858,3.258,0.6131237,1,0.9102435,0.8729697,0.3669433,0.9999999,True,0.9796773,2.1,0.02,1,151.5,fRad,
1946.75,1946,10,6,0,0.03953689,1,0,0,0,0,0.09527563,0,0,0,0,169,344,0,6.681734,13.60069,42.21741,0.1865616,1,0.1977046,2.412,0.5170387,1,0,0.6455868,0.2062365,0.9999999,False,0.9796773,2.1,0.02,1,151.5,fRad,
1946.83,1946,11,6,0,0.03953689,1,0,0,0,0,0.0368357,0,0,0,0,169,344,0,6.681734,13.60069,42.18058,0.1863989,1,0.2054696,2.014,0.7665816,1,0,0.03298431,0.07973567,0.9999999,False,0.9796773,2.1,0.02,1,151.5,fTemp,
