Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(m),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1901,1901,1,1,0,0.02402076,1,0,0,0,0,0.008198387,0,0,0,0,103,208,0,2.474138,4.996318,6.991801,0.05058465,1,0.1839697,3.37,0.7004498,1,0,0,0.02929041,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1901.08,1901,2,1,0,0.02402076,1,0,0,0,0,0.009787017,0,0,0,0,103,208,0,2.474138,4.996318,6.982014,0.05051384,1,0.1839697,3.37,0.8332049,1,0,0,0.03496612,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1901.17,1901,3,1,0,0.02402076,1,0,0,0,0,0.02179425,0,0,0,0,103,208,0,2.474138,4.996318,6.96022,0.05035617,1,0.1936359,2.658,0.9055121,1,0,0,0.07786443,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1901.25,1901,4,1,0,0.02402076,1,0,0,0,0,0.0564969,0,0,0,0,103,208,0,2.474138,4.996318,6.903722,0.04994741,1,0.230416,1.212,0.9532014,1,0,0.606814,0.2018467,1,False,0.987637,2.3,0.02,1,201.25,fTemp,
1901.33,1901,5,1,0,0.02402076,1,0.1032341,0.002479762,8.804909,0.8465126,0.1080482,7.958397,0.04810108,0.01612234,6.143103,103,208,0.147562,2.474138,4.996318,11.98968,0.08506332,1,0.2365416,1.048,0.9648615,1,0.9024332,0.8801895,0.3860244,1,True,0.987637,2.3,0.02,1,201.25,fTemp,
1901.42,1901,6,1,0,0.02402076,1,0.1032341,0.002479762,9.459678,1.184437,0.1799125,8.27524,0.06783515,0.0122823,6.143103,103,208,0.147562,2.474138,4.996318,20.085,0.1424974,1,0.2393958,0.988,0.9613948,1,0.9024332,0.9884925,0.6427742,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1901.5,1901,7,1,0,0.02402076,1,0.1032341,0.002479762,9.341441,1.408746,0.218101,7.932694,0.07519759,0.01094128,6.143103,103,208,0.147562,2.474138,4.996318,27.79959,0.1972302,1,0.2329943,1.124,0.9527706,1,0.9024332,0.9999998,0.7792103,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1901.58,1901,8,1,0,0.02402076,1,0.1032341,0.002479762,8.734033,1.30502,0.1883747,7.429012,0.06319129,0.01217351,6.143103,103,208,0.147562,2.474138,4.996318,35.04023,0.2486004,1,0.2309111,1.172,0.9356586,1,0.9024332,0.9954438,0.6730069,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1901.67,1901,9,1,0,0.02402076,1,0.1032341,0.002479762,7.164889,0.9361039,0.119055,6.228785,0.03911763,0.01613226,6.143103,103,208,0.147562,2.474138,4.996318,41.14995,0.2919471,1,0.2239884,1.368,0.9023902,1,0.9024332,0.9206426,0.4253482,1,True,0.987637,2.3,0.02,1,201.25,fRad,
1901.75,1901,10,1,0,0.02402076,1,0.1032341,0.002479762,4.850367,0.6430706,0.06693591,4.207296,0.01845701,0.02314576,6.143103,103,208,0.147562,2.474138,4.996318,45.29032,0.3213218,1,0.2083857,1.916,0.8200311,1,0.9024332,0.7175319,0.2391422,1,True,0.987637,2.3,0.02,1,201.25,fTemp,
