Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.001090456,0.1040583,0.01047928,30,False
10,acerrubr,0.001243283,0.1111111,0.01118955,30,False
10,acersacc,0.002040253,0.1040583,0.01960683,30,False
10,betualle,0.001090456,0.1040583,0.01047928,30,False
10,betupapy,0.0004608451,0.1040583,0.004428721,30,False
10,fraxamer,0.0006804031,0.1040583,0.006538674,30,False
10,piceglau,0.0006804031,0.1040583,0.006538674,30,False
10,pinubank,0.0003324714,0.1040583,0.00319505,30,False
10,pinuresi,0.0004608451,0.1040583,0.004428721,30,False
10,pinustro,0.0006804031,0.1040583,0.006538674,30,False
10,poputrem,0.0003324714,0.1040583,0.00319505,30,False
10,querelli,0.0004608451,0.1040583,0.004428721,30,False
10,querrubr,0.0006804031,0.1040583,0.006538674,30,False
10,thujocci,0.0006804031,0.1040583,0.006538674,30,False
10,tiliamer,0.001090456,0.1040583,0.01047928,30,False
10,tsugcana,0.002367311,0.1040583,0.02274986,30,False
20,abiebals,0.002553639,0.1040583,0.02454047,30,False
20,acerrubr,0.002911531,0.1111111,0.02620377,30,False
20,acersacc,0.004306811,0.1040583,0.04138845,30,False
20,betualle,0.002553639,0.1040583,0.02454047,30,False
20,betupapy,0.001181031,0.1040583,0.01134971,30,False
20,fraxamer,0.001683526,0.1040583,0.01617868,30,False
20,piceglau,0.001683526,0.1040583,0.01617868,30,False
20,pinubank,0.0008726761,0.1040583,0.008386417,30,False
20,pinuresi,0.001181031,0.1040583,0.01134971,30,False
20,pinustro,0.001683526,0.1040583,0.01617868,30,False
20,poputrem,0.0008726761,0.1040583,0.008386417,30,False
20,querelli,0.001181031,0.1040583,0.01134971,30,False
20,querrubr,0.001683526,0.1040583,0.01617868,30,False
20,thujocci,0.001683526,0.1040583,0.01617868,30,False
20,tiliamer,0.002553639,0.1040583,0.02454047,30,False
20,tsugcana,0.004840938,0.1040583,0.04652141,30,False
30,abiebals,0.00357489,0.1040583,0.03435469,30,False
30,acerrubr,0.00407591,0.1111111,0.03668318,30,False
30,acersacc,0.00565522,0.1040583,0.05434666,30,False
30,betualle,0.00357489,0.1040583,0.03435469,30,False
30,betupapy,0.001752645,0.1040583,0.01684292,30,False
30,fraxamer,0.00244157,0.1040583,0.02346349,30,False
30,piceglau,0.00244157,0.1040583,0.02346349,30,False
30,pinubank,0.001315727,0.1040583,0.01264413,30,False
30,pinuresi,0.001752645,0.1040583,0.01684292,30,False
30,pinustro,0.00244157,0.1040583,0.02346349,30,False
30,poputrem,0.001315727,0.1040583,0.01264413,30,False
30,querelli,0.001752645,0.1040583,0.01684292,30,False
30,querrubr,0.00244157,0.1040583,0.02346349,30,False
30,thujocci,0.00244157,0.1040583,0.02346349,30,False
30,tiliamer,0.00357489,0.1040583,0.03435469,30,False
30,tsugcana,0.00623804,0.1040583,0.05994756,30,False
40,abiebals,0.004122922,0.1040583,0.03962128,30,False
40,acerrubr,0.004700749,0.1111111,0.04230672,30,False
40,acersacc,0.006308609,0.1040583,0.06062573,30,False
40,betualle,0.004122922,0.1040583,0.03962128,30,False
40,betupapy,0.002085972,0.1040583,0.02004619,30,False
40,fraxamer,0.002869758,0.1040583,0.02757837,30,False
40,piceglau,0.002869758,0.1040583,0.02757837,30,False
40,pinubank,0.001579655,0.1040583,0.01518049,30,False
40,pinuresi,0.002085972,0.1040583,0.02004619,30,False
40,pinustro,0.002869758,0.1040583,0.02757837,30,False
40,poputrem,0.001579655,0.1040583,0.01518049,30,False
40,querelli,0.002085972,0.1040583,0.02004619,30,False
40,querrubr,0.002869758,0.1040583,0.02757837,30,False
40,thujocci,0.002869758,0.1040583,0.02757837,30,False
40,tiliamer,0.004122922,0.1040583,0.03962128,30,False
40,tsugcana,0.006893114,0.1040583,0.06624283,30,False
50,abiebals,0.004392495,0.1040583,0.04221188,30,False
50,acerrubr,0.005008103,0.1111111,0.04507291,30,False
50,acersacc,0.006612923,0.1040583,0.06355019,30,False
50,betualle,0.004392495,0.1040583,0.04221188,30,False
50,betupapy,0.002257495,0.1040583,0.02169453,30,False
50,fraxamer,0.003086306,0.1040583,0.0296594,30,False
50,piceglau,0.003086306,0.1040583,0.0296594,30,False
50,pinubank,0.001717061,0.1040583,0.01650096,30,False
50,pinuresi,0.002257495,0.1040583,0.02169453,30,False
50,pinustro,0.003086306,0.1040583,0.0296594,30,False
50,poputrem,0.001717061,0.1040583,0.01650096,30,False
50,querelli,0.002257495,0.1040583,0.02169453,30,False
50,querrubr,0.003086306,0.1040583,0.0296594,30,False
50,thujocci,0.003086306,0.1040583,0.0296594,30,False
50,tiliamer,0.004392495,0.1040583,0.04221188,30,False
50,tsugcana,0.007192937,0.1040583,0.06912412,30,False
