Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,acerrubr,0.003986449,1,0.3986449,3,False
1,acersacc,0.00539368,1,0.539368,3,False
1,betualle,0.003293875,1,0.3293875,3,False
1,betupapy,0.002088172,1,0.2088172,3,False
1,fagugran,0.005419767,1,0.5419767,3,False
1,picerube,0.007288612,1,0.7288613,3,False
1,pinustro,0.003231179,1,0.3231179,3,False
1,popugran,0.002421223,1,0.2421223,3,False
1,querrubr,0.003266784,1,0.3266784,3,False
1,tsugcana,0.005607799,1,0.5607799,3,False
2,acerrubr,0.003059192,1,0.3059192,3,False
2,acersacc,0.004277509,1,0.4277509,3,False
2,betualle,0.002475469,1,0.2475469,3,False
2,betupapy,0.001846152,1,0.1846152,3,False
2,fagugran,0.004298198,1,0.4298198,3,False
2,picerube,0.006609103,1,0.6609103,3,False
2,pinustro,0.002871369,1,0.2871369,3,False
2,popugran,0.002132992,1,0.2132993,3,False
2,querrubr,0.002455109,1,0.2455109,3,False
2,tsugcana,0.00444732,1,0.444732,3,False
3,acerrubr,0.004825562,1,0.4825563,3,False
3,acersacc,0.006354819,1,0.6354819,3,False
3,betualle,0.004056898,1,0.4056898,3,False
3,betupapy,0.002602231,1,0.2602231,3,False
3,fagugran,0.006385555,1,0.6385556,3,False
3,picerube,0.008587426,1,0.8587425,3,False
3,pinustro,0.003979679,1,0.3979679,3,False
3,popugran,0.003042286,1,0.3042286,3,False
3,querrubr,0.004023531,1,0.4023532,3,False
3,tsugcana,0.006607095,1,0.6607096,3,False
4,acerrubr,0.003795955,1,0.3795955,3,False
4,acersacc,0.005160323,1,0.5160323,3,False
4,betualle,0.003127582,1,0.3127582,3,False
4,betupapy,0.001979102,1,0.1979102,3,False
4,fagugran,0.005185281,1,0.5185282,3,False
4,picerube,0.006973273,1,0.6973273,3,False
4,pinustro,0.003068051,1,0.3068051,3,False
4,popugran,0.002291871,1,0.2291871,3,False
4,querrubr,0.003101859,1,0.3101859,3,False
4,tsugcana,0.005365179,1,0.5365179,3,False
5,acerrubr,0.004676326,1,0.4676326,3,False
5,acersacc,0.006187258,1,0.6187258,3,False
5,betualle,0.003919575,1,0.3919576,3,False
5,betupapy,0.002509,1,0.2509001,3,False
5,fagugran,0.006217184,1,0.6217185,3,False
5,picerube,0.008360996,1,0.8360996,3,False
5,pinustro,0.003844969,1,0.384497,3,False
5,popugran,0.002929055,1,0.2929055,3,False
5,querrubr,0.003887338,1,0.3887338,3,False
5,tsugcana,0.006432883,1,0.6432883,3,False
6,acerrubr,0.003536746,1,0.3536746,3,False
6,acersacc,0.004843687,1,0.4843687,3,False
6,betualle,0.002900583,1,0.2900583,3,False
6,betupapy,0.002065313,1,0.2065313,3,False
6,fagugran,0.004867114,1,0.4867114,3,False
6,picerube,0.007237582,1,0.7237582,3,False
6,pinustro,0.002845373,1,0.2845373,3,False
6,popugran,0.002393204,1,0.2393204,3,False
6,querrubr,0.002876727,1,0.2876727,3,False
6,tsugcana,0.005035973,1,0.5035973,3,False
7,acerrubr,0.004061276,1,0.4061276,3,False
7,acersacc,0.005469573,1,0.5469573,3,False
7,betualle,0.003366472,1,0.3366472,3,False
7,betupapy,0.002139048,1,0.2139049,3,False
7,fagugran,0.005496028,1,0.5496028,3,False
7,picerube,0.008363065,1,0.8363066,3,False
7,pinustro,0.003302394,1,0.3302394,3,False
7,popugran,0.002484308,1,0.2484308,3,False
7,querrubr,0.003338784,1,0.3338784,3,False
7,tsugcana,0.005686707,1,0.5686707,3,False
8,acerrubr,0.004149024,1,0.4149024,3,True
8,acersacc,0.005571569,1,0.5571569,3,False
8,betualle,0.003445518,1,0.3445518,3,False
8,betupapy,0.002191967,1,0.2191967,3,False
8,fagugran,0.005598517,1,0.5598517,3,False
8,picerube,0.007528999,1,0.7528999,3,False
8,pinustro,0.003379935,1,0.3379935,3,False
8,popugran,0.002547957,1,0.2547957,3,False
8,querrubr,0.003417179,1,0.341718,3,False
8,tsugcana,0.005792751,1,0.5792751,3,False
9,acerrubr,0.005132084,1,0.5132084,3,False
9,acersacc,0.006683373,1,0.6683373,3,False
9,betualle,0.004346863,1,0.4346863,3,False
9,betupapy,0.002802663,1,0.2802663,3,False
9,fagugran,0.006715698,1,0.6715698,3,False
9,picerube,0.009031407,1,0.9031407,3,False
9,pinustro,0.004264125,1,0.4264125,3,False
9,popugran,0.003288738,1,0.3288738,3,False
9,querrubr,0.004311112,1,0.4311112,3,False
9,tsugcana,0.006948691,1,0.6948691,3,False
10,acerrubr,0.004163124,1,0.4163124,3,False
10,acersacc,0.005603001,1,0.5603001,3,False
