Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 17655, 792, 312, 3823, 0, 
20, eco999, 1, 8840, 699, 307, 8776, 0, 
30, eco999, 1, 12258, 693, 296, 5274, 0, 
40, eco999, 1, 14360, 737, 311, 4357, 0, 
50, eco999, 1, 9327, 657, 278, 8926, 0, 
60, eco999, 1, 10445, 746, 283, 7116, 0, 
70, eco999, 1, 12574, 717, 302, 5660, 0, 
80, eco999, 1, 8518, 709, 332, 11836, 0, 
90, eco999, 1, 7814, 994, 320, 11087, 0, 
100, eco999, 1, 13350, 745, 300, 5135, 0, 
