Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1941,1941,1,1,0,0.02402076,1,0,0,0,0,0.01205663,0,0,0,0,62,249,0,1.489287,5.98117,7,0.05068621,1,0.1374601,13.104,0.8657402,1,0,0,0.04307476,1,False,0.987637,2.423077,0.02,1,158.1,fTemp,1.555,9.83375,4.297703,2.423077,0,0,0
1941.08,1941,2,1,0,0.02402076,1,0,0,0,0,0.009887748,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05072848,1,0.1466892,9.66,0.9319515,1,0,0,0.03535546,1,False,0.987637,2.423077,0.02,1,158.1,fTemp,1.555,17.57749,4.297703,2.423077,0,0,0
1941.17,1941,3,1,0,0.02402076,1,0,0,0,0,0.02438999,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05077079,1,0.192847,2.778,0.9479199,1,0,0.01300093,0.08728363,1,False,0.987637,2.423077,0.02,1,158.1,fTemp,1.555,21,4.297703,2.423077,0,0,0
1941.25,1941,4,1,0,0.02402076,1,0,0,0,0,0.04287976,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05081313,1,0.2245629,1.33,0.9652064,1,0,0.399375,0.1535804,1,False,0.987637,2.423077,0.02,1,158.1,fTemp,1.555,21,4.297703,2.423077,0,0,0
1941.33,1941,5,1,0,0.02394013,1,0.1028876,0.002463142,2.577894,0.79704,0.1056615,1.780854,0.01581116,0.01431197,6.122652,62,248,0.1465771,1.484288,5.937152,1.600402,0.01140163,1,0.1756786,4.172,0.296575,1,0.8213584,0.8601891,0.3787581,1,True,0.987637,2.423077,0.02,1,158.1,fRad,1.555,21,4.297703,2.423077,6.122652,0.1483566,0
1941.42,1941,6,1,0,0.02394013,1,0.1028876,0.002463142,2.692509,0.9782907,0.1478112,1.714218,0.01912822,0.01235607,6.122652,63,253,0.1465771,1.508228,6.056853,2.348644,0.0163909,1,0.1214668,23.346,0.2848055,1,0.8213584,0.948392,0.5302917,1,True,0.9874256,2.423077,0.02,1,158.1,fRad,1.555,21,4.297703,2.423077,6.122652,0.1483566,0
1941.5,1941,7,1,0,0.02443248,1,0.1050036,0.002565498,2.555549,1.238599,0.1928745,1.31695,0.01718036,0.01332573,6.247513,63,253,0.1526423,1.539246,6.181418,3.304097,0.02306881,1,0.09857965,63.846,0.2513092,1,0.8213584,0.9857042,0.6774225,1,True,0.9874256,2.423077,0.02,1,158.1,fRad,1.555,21,4.297703,2.423077,6.247513,0.151382,0
1941.58,1941,8,1,0,0.02443248,1,0.1050036,0.002565498,1.389329,0.9553175,0.1298022,0.4340115,0.007712869,0.0161372,6.247513,63,253,0.1526423,1.539246,6.181418,3.640855,0.0254408,0.5958334,0.08664295,115.646,0.2614838,1,0.8213584,0.9067096,0.4562771,1,True,0.9874256,2.423077,0.02,1,158.1,fRad,1.555,21,4.297703,2.423077,6.247513,0.151382,0
1941.67,1941,9,1,0,0.02443248,1,0.1050036,0.002565498,0.9732948,0.7983418,0.1028977,0.174953,0.005357814,0.01627406,6.247513,63,252,0.1526423,1.539246,6.156986,3.747678,0.02620864,0.5382221,0.08429927,127.624,0.2447616,1,0.8213584,0.8519423,0.362005,1,True,0.9874256,2.423077,0.02,1,158.1,fRad,1.555,21,4.297703,2.423077,6.247513,0.151382,0
1941.75,1941,10,1,0,0.02443248,1,0,0,0,0,0.0572184,0,0,0,0,63,252,0,1.539246,6.156986,3.747678,0.02674982,0.9135,0.08776008,106.512,0.2046421,1,0,0.6281652,0.2014682,1,False,0.9874256,2.423077,0.02,1,158.1,fRad,1.555,21.07569,4.297703,2.423077,0,0,0
