Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1941,1941,1,1,0,0.02402076,1,0,0,0,0,0.01402717,0,0,0,0,62,249,0,1.489287,5.98117,7,0.05068621,1,0.1422065,11.202,0.7776467,1,0,0,0.05011494,1,False,0.987637,2.653846,0.02,1,211.15,fTemp,1.555,9.83375,4.297703,2.653846,0,0,0
1941.08,1941,2,1,0,0.02402076,1,0,0,0,0,0.01152127,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05072848,1,0.1466892,9.66,0.8663205,1,0,0,0.04119643,1,False,0.987637,2.653846,0.02,1,211.15,fTemp,1.555,17.57749,4.297703,2.653846,0,0,0
1941.17,1941,3,1,0,0.02402076,1,0,0,0,0,0.02834466,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05077079,1,0.2199047,1.478,0.8905794,1,0,0.101813,0.1014361,1,False,0.987637,2.653846,0.02,1,211.15,fTemp,1.555,21,4.297703,2.653846,0,0,0
1941.25,1941,4,1,0,0.02402076,1,0,0,0,0,0.04979485,0,0,0,0,62,248,0,1.489287,5.957149,7,0.05081313,1,0.227328,1.258,0.919102,1,0,0.4825814,0.1783478,1,False,0.987637,2.653846,0.02,1,211.15,fTemp,1.555,21,4.297703,2.653846,0,0,0
1941.33,1941,5,1,0,0.02394013,1,0.1028876,0.002463142,2.374352,1.029183,0.1226221,1.345169,0.01378492,0.01511955,6.122652,62,248,0.1465771,1.484288,5.937152,1.178964,0.008399214,1,0.1794294,3.786,0.2315744,1,0.8108847,0.9100001,0.4395557,1,True,0.987637,2.653846,0.02,1,211.15,fRad,1.555,21,4.297703,2.653846,6.122652,0.1624857,0
1941.42,1941,6,1,0,0.02394013,1,0.1028876,0.002463142,2.414083,1.262393,0.1714416,1.151691,0.01623419,0.01305328,6.122652,63,253,0.1465771,1.508228,6.056853,1.384169,0.009659942,1,0.1328453,15.742,0.2219674,1,0.8108847,0.9785111,0.6150687,1,True,0.9874256,2.653846,0.02,1,211.15,fRad,1.555,21,4.297703,2.653846,6.122652,0.1624857,0
1941.5,1941,7,1,0,0.02443248,1,0.1050036,0.002565498,2.238613,1.597664,0.2233808,0.6409498,0.01424583,0.01407766,6.247513,63,253,0.1526423,1.539246,6.181418,1.685806,0.0117701,1,0.1142799,31.578,0.1948401,1,0.8108847,0.9988378,0.784568,1,True,0.9874256,2.653846,0.02,1,211.15,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
1941.58,1941,8,1,0,0.02443248,1,0.1050036,0.002565498,2.129048,1.232993,0.1503621,0.8960545,0.01118811,0.01704777,6.247513,63,253,0.1526423,1.539246,6.181418,2.432827,0.0169996,1,0.09745856,65.412,0.2030472,1,0.8108847,0.9478293,0.528549,1,True,0.9874256,2.653846,0.02,1,211.15,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
1941.67,1941,9,1,0,0.02443248,1,0.1050036,0.002565498,1.662051,1.03082,0.1191991,0.6312314,0.008660608,0.01719235,6.247513,63,252,0.1526423,1.539246,6.156986,2.947715,0.02061426,1,0.08861994,101.116,0.1895734,1,0.8108847,0.9030526,0.419355,1,True,0.9874256,2.653846,0.02,1,211.15,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
1941.75,1941,10,1,0,0.02443248,1,0.1050036,0.002565498,0.9902118,0.6997092,0.06634502,0.2905026,0.004082817,0.02172737,6.247513,63,252,0.1526423,1.539246,6.156986,3.168903,0.02217923,1,0.09104112,89.29,0.154096,1,0.8108847,0.7012385,0.2336034,1,True,0.9874256,2.653846,0.02,1,211.15,fRad,1.555,21,4.297703,2.653846,6.247513,0.1657994,0
