Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,AboveGroundBiomass_tsugcana,
0, eco999, 1, 0, 5400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12600, 0, 0, 0, 
10, eco999, 1, 0, 7540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10115, 0, 0, 0, 
20, eco999, 1, 0, 6937, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1903, 0, 0, 0, 
30, eco999, 1, 0, 8190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4068, 0, 0, 0, 
40, eco999, 1, 0, 9985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4375, 0, 0, 0, 
50, eco999, 1, 0, 2681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6646, 0, 0, 0, 
60, eco999, 1, 0, 3774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6671, 0, 0, 0, 
70, eco999, 1, 0, 4067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8507, 0, 0, 0, 
80, eco999, 1, 0, 7139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1379, 0, 0, 0, 
90, eco999, 1, 0, 4075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3739, 0, 0, 0, 
100, eco999, 1, 0, 8635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4715, 0, 0, 0, 
