Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.0005476251,0.1040583,0.005262678,30,False
10,acerrubr,0.000621271,0.1111111,0.005591437,30,False
10,acersacc,0.001088271,0.1040583,0.01045829,30,False
10,betualle,0.0005449029,0.1040583,0.005236517,30,False
10,betupapy,0.0002177575,0.1040583,0.00209265,30,False
10,fraxamer,0.0003285611,0.1040583,0.003157472,30,False
10,piceglau,0.0003302755,0.1040583,0.003173947,30,False
10,pinubank,0.0001556419,0.1040583,0.001495719,30,False
10,pinuresi,0.0002177575,0.1040583,0.00209265,30,False
10,pinustro,0.0003285611,0.1040583,0.003157472,30,False
10,poputrem,0.0001556419,0.1040583,0.001495719,30,False
10,querelli,0.0002189242,0.1040583,0.002103862,30,False
10,querrubr,0.0003302755,0.1040583,0.003173947,30,False
10,thujocci,0.0003285611,0.1040583,0.003157472,30,False
10,tiliamer,0.0005449029,0.1040583,0.005236517,30,False
10,tsugcana,0.001288304,0.1040583,0.0123806,30,False
20,abiebals,0.0005127566,0.1040583,0.004927591,30,False
20,acerrubr,0.0005823413,0.1111111,0.00524107,30,False
20,acersacc,0.001020328,0.1040583,0.009805349,30,False
20,betualle,0.0005107586,0.1040583,0.00490839,30,False
20,betupapy,0.0002041669,0.1040583,0.001962044,30,False
20,fraxamer,0.0003080415,0.1040583,0.002960279,30,False
20,piceglau,0.0003092733,0.1040583,0.002972116,30,False
20,pinubank,0.0001457378,0.1040583,0.00140054,30,False
20,pinuresi,0.0002041669,0.1040583,0.001962044,30,False
20,pinustro,0.0003080415,0.1040583,0.002960279,30,False
20,poputrem,0.0001457378,0.1040583,0.00140054,30,False
20,querelli,0.0002049943,0.1040583,0.001969995,30,False
20,querrubr,0.0003092733,0.1040583,0.002972116,30,False
20,thujocci,0.0003080415,0.1040583,0.002960279,30,False
20,tiliamer,0.0005107586,0.1040583,0.00490839,30,False
20,tsugcana,0.001212451,0.1040583,0.01165165,30,False
30,abiebals,0.0005264201,0.1040583,0.005058898,30,False
30,acerrubr,0.0006001977,0.1111111,0.005401778,30,False
30,acersacc,0.001045427,0.1040583,0.01004655,30,False
30,betualle,0.0005264201,0.1040583,0.005058898,30,False
30,betupapy,0.0002115432,0.1040583,0.00203293,30,False
30,fraxamer,0.0003185371,0.1040583,0.003061142,30,False
30,piceglau,0.0003185371,0.1040583,0.003061142,30,False
30,pinubank,0.0001505925,0.1040583,0.001447194,30,False
30,pinuresi,0.0002115432,0.1040583,0.00203293,30,False
30,pinustro,0.0003185371,0.1040583,0.003061142,30,False
30,poputrem,0.0001505925,0.1040583,0.001447194,30,False
30,querelli,0.0002115432,0.1040583,0.00203293,30,False
30,querrubr,0.0003185371,0.1040583,0.003061142,30,False
30,thujocci,0.0003185371,0.1040583,0.003061142,30,False
30,tiliamer,0.0005264201,0.1040583,0.005058898,30,False
30,tsugcana,0.001243783,0.1040583,0.01195276,30,False
40,abiebals,0.0004897052,0.1040583,0.004706067,30,False
40,acerrubr,0.0005583373,0.1111111,0.005025033,30,False
40,acersacc,0.0009772854,0.1040583,0.009391713,30,False
40,betualle,0.0004897052,0.1040583,0.004706067,30,False
40,betupapy,0.0001959839,0.1040583,0.001883405,30,False
40,fraxamer,0.0002955773,0.1040583,0.002840497,30,False
40,piceglau,0.0002955773,0.1040583,0.002840497,30,False
40,pinubank,0.0001393666,0.1040583,0.001339313,30,False
40,pinuresi,0.0001959839,0.1040583,0.001883405,30,False
40,pinustro,0.0002955773,0.1040583,0.002840497,30,False
40,poputrem,0.0001393666,0.1040583,0.001339313,30,False
40,querelli,0.0001959839,0.1040583,0.001883405,30,False
40,querrubr,0.0002955773,0.1040583,0.002840497,30,False
40,thujocci,0.0002955773,0.1040583,0.002840497,30,False
40,tiliamer,0.0004897052,0.1040583,0.004706067,30,False
40,tsugcana,0.001164734,0.1040583,0.0111931,30,False
50,abiebals,0.0005315745,0.1040583,0.005108431,30,False
50,acerrubr,0.0006060745,0.1111111,0.005454668,30,False
50,acersacc,0.001055399,0.1040583,0.01014239,30,False
50,betualle,0.0005315745,0.1040583,0.005108431,30,False
50,betupapy,0.0002136551,0.1040583,0.002053226,30,False
50,fraxamer,0.0003216956,0.1040583,0.003091495,30,False
50,piceglau,0.0003216956,0.1040583,0.003091495,30,False
50,pinubank,0.0001521026,0.1040583,0.001461706,30,False
50,pinuresi,0.0002136551,0.1040583,0.002053226,30,False
50,pinustro,0.0003216956,0.1040583,0.003091495,30,False
50,poputrem,0.0001521026,0.1040583,0.001461706,30,False
50,querelli,0.0002136551,0.1040583,0.002053226,30,False
50,querrubr,0.0003216956,0.1040583,0.003091495,30,False
50,thujocci,0.0003216956,0.1040583,0.003091495,30,False
50,tiliamer,0.0005315745,0.1040583,0.005108431,30,False
50,tsugcana,0.001255701,0.1040583,0.01206729,30,False
