Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco999, 1, 21360, 824, 330, 1241, 0, 
20, eco999, 1, 19334, 765, 307, 4908, 0, 
30, eco999, 1, 7076, 691, 311, 13730, 0, 
40, eco999, 1, 11699, 664, 268, 6284, 0, 
50, eco999, 1, 7428, 734, 299, 8630, 0, 
60, eco999, 1, 11893, 769, 327, 5300, 0, 
70, eco999, 1, 9655, 711, 294, 6297, 0, 
80, eco999, 1, 11428, 718, 297, 4857, 0, 
90, eco999, 1, 13011, 790, 333, 5244, 0, 
100, eco999, 1, 13644, 989, 342, 6708, 0, 
