Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1931,1931,1,1,0,0.02402076,1,0,0,0,0,0.01402717,0,0,0,0,31,280,0,0.7446436,6.725813,7,0.05068621,1,0.1455489,10.118,0.7764603,1,0,0,0.05011494,1,False,0.987637,2.83077,0.02,1,211.9,fTemp,1.555,14.60427,4.297703,2.83077,0,0,0
1931.08,1931,2,1,0,0.02402076,1,0,0,0,0,0.01152127,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05072848,1,0.1508226,8.49,0.865365,1,0,0,0.04119643,1,False,0.987637,2.83077,0.02,1,211.9,fTemp,1.555,21,4.297703,2.83077,0,0,0
1931.17,1931,3,1,0,0.02402076,1,0,0,0,0,0.02834466,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05077079,1,0.2268768,1.286,0.8897191,1,0,0.101813,0.1014361,1,False,0.987637,2.83077,0.02,1,211.9,fTemp,1.555,21,4.297703,2.83077,0,0,0
1931.25,1931,4,1,0,0.02402076,1,0,0,0,0,0.04979485,0,0,0,0,31,279,0,0.7446436,6.701792,7,0.05081313,1,0.2454975,0.88,0.9183788,1,0,0.4825814,0.1783478,1,False,0.987637,2.83077,0.02,1,211.9,fTemp,1.555,21,4.297703,2.83077,0,0,0
1931.33,1931,5,1,0,0.02394013,1,0.1028876,0.002463142,4.816344,1.098635,0.1226221,3.717709,0.02730436,0.01548401,6.122652,31,279,0.1465771,0.742144,6.679296,3.380565,0.02408393,1,0.1867785,3.144,0.4400502,1,0.7957072,0.9100001,0.4395557,1,True,0.987637,2.83077,0.02,1,211.9,fRad,1.555,21,4.297703,2.83077,6.122652,0.1733182,0
1931.42,1931,6,1,0,0.02394013,1,0.1028876,0.002463142,4.928617,1.347582,0.1714416,3.581035,0.03236373,0.01336794,6.122652,32,285,0.1465771,0.7660842,6.822937,5.839097,0.04075032,1,0.1443926,10.488,0.4245231,1,0.7957072,0.9785111,0.6150687,1,True,0.9874256,2.83077,0.02,1,211.9,fRad,1.555,21,4.297703,2.83077,6.122652,0.1733182,0
1931.5,1931,7,1,0,0.02443248,1,0.1050036,0.002565498,4.653562,1.705477,0.2233808,2.948085,0.02891675,0.01441701,6.247513,32,284,0.1526423,0.7818395,6.938826,8.278822,0.05780174,1,0.1240825,21.508,0.3794234,1,0.7957072,0.9988378,0.784568,1,True,0.9874256,2.83077,0.02,1,211.9,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1931.58,1931,8,1,0,0.02443248,1,0.1050036,0.002565498,4.401826,1.316198,0.1503621,3.085628,0.02258706,0.01745871,6.247513,32,284,0.1526423,0.7818395,6.938826,11.05632,0.07725704,1,0.1106467,35.988,0.3932638,1,0.7957072,0.9478293,0.528549,1,True,0.9874256,2.83077,0.02,1,211.9,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1931.67,1931,9,1,0,0.02443248,1,0.1050036,0.002565498,3.467045,1.100382,0.1191991,2.366663,0.01764081,0.01760678,6.247513,32,284,0.1526423,0.7818395,6.938826,13.18029,0.09217378,1,0.09085863,90.016,0.3704519,1,0.7957072,0.9030526,0.419355,1,True,0.9874256,2.83077,0.02,1,211.9,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1931.75,1931,10,1,0,0.02443248,1,0.1050036,0.002565498,2.113988,0.7469272,0.06634502,1.367061,0.008511178,0.02225112,6.247513,32,284,0.1526423,0.7818395,6.938826,14.39937,0.1007816,1,0.09120672,89.726,0.3081806,1,0.7957072,0.7012385,0.2336034,1,True,0.9874256,2.83077,0.02,1,211.9,fRad,1.555,21,4.297703,2.83077,6.247513,0.1768527,0
1931.83,1931,11,1,0,0.02443248,1,0,0,0,0,0.0410707,0,0,0,0,32,284,0,0.7818395,6.938826,14.39937,0.1028642,1,0.1204815,24.468,0.6806973,1,0,0.3869821,0.1447321,1,False,0.9874256,2.83077,0.02,1,211.9,fTemp,1.555,21.08843,4.297703,2.83077,0,0,0
1931.92,1931,12,2,0,0.02443248,1,0,0,0,0,0.01511272,0,0,0,0,31,283,0,0.757407,6.914393,14.39937,0.10295,1,0.1347654,14.444,0.7086432,1,0,0,0.05330129,1,False,0.9874256,2.83077,0.02,1,211.9,fTemp,1.555,21.08843,4.297703,2.83077,0,0,0
1932,1932,1,2,0,0.02443248,1,0,0,0,0,0.01419744,0,0,0,0,31,283,0,0.757407,6.914393,6.993382,0.05004171,1,0.1486083,9.144,0.7766974,1,0,0,0.05011494,1,False,0.9874256,2.83077,0.02,1,211.75,fTemp,2.797353,21,4.297703,2.83077,0,0,1.6
1932.08,1932,2,2,0,0.02443248,1,0,0,0,0,0.01166113,0,0,0,0,31,283,0,0.757407,6.914393,6.993382,0.05008344,1,0.1528273,7.98,0.8655561,1,0,0,0.04119643,1,False,0.9874256,2.83077,0.02,1,211.75,fTemp,2.797353,21,4.297703,2.83077,0,0,1.6
