Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10,0,1,18170.4,1021.2,408.4,3586,0,0
20,0,1,16540.8,1018,398.8,6570.8,0,0
30,0,1,12840.2,1079.8,421.8,10073.6,0,0
40,0,1,10827.6,1072.4,421.2,10629.2,0,0
50,0,1,12885,1094.4,417.6,7530.6,0,0
60,0,1,15064,1012,400.8,5694.4,0,0
70,0,1,13968.2,1080.4,383.4,7258.4,0,0
80,0,1,15874.2,1005.4,375.6,5653.6,0,0
90,0,1,15898,1062.2,407.4,5606.8,0,0
100,0,1,12211,1056.6,430.6,9387.2,0,0
110,0,1,12878,1040.6,421.2,7980.4,0,0
120,0,1,15105.6,1069.8,422.4,6197.2,0,0
130,0,1,16282,1077,404.2,5622.2,0,0
140,0,1,13361.8,1033.2,369.8,7952.8,0,0
150,0,1,13967.2,1023,383.6,6561.8,0,0
160,0,1,14799.6,1068.4,383.6,5683.2,0,0
170,0,1,13283.6,1019.4,332.8,6871.6,0,0
180,0,1,14280.6,1037.2,299.2,5608.4,0,0
190,0,1,8209.8,841.2,343.8,9246.8,0,0
200,0,1,9757.8,872,363.8,7291.2,0,0
210,0,1,12572.2,973.6,413,5934.8,0,0
220,0,1,11879.2,1005.4,415.2,7200.8,0,0
230,0,1,12861.8,972.4,407,6005.8,0,0
240,0,1,12715.2,990,399.6,7053.8,0,0
250,0,1,13457.2,1002.8,413,6856.4,0,0
260,0,1,14734.6,1088.2,408.2,6203.4,0,0
270,0,1,11263.8,1026.8,394.2,8925.4,0,0
280,0,1,11699.4,1145.6,391.6,8172,0,0
290,0,1,10627,1035.6,397.4,7717.4,0,0
300,0,1,10343,1007.4,419,8170.6,0,0
