Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1930,1,0,0,0,0,0.0579001,0,0,0,0,46,93,6.9421,0.0498649,1,188.5732,3,0.6979063,1,0,0,0.08271444,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.08,1,0,0,0,0,0.06368347,0,0,0,0,46,93,6.878416,0.04940745,1,188.5732,3,0.7743857,1,0,0,0.09097638,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.17,1,0,0,0,0,0.100082,0,0,0,0,46,93,6.778335,0.04868858,1,188.5732,3,0.8188882,1,0,0,0.1429743,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.25,1,0,0,0,0,0.1795162,0,0,0,0,46,93,6.598818,0.04739911,1,188.5732,3,0.8543969,1,0,0.5283893,0.2564518,1,False,0.9944156,2.1,0,1,151.5,fTemp,
1930.33,1,0,0.04657932,3.666569,0.2938189,0.2802527,3.37275,0.7183313,0.1408264,2.784364,46,93,8.438351,0.05943045,1,188.5732,3,0.8404409,1,1.021269,0.8252396,0.4003611,1,True,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.42,1,0,0.04657932,4.236218,0.4115437,0.4140964,3.824674,1.089411,0.1052998,2.784364,46,93,11.84893,0.08345082,1,188.5732,3,0.8365925,1,1.021269,0.964065,0.5915663,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.5,1,0,0.04657932,4.353292,0.4896325,0.4856603,3.863659,1.256732,0.09221057,2.784364,46,93,15.22693,0.1072417,1,188.5732,3,0.8276863,1,1.021269,0.9923627,0.6938004,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.58,1,0,0.04657932,4.008667,0.4535093,0.4290338,3.555158,1.040106,0.1025194,2.784364,46,93,18.35306,0.1292587,1,187.7175,3,0.8119706,1,1.021269,0.9770412,0.6129054,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.67,1,0,0.04657932,3.113927,0.3250488,0.2993328,2.788878,0.6096865,0.137198,2.784364,46,93,20.84261,0.1467924,1,187.3438,3,0.7856115,1,1.021269,0.8729697,0.4276183,1,True,0.9944156,2.1,0.02,1,151.5,fRad,
1930.75,1,0,0,0,0,0.1991797,0,0,0,0,46,93,20.64342,0.1482811,1,187.6675,3,0.7322566,1,0,0.6455868,0.2845424,1,False,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.83,1,0,0,0,0,0.1105081,0,0,0,0,46,93,20.53291,0.1474873,1,188.3589,3,0.6773163,1,0,0.03298431,0.1578687,1,False,0.9944156,2.1,0.02,1,151.5,fTemp,
1930.92,2,0,0,0,0,0.07139029,0,0,0,0,50,101,6.869434,0.04554608,1,188.5732,3,0.654504,1,0,0,0.1019861,1,False,0.9939487,2.1,0.02,1,151.5,fTemp,
1931,2,0,0,0,0,0.0627563,0,0,0,0,50,101,6.806678,0.04512999,1,188.5732,3,0.6979063,1,0,0,0.08271444,1,False,0.9939487,2.1,0.02,1,151.5,fTemp,
1931.08,2,0,0,0,0,0.06902473,0,0,0,0,50,101,6.737653,0.04467234,1,188.5732,3,0.7743857,1,0,0,0.09097638,1,False,0.9939487,2.1,0.02,1,151.5,fTemp,
1931.17,2,0,0,0,0,0.1084761,0,0,0,0,50,101,6.629178,0.04395312,1,188.5732,3,0.8188882,1,0,0,0.1429743,1,False,0.9939487,2.1,0.02,1,151.5,fTemp,
1931.25,2,0,0,0,0,0.1945726,0,0,0,0,50,101,6.434604,0.04266305,1,188.5732,3,0.8543969,1,0,0.5283893,0.2564518,1,False,0.9939487,2.1,0.02,1,151.5,fTemp,
