Time,Age(yr),TopLayer(-),LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),water(mm),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,
1940,1,0,0,0,0,0.0266039,0,0,0,0,46,93,6.973397,0.0500897,1,188.5732,3,0.6349207,1,0,0,0.09501394,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.08,1,0,0,0,0,0.02926124,0,0,0,0,46,93,6.944136,0.04987952,1,188.5732,3,0.7209705,1,0,0,0.1045044,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.17,1,0,0,0,0,0.04604292,0,0,0,0,46,93,6.898093,0.04954879,1,188.5732,3,0.7729196,1,0,0,0.164439,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.25,1,0,0,0,0,0.08258784,0,0,0,0,46,93,6.815505,0.04895556,1,188.5732,3,0.8154093,1,0,0.606814,0.2949565,1,False,0.9944156,2.3,0,1,201.25,fTemp,
1940.33,1,0,0.04657932,3.236987,0.3836822,0.1288969,2.853305,0.6021953,0.1421136,2.784364,46,93,8.286949,0.05836414,1,178.264,4.2,0.590008,1,1.021269,0.8801895,0.4603459,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.42,1,0,0.04657932,3.619539,0.5368466,0.1903058,3.082692,0.8838901,0.104606,2.784364,46,93,11.17934,0.07873493,1,171.5725,4.8,0.5831444,1,1.021269,0.9884925,0.6796634,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.5,1,0,0.04657932,3.643594,0.6385149,0.2230092,3.005079,0.9988185,0.09023895,2.784364,46,93,13.96141,0.09832877,1,180.7506,3.8,0.567629,1,1.021269,0.9999998,0.7964615,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.58,1,0,0.04657932,3.306025,0.5915011,0.1969112,2.714524,0.8145449,0.09995472,2.784364,46,93,16.47902,0.1160601,1,174.9026,4.2,0.5414424,1,1.021269,0.9954438,0.7032541,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.67,1,0,0.04657932,2.529103,0.4242894,0.1373584,2.104813,0.4702145,0.1342586,2.784364,46,93,18.44647,0.1299166,1,187.6732,3,0.5006359,1,1.021269,0.9206426,0.4905658,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
1940.75,1,0,0.04657932,1.643785,0.291472,0.09140232,1.352313,0.2130092,0.1904161,2.784364,46,93,19.70739,0.1387971,1,188.035,3,0.4385696,1,1.021269,0.7175319,0.3264368,1,True,0.9944156,2.3,0.02,1,201.25,fRad,
