Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
10,abiebals,0.008101746,1,0.0008167804,60,False
10,acerrubr,0.007041889,1,0.0007092713,50,False
10,acersacc,0.0166916,1,0.001697874,50,False
10,betualle,0.005668187,1,0.0005701518,50,False
10,betupapy,0.001359607,1,0.000136155,50,False
10,fraxamer,0.002577801,1,0.0002584744,50,False
10,piceglau,0.003723672,1,0.0003737785,60,False
10,pinubank,0.001168636,1,0.000117005,60,False
10,pinuresi,0.001359607,1,0.000136155,50,False
10,pinustro,0.002577801,1,0.0002584744,50,False
10,poputrem,0.001168636,1,0.000117005,60,False
10,querelli,0.001977045,1,0.0001981059,60,False
10,querrubr,0.003723672,1,0.0003737785,60,False
10,thujocci,0.002577801,1,0.0002584744,50,False
10,tiliamer,0.005668187,1,0.0005701518,50,False
10,tsugcana,0.02173824,1,0.002222535,50,False
20,abiebals,0.0168066,1,0.001701585,60,False
20,acerrubr,0.01707925,1,0.001732323,50,False
20,acersacc,0.03930539,1,0.004062399,50,False
20,betualle,0.01411208,1,0.001427899,50,False
20,betupapy,0.003539591,1,0.0003550072,50,False
20,fraxamer,0.006597423,1,0.0006633813,50,False
20,piceglau,0.007876744,1,0.0007922503,60,False
20,pinubank,0.002521856,1,0.0002526545,60,False
20,pinuresi,0.003539591,1,0.0003550072,50,False
20,pinustro,0.006597423,1,0.0006633813,50,False
20,poputrem,0.002521856,1,0.0002526545,60,False
20,querelli,0.00423243,1,0.0004245634,60,False
20,querrubr,0.007876744,1,0.0007922503,60,False
20,thujocci,0.006597423,1,0.0006633813,50,False
20,tiliamer,0.01411208,1,0.001427899,50,False
20,tsugcana,0.05026504,1,0.005244261,50,False
30,abiebals,0.02081473,1,0.002113144,60,False
30,acerrubr,0.02186423,1,0.002225996,50,False
30,acersacc,0.04961639,1,0.005170952,50,False
30,betualle,0.01822155,1,0.001849652,50,False
30,betupapy,0.004654386,1,0.0004672223,50,False
30,fraxamer,0.008614996,1,0.0008676147,50,False
30,piceglau,0.00984736,1,0.0009917765,60,False
30,pinubank,0.003183596,1,0.0003190936,60,False
30,pinuresi,0.004654386,1,0.0004672223,50,False
30,pinustro,0.008614996,1,0.0008676147,50,False
30,poputrem,0.003183596,1,0.0003190936,60,False
30,querelli,0.005322197,1,0.0005342726,60,False
30,querrubr,0.00984736,1,0.0009917765,60,False
30,thujocci,0.008614996,1,0.0008676147,50,False
30,tiliamer,0.01822155,1,0.001849652,50,False
30,tsugcana,0.06298728,1,0.006640477,50,False
40,abiebals,0.02490211,1,0.002535688,60,False
40,acerrubr,0.0267397,1,0.002733349,50,False
40,acersacc,0.05984383,1,0.006291732,50,False
40,betualle,0.02244894,1,0.002286726,50,False
40,betupapy,0.005833594,1,0.0005861592,50,False
40,fraxamer,0.01072684,1,0.001082165,50,False
40,piceglau,0.01188904,1,0.001199183,60,False
40,pinubank,0.003880188,1,0.0003891106,60,False
40,pinuresi,0.005833594,1,0.0005861592,50,False
40,pinustro,0.01072684,1,0.001082165,50,False
40,poputrem,0.003880188,1,0.0003891106,60,False
40,querelli,0.006462126,1,0.0006492421,60,False
40,querrubr,0.01188904,1,0.001199183,60,False
40,thujocci,0.01072684,1,0.001082165,50,False
40,tiliamer,0.02244894,1,0.002286726,50,False
40,tsugcana,0.07545303,1,0.008041725,50,False
50,abiebals,0.02925497,1,0.002988859,60,False
50,acerrubr,0.0321578,1,0.003302025,50,False
50,acersacc,0.0709354,1,0.007530129,50,False
50,betualle,0.02718299,1,0.002779841,50,False
50,betupapy,0.007187085,1,0.0007229576,50,False
50,fraxamer,0.0131284,1,0.001327054,50,False
50,piceglau,0.01409515,1,0.001424081,60,False
50,pinubank,0.004643967,1,0.000465973,60,False
50,pinuresi,0.007187085,1,0.0007229576,50,False
50,pinustro,0.0131284,1,0.001327054,50,False
50,poputrem,0.004643967,1,0.000465973,60,False
50,querelli,0.007704746,1,0.0007748155,60,False
50,querrubr,0.01409515,1,0.001424081,60,False
50,thujocci,0.0131284,1,0.001327054,50,False
50,tiliamer,0.02718299,1,0.002779841,50,False
50,tsugcana,0.08882812,1,0.009580533,50,False
