Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1938,1938,1,1,0,0.0129676,1,0,0,0,0,0.01329391,0,0,0,0,109,202,0,1.413469,2.619456,7,0.0507497,1,0.1836529,3.394,0.9014544,1,0,0,0.04130019,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.1800038,5,2.276923,0,0,0
1938.08,1938,2,1,0,0.0129676,1,0,0,0,0,0.01090207,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05085566,1,0.1839697,3.37,0.9550163,1,0,0,0.03394016,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.2508456,5,2.276923,0,0,0
1938.17,1938,3,1,0,0.0129676,1,0,0,0,0,0.02696585,0,0,0,0,108,201,0,1.400501,2.606488,7,0.05096183,1,0.1839697,3.37,0.9669615,1,0,0,0.08412494,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.4091892,5,2.276923,0,0,0
1938.25,1938,4,1,0,0.0129676,1,0,0,0,0,0.04748661,0,0,0,0,108,200,0,1.400501,2.593521,7,0.05106822,1,0.1839697,3.37,0.9792571,1,0,0.160486,0.1484526,1,False,0.987637,2.276923,0.021,1,137,fTemp,1.555,0.672664,5,2.276923,0,0,0
1938.33,1938,5,1,0,0.01285932,1,0.0642966,0.0008268104,7.318356,0.7424888,0.1172621,6.575867,0.02521141,0.01368692,6.396672,108,200,0.08225685,1.388806,2.571864,6.063582,0.04342641,1,0.1622906,6.038,0.9347864,1,0.8264707,0.7929751,0.3673499,1,True,0.987637,2.276923,0.021,1,137,fTemp,1.555,1.155868,5,2.276923,6.396672,0.1456473,0
1938.42,1938,6,1,0,0.01285932,1,0.0642966,0.0008268104,8.304337,0.9115093,0.1640278,7.392827,0.03297053,0.01187595,6.396672,110,204,0.08225685,1.414525,2.623301,12.0976,0.08495997,1,0.1452647,10.224,0.925825,1,0.8264707,0.9180609,0.5149269,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,1.533573,5,2.276923,6.396672,0.1456473,0
1938.5,1938,7,1,0,0.01309299,1,0.06546494,0.0008571318,8.7734,1.15157,0.2134958,7.62183,0.03296244,0.01277788,6.512299,110,204,0.08526546,1.440229,2.67097,18.93619,0.1332104,1,0.1478374,9.802,0.8942438,1,0.8264707,0.9735938,0.6568689,1,True,0.9875174,2.276923,0.021,1,137,fRad,1.555,1.904255,5,2.276923,6.512299,0.14828,0
1938.58,1938,8,1,0,0.01309299,1,0.06546494,0.0008571318,7.491985,0.8880305,0.1432825,6.603955,0.02318948,0.01551015,6.512299,109,203,0.08526546,1.427136,2.657877,25.01571,0.1763379,1,0.1392377,12.338,0.9048994,1,0.8264707,0.858436,0.4417619,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.176245,5,2.276923,6.512299,0.14828,0
1938.67,1938,9,1,0,0.01309299,1,0.06546494,0.0008571318,5.824298,0.7420215,0.1131829,5.082277,0.01787599,0.01564169,6.512299,109,203,0.08526546,1.427136,2.657877,29.69028,0.2097174,1,0.1288717,17.67,0.8868495,1,0.8264707,0.7814437,0.3496889,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.404232,5,2.276923,6.512299,0.14828,0
1938.75,1938,10,1,0,0.01309299,1,0.06546494,0.0008571318,3.461877,0.502797,0.06263756,2.95908,0.008407484,0.01976769,6.512299,109,202,0.08526546,1.427136,2.644784,32.40703,0.2293752,1,0.1373794,13.132,0.931833,1,0.8264707,0.472561,0.1939284,1,True,0.9875174,2.276923,0.021,1,137,fTemp,1.555,2.557763,5,2.276923,6.512299,0.14828,0
