Time,Year,Month,Age(yr),TopLayer(-),CanopyLayerProp,CanopyGrowingSpace,LAI(m2),Site LAI(m2),GrossPsn(gC_m2_mo),FolResp(gC_m2_mo),MaintenanceRespiration(gC_mo),NetPsn(gC_m2_mo),Transpiration(mm),WUE(g_mm),Fol(gDW),Root(gDW),Wood(gDW),Site Fol(gDW),Site Root(gDW),Site Wood(gDW),NSC(gC),NSCfrac(-),fWater(-),Water(m/m),PressureHead(mm),fRad(-),fOzone(-),DelAMax(-),fTemp_psn(-),fTemp_resp(-),fage(-),LeafOn(-),FActiveBiom(gDW_gDW),AdjFolN(gN_gC),AdjFracFol(-),CiModifier(-),AdjHalfSat,Limiting Factor,BudC,PlantN,MaxLAI,FolN,CanopyTotMass,CanopyTotN,NRatio
1992,1992,1,1,0,0.01172677,1,0,0,0,0,0.01498585,0,0,0,0,115,196,0,1.348579,2.298447,7,0.0507497,1,0.1839697,3.37,0.8833709,1,0,0,0.04655653,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.1445391,5,2,0,0,0
1992.08,1992,2,1,0,0.01172677,1,0,0,0,0,0.01783923,0,0,0,0,115,195,0,1.348579,2.286721,7,0.05085566,1,0.1839697,3.37,0.9203399,1,0,0,0.05553684,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.2075064,5,2,0,0,0
1992.17,1992,3,1,0,0.01172677,1,0,0,0,0,0.02573758,0,0,0,0,114,195,0,1.336852,2.286721,7,0.05096183,1,0.1839697,3.37,0.9481675,1,0,0,0.08029314,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.3034461,5,2,0,0,0
1992.25,1992,4,1,0,0.01172677,1,0,0,0,0,0.05483732,0,0,0,0,114,194,0,1.336852,2.274994,7,0.05106822,1,0.1839586,3.37,0.9790949,1,0,0.1237551,0.1714323,1,False,0.987637,2,0.019,1,100,fTemp,1.555,0.5120691,5,2,0,0,0
1992.33,1992,5,1,0,0.01161407,0.01161407,0.05814448,0.0006752944,6.241603,0.6513999,0.1226486,5.590203,0.01595369,0.01666061,5.787465,114,194,0.06721605,1.324005,2.25313,5.153291,0.03697876,1,0.176999,4.046,0.9782193,1,0.893724,0.7816031,0.3842244,1,True,0.987637,2,0.019,1,100,fTemp,1.555,0.9447869,5,2,5.787465,0.1157493,0
1992.42,1992,6,1,0,0.01161407,0.01161407,0.05814448,0.0006752944,7.501089,0.8679038,0.189496,6.633185,0.02196218,0.0145447,5.787465,116,198,0.06721605,1.347233,2.299587,10.4839,0.07376736,1,0.162705,5.994,0.9784486,1,0.893724,0.9496303,0.5948782,1,True,0.9875174,2,0.019,1,100,fTemp,1.555,1.412036,5,2,5.787465,0.1157493,0
1992.5,1992,7,1,0,0.01161407,0.01161407,0.05920051,0.0006875591,7.825837,0.9915416,0.2141689,6.834295,0.02193798,0.01519114,5.89208,116,197,0.06843106,1.347233,2.287973,16.61739,0.1171254,1,0.1570386,7.078,0.9661784,1,0.893724,0.9723798,0.65894,1,True,0.9875174,2,0.019,1,100,fRad,1.555,1.946281,5,2,5.89208,0.1178416,0
1992.58,1992,8,1,0,0.01161407,0.01161407,0.05920051,0.0006875591,7.23632,0.968096,0.2012678,6.268224,0.0194553,0.0158393,5.89208,116,197,0.06843106,1.347233,2.287973,22.37907,0.1580591,1,0.1762679,4.156,0.9702115,1,0.893724,0.9632276,0.6205395,1,True,0.9875174,2,0.019,1,100,fTemp,1.555,2.471442,5,2,5.89208,0.1178416,0
1992.67,1992,9,1,0,0.01161407,0.01161407,0.05920051,0.0006875591,5.601404,0.754208,0.1436634,4.847196,0.01210602,0.01970387,5.89208,115,197,0.06843106,1.335619,2.287973,26.83417,0.1899129,1,0.1810905,3.628,0.9599388,1,0.893724,0.8507231,0.443861,1,True,0.9875174,2,0.019,1,100,fTemp,1.555,2.869594,5,2,5.89208,0.1178416,0
1992.75,1992,10,1,0,0.01161407,0.01161407,0.05920051,0.0006875591,1.89516,0.4218152,0.06274195,1.473344,0.002553757,0.03160256,5.89208,115,196,0.06843106,1.335619,2.276359,28.17485,0.1998099,1,0.1833709,3.42,0.9608543,1,0.893724,0.3047661,0.1942516,1,True,0.9875174,2,0.019,1,100,fTemp,1.555,3.013916,5,2,5.89208,0.1178416,0
1992.83,1992,11,1,0,0.01161407,0.01161407,0,0,0,0,0.03597929,0,0,0,0,115,196,0,1.335619,2.276359,28.17485,0.2040153,1,0.1830203,3.448,0.8613038,1,0,0,0.1116259,1,False,0.9875174,2,0.019,1,100,fTemp,1.555,3.160264,5,2,0,0,0
