Year,Species,Pest,FWater_Avg,FRad_Avg,ActiveMonths,Est
1,acerrubr,0.005201644,1,0.5201644,3,False
1,acersacc,0.006767017,1,0.6767017,3,True
1,betualle,0.00440802,1,0.440802,3,False
1,betupapy,0.002842885,1,0.2842886,3,False
1,fagugran,0.006799747,1,0.6799747,3,False
1,picerube,0.009144437,1,0.9144438,3,False
1,pinustro,0.004324117,1,0.4324117,3,False
1,popugran,0.003336484,1,0.3336484,3,False
1,querrubr,0.004371766,1,0.4371766,3,False
1,tsugcana,0.007035656,1,0.7035656,3,False
2,acerrubr,0.00429795,1,0.429795,3,False
2,acersacc,0.005758191,1,0.5758191,3,False
2,betualle,0.003573474,1,0.3573475,3,False
2,betupapy,0.002560455,1,0.2560455,3,False
2,fagugran,0.005786041,1,0.5786042,3,False
2,picerube,0.008471834,1,0.8471834,3,False
2,pinustro,0.003917623,1,0.3917623,3,False
2,popugran,0.002992536,1,0.2992536,3,False
2,querrubr,0.003544084,1,0.3544084,3,False
2,tsugcana,0.005986782,1,0.5986782,3,False
3,acerrubr,0.005368427,1,0.5368428,3,False
3,acersacc,0.006948354,1,0.6948354,3,False
3,betualle,0.004564507,1,0.4564507,3,False
3,betupapy,0.002950492,1,0.2950492,3,False
3,fagugran,0.006981961,1,0.6981961,3,False
3,picerube,0.009389483,1,0.9389483,3,False
3,pinustro,0.004477625,1,0.4477625,3,False
3,popugran,0.003468334,1,0.3468334,3,False
3,querrubr,0.004526965,1,0.4526965,3,False
3,tsugcana,0.007224192,1,0.7224192,3,False
4,acerrubr,0.004209227,1,0.4209227,3,False
4,acersacc,0.005642712,1,0.5642712,3,False
4,betualle,0.003499319,1,0.3499319,3,False
4,betupapy,0.002227825,1,0.2227825,3,False
4,fagugran,0.005670004,1,0.5670004,3,False
4,picerube,0.007625137,1,0.7625137,3,False
4,pinustro,0.003432713,1,0.3432713,3,False
4,popugran,0.002590971,1,0.2590971,3,False
4,querrubr,0.003470538,1,0.3470539,3,False
4,tsugcana,0.005866718,1,0.5866718,3,False
5,acerrubr,0.005191207,1,0.5191208,3,False
5,acersacc,0.006755966,1,0.6755967,3,False
5,betualle,0.004398085,1,0.4398085,3,False
5,betupapy,0.002835992,1,0.2835992,3,False
5,fagugran,0.006788643,1,0.6788643,3,False
