Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
10, eco1, 4851, 18857, 701, 377.5, 1554.7, 0, 
10, eco2, 4950, 17250.6, 348, 163.5, 990.1, 0, 
20, eco1, 4851, 20347.8, 708, 388.3, 2207.1, 0, 
20, eco2, 4950, 17446.3, 347, 170.3, 1225.7, 0, 
30, eco1, 4851, 21520, 714, 394.7, 2652.5, 0, 
30, eco2, 4950, 17723.2, 345, 172.9, 1326, 0, 
40, eco1, 4851, 22550.2, 722, 400.7, 3016.6, 0, 
40, eco2, 4950, 18101.3, 344, 176.9, 1376.9, 0, 
50, eco1, 4851, 23274.3, 728, 406.2, 3329.6, 0, 
50, eco2, 4950, 18526.9, 343, 179.1, 1418.5, 0, 
60, eco1, 4851, 23629.1, 726, 407.9, 3591.3, 0, 
60, eco2, 4950, 18925.4, 342, 181.2, 1450.8, 0, 
70, eco1, 4851, 24048.2, 732, 414.5, 3801.7, 0, 
70, eco2, 4950, 19297.8, 341, 183, 1477.7, 0, 
80, eco1, 4851, 24401.6, 733, 418.4, 3945.2, 0, 
80, eco2, 4950, 19686.5, 341, 184.4, 1506.8, 0, 
90, eco1, 4851, 24735, 731, 420.7, 4032.9, 0, 
90, eco2, 4950, 20058.2, 342, 185.4, 1537.8, 0, 
100, eco1, 4851, 25036.1, 730, 422.9, 4086.6, 0, 
100, eco2, 4950, 20370.3, 343, 186.6, 1559.1, 0, 
