Year,CalendarYear,EcoregionName,TAP,MAT,BeginGrow,EndGrow,
1, -1, eco1, 778.26, 13.21, 77, 325, 
1, -1, eco2, 778.26, 13.21, 77, 325, 
2, -1, eco1, 778.26, 13.21, 77, 325, 
2, -1, eco2, 778.26, 13.21, 77, 325, 
3, -1, eco1, 778.26, 13.21, 77, 325, 
3, -1, eco2, 778.26, 13.21, 77, 325, 
4, -1, eco1, 778.26, 13.21, 77, 325, 
4, -1, eco2, 778.26, 13.21, 77, 325, 
5, -1, eco1, 778.26, 13.21, 77, 325, 
5, -1, eco2, 778.26, 13.21, 77, 325, 
6, -1, eco1, 778.26, 13.21, 77, 325, 
6, -1, eco2, 778.26, 13.21, 77, 325, 
7, -1, eco1, 778.26, 13.21, 77, 325, 
7, -1, eco2, 778.26, 13.21, 77, 325, 
8, -1, eco1, 778.26, 13.21, 77, 325, 
8, -1, eco2, 778.26, 13.21, 77, 325, 
9, -1, eco1, 778.26, 13.21, 77, 325, 
9, -1, eco2, 778.26, 13.21, 77, 325, 
10, -1, eco1, 778.26, 13.21, 77, 325, 
10, -1, eco2, 778.26, 13.21, 77, 325, 
11, -1, eco1, 778.26, 13.21, 77, 325, 
11, -1, eco2, 778.26, 13.21, 77, 325, 
12, -1, eco1, 778.26, 13.21, 77, 325, 
12, -1, eco2, 778.26, 13.21, 77, 325, 
13, -1, eco1, 778.26, 13.21, 77, 325, 
13, -1, eco2, 778.26, 13.21, 77, 325, 
14, -1, eco1, 778.26, 13.21, 77, 325, 
14, -1, eco2, 778.26, 13.21, 77, 325, 
15, -1, eco1, 778.26, 13.21, 77, 325, 
15, -1, eco2, 778.26, 13.21, 77, 325, 
16, -1, eco1, 778.26, 13.21, 77, 325, 
16, -1, eco2, 778.26, 13.21, 77, 325, 
17, -1, eco1, 778.26, 13.21, 77, 325, 
17, -1, eco2, 778.26, 13.21, 77, 325, 
18, -1, eco1, 778.26, 13.21, 77, 325, 
18, -1, eco2, 778.26, 13.21, 77, 325, 
19, -1, eco1, 778.26, 13.21, 77, 325, 
19, -1, eco2, 778.26, 13.21, 77, 325, 
