Time,EcoName,NumActiveSites,AboveGroundBiomass_abiebals,AboveGroundBiomass_acerrubr,AboveGroundBiomass_acersacc,AboveGroundBiomass_betualle,AboveGroundBiomass_betupapy,AboveGroundBiomass_fraxamer,AboveGroundBiomass_piceglau,AboveGroundBiomass_pinubank,AboveGroundBiomass_pinuresi,AboveGroundBiomass_pinustro,AboveGroundBiomass_poputrem,AboveGroundBiomass_querelli,AboveGroundBiomass_querrubr,AboveGroundBiomass_thujocci,AboveGroundBiomass_tiliamer,
0, eco1, 4851, 5189.393939393939, 0, 0, 0, 0, 0, 0, 0, 7194.444444444444, 0, 4790.404040404041, 0, 0, 0, 0, 
0, eco2, 4950, 5189.393939393939, 0, 0, 0, 0, 0, 0, 0, 7194.444444444444, 0, 4790.404040404041, 0, 0, 0, 0, 
10, eco1, 4851, 5880.698000412286, 0, 0, 0, 0, 0, 0, 0, 8037.200577200577, 0, 4939.121418264275, 0, 0, 0, 0, 
10, eco2, 4950, 5153.8175757575755, 0, 0, 0, 0, 0, 0, 0, 7579.559797979798, 0, 4517.220404040404, 0, 0, 0, 0, 
20, eco1, 4851, 6408.524840239126, 0, 0, 0, 0, 0, 0, 0, 8748.342403628118, 0, 5190.941867656154, 0, 0, 0, 0, 
20, eco2, 4950, 5154.584242424243, 0, 0, 0, 0, 0, 0, 0, 7974.173131313131, 0, 4317.544848484848, 0, 0, 0, 0, 
30, eco1, 4851, 6950.751803751804, 0, 0, 0, 0, 0, 0, 0, 9307.116264687693, 0, 5262.1226551226555, 0, 0, 0, 0, 
30, eco2, 4950, 5131.773939393939, 0, 0, 0, 0, 0, 0, 0, 8273.787474747474, 0, 4317.626464646464, 0, 0, 0, 0, 
40, eco1, 4851, 7574.455370026799, 0, 0, 0, 0, 0, 0, 0, 9712.095238095239, 0, 5263.681715110287, 0, 0, 0, 0, 
40, eco2, 4950, 5169.126464646464, 0, 0, 0, 0, 0, 0, 0, 8639.732727272727, 0, 4292.460606060606, 0, 0, 0, 0, 
50, eco1, 4851, 8130.917955060812, 0, 0, 0, 0, 0, 0, 0, 9998.188414759843, 0, 5145.165326736756, 0, 0, 0, 0, 
50, eco2, 4950, 5212.662424242424, 0, 0, 0, 0, 0, 0, 0, 8986.097373737373, 0, 4328.16202020202, 0, 0, 0, 0, 
60, eco1, 4851, 8542.71840857555, 0, 0, 0, 0, 0, 0, 0, 10073.067614924757, 0, 5013.316017316018, 0, 0, 0, 0, 
60, eco2, 4950, 5261.8381818181815, 0, 0, 0, 0, 0, 0, 0, 9314.746666666666, 0, 4348.842828282828, 0, 0, 0, 0, 
70, eco1, 4851, 8959.221603793032, 0, 0, 0, 0, 0, 0, 0, 10208.082869511441, 0, 4880.944959802103, 0, 0, 0, 0, 
70, eco2, 4950, 5278.507474747475, 0, 0, 0, 0, 0, 0, 0, 9625.484646464647, 0, 4393.772929292929, 0, 0, 0, 0, 
80, eco1, 4851, 9345.742321170892, 0, 0, 0, 0, 0, 0, 0, 10301.713667285096, 0, 4754.178313749742, 0, 0, 0, 0, 
80, eco2, 4950, 5340.968686868687, 0, 0, 0, 0, 0, 0, 0, 9911.346464646465, 0, 4434.135959595959, 0, 0, 0, 0, 
90, eco1, 4851, 9737.896928468357, 0, 0, 0, 0, 0, 0, 0, 10360.635951350238, 0, 4636.439703153989, 0, 0, 0, 0, 
90, eco2, 4950, 5400.585858585859, 0, 0, 0, 0, 0, 0, 0, 10172.82101010101, 0, 4484.828686868686, 0, 0, 0, 0, 
100, eco1, 4851, 10103.841063698206, 0, 0, 0, 0, 0, 0, 0, 10388.653473510616, 0, 4543.571016285302, 0, 0, 0, 0, 
100, eco2, 4950, 5420.270909090909, 0, 0, 0, 0, 0, 0, 0, 10416.901212121213, 0, 4533.101818181818, 0, 0, 0, 0, 
